market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,first_day_of_period
KRW-IQ,2023-10-09T00:00:00,2023-10-09T09:00:00,6.41,6.5,6.01,6.05,1697076617673,9976695857.436754,1594908576.8887384,2023-10-09
KRW-IQ,2023-10-02T00:00:00,2023-10-02T09:00:00,6.66,6.69,6.18,6.4,1696809590030,20048174888.826714,3119257761.123498,2023-10-02
KRW-IQ,2023-09-25T00:00:00,2023-09-25T09:00:00,6.5,6.95,6.17,6.66,1696204795432,52501276538.774025,7887500777.244025,2023-09-25
KRW-IQ,2023-09-18T00:00:00,2023-09-18T09:00:00,6.02,7.59,5.77,6.5,1695599995674,243654597329.4048,35169280169.02256,2023-09-18
KRW-IQ,2023-09-11T00:00:00,2023-09-11T09:00:00,5.89,6.54,5.58,6.02,1694995191224,72563501533.19016,11970810535.58515,2023-09-11
KRW-IQ,2023-09-04T00:00:00,2023-09-04T09:00:00,5.82,5.9,5.64,5.88,1694390395721,10735318487.322353,1865403355.007721,2023-09-04
KRW-IQ,2023-08-28T00:00:00,2023-08-28T09:00:00,6.3,6.3,5.59,5.84,1693785574502,20607425648.68626,3465183772.3083816,2023-08-28
KRW-IQ,2023-08-21T00:00:00,2023-08-21T09:00:00,6.13,6.75,5.81,6.3,1693180798832,67833040070.245384,10680583723.01819,2023-08-21
KRW-IQ,2023-08-14T00:00:00,2023-08-14T09:00:00,6.99,7.15,5.67,6.13,1692575989476,47567974328.09382,7539994547.91985,2023-08-14
KRW-IQ,2023-08-07T00:00:00,2023-08-07T09:00:00,7.17,7.32,6.81,7.01,1691971183764,40823227948.9674,5802444565.755883,2023-08-07
KRW-IQ,2023-07-31T00:00:00,2023-07-31T09:00:00,7.07,7.81,6.64,7.17,1691366398495,119093836003.81017,16453018040.61191,2023-07-31
KRW-IQ,2023-07-24T00:00:00,2023-07-24T09:00:00,6.65,8.72,6.13,7.09,1690761596035,392197821178.8524,53350784871.45205,2023-07-24
KRW-IQ,2023-07-17T00:00:00,2023-07-17T09:00:00,6.22,6.84,6.02,6.65,1690156793867,44889698614.94825,7063749549.83316,2023-07-17
KRW-IQ,2023-07-10T00:00:00,2023-07-10T09:00:00,6.14,7.19,5.85,6.22,1689551983529,140592003481.48788,21686575336.16362,2023-07-10
KRW-IQ,2023-07-03T00:00:00,2023-07-03T09:00:00,6.08,6.5,5.85,6.14,1688947198604,52436660568.603966,8530010926.54829,2023-07-03
KRW-IQ,2023-06-26T00:00:00,2023-06-26T09:00:00,6.17,6.58,5.68,6.07,1688342391025,43195056462.45973,7112264504.426083,2023-06-26
KRW-IQ,2023-06-19T00:00:00,2023-06-19T09:00:00,5.54,6.85,5.44,6.19,1687737589635,59007932661.326,9536998379.153091,2023-06-19
KRW-IQ,2023-06-12T00:00:00,2023-06-12T09:00:00,6.13,6.42,5.2,5.55,1687132760404,42903444505.5866,7499955141.513558,2023-06-12
KRW-IQ,2023-06-05T00:00:00,2023-06-05T09:00:00,6.43,6.94,5.02,6.12,1686527996181,202613475144.13574,31643252479.66802,2023-06-05
KRW-IQ,2023-05-29T00:00:00,2023-05-29T09:00:00,6.59,6.64,6.29,6.44,1685923197616,7246968381.928466,1119091250.9645975,2023-05-29
KRW-IQ,2023-05-22T00:00:00,2023-05-22T09:00:00,6.97,6.99,6.31,6.6,1685318364154,11560196904.854053,1743297383.0483773,2023-05-22
KRW-IQ,2023-05-15T00:00:00,2023-05-15T09:00:00,7.02,7.27,6.86,6.97,1684713595327,22533704435.405014,3204319891.5244656,2023-05-15
KRW-IQ,2023-05-08T00:00:00,2023-05-08T09:00:00,7.46,7.57,6.71,7.03,1684108790467,47473443101.757416,6583511251.088995,2023-05-08
KRW-IQ,2023-05-01T00:00:00,2023-05-01T09:00:00,7.89,7.89,7.38,7.46,1683503959821,22147357247.176937,2942727579.827903,2023-05-01
KRW-IQ,2023-04-24T00:00:00,2023-04-24T09:00:00,8.33,8.56,7.57,7.89,1682899199989,100819899654.54323,12568479850.646967,2023-04-24
KRW-IQ,2023-04-17T00:00:00,2023-04-17T09:00:00,8.66,9.95,7.71,8.33,1682294395979,435609740210.01733,48240255673.88214,2023-04-17
KRW-IQ,2023-04-10T00:00:00,2023-04-10T09:00:00,8.57,8.85,8.4,8.66,1681689589336,25887490245.0651,3011954849.380492,2023-04-10
KRW-IQ,2023-04-03T00:00:00,2023-04-03T09:00:00,8.37,9.13,8.32,8.58,1681084795053,40690109034.40135,4698777733.46031,2023-04-03
KRW-IQ,2023-03-27T00:00:00,2023-03-27T09:00:00,8.54,8.8,7.73,8.37,1680479999257,34805741133.79186,4166886530.1267104,2023-03-27
KRW-IQ,2023-03-20T00:00:00,2023-03-20T09:00:00,8.9,8.9,8.05,8.55,1679875186245,39628487265.77625,4642857902.949966,2023-03-20
KRW-IQ,2023-03-13T00:00:00,2023-03-13T09:00:00,7.8,10.4,7.5,8.9,1679270396260,260686478104.36932,28513624924.1174,2023-03-13
KRW-IQ,2023-03-06T00:00:00,2023-03-06T09:00:00,8.45,8.54,6.82,7.8,1678665599854,93183387881.24442,11982992666.940508,2023-03-06
KRW-IQ,2023-02-27T00:00:00,2023-02-27T09:00:00,9.7,9.83,8.27,8.46,1678060796746,30646408926.759773,3396054250.548467,2023-02-27
KRW-IQ,2023-02-20T00:00:00,2023-02-20T09:00:00,10.0,10.1,9.35,9.71,1677455988135,75708352150.94765,7785394754.390104,2023-02-20
KRW-IQ,2023-02-13T00:00:00,2023-02-13T09:00:00,8.75,12.1,7.82,10.0,1676851180626,339681544304.88904,34271152369.851944,2023-02-13
KRW-IQ,2023-02-06T00:00:00,2023-02-06T09:00:00,8.2,9.98,7.9,8.75,1676246399936,255119311923.85657,28954086294.55492,2023-02-06
KRW-IQ,2023-01-30T00:00:00,2023-01-30T09:00:00,8.09,8.88,7.37,8.2,1675641599542,159060921463.78763,19472349583.29208,2023-01-30
KRW-IQ,2023-01-23T00:00:00,2023-01-23T09:00:00,7.89,8.98,7.26,8.1,1675036797772,218713554155.99445,27095293898.802933,2023-01-23
KRW-IQ,2023-01-16T00:00:00,2023-01-16T09:00:00,8.27,8.86,7.02,7.89,1674431993028,149778977566.9186,19315671047.097054,2023-01-16
KRW-IQ,2023-01-09T00:00:00,2023-01-09T09:00:00,5.64,10.1,5.63,8.26,1673827199311,554202571112.3674,67783284273.11916,2023-01-09
KRW-IQ,2023-01-02T00:00:00,2023-01-02T09:00:00,5.64,5.74,5.43,5.65,1673222399989,26149409806.060646,4675704378.751436,2023-01-02
KRW-IQ,2022-12-26T00:00:00,2022-12-26T09:00:00,6.11,6.16,5.15,5.64,1672617595034,41749386927.00912,7398665041.095105,2022-12-26
KRW-IQ,2022-12-19T00:00:00,2022-12-19T09:00:00,6.57,7.04,5.63,6.13,1672012779079,102393341616.13188,15708244299.101446,2022-12-19
KRW-IQ,2022-12-12T00:00:00,2022-12-12T09:00:00,7.81,8.0,6.42,6.57,1671407999123,73364971994.08409,10237975939.25329,2022-12-12
KRW-IQ,2022-12-05T00:00:00,2022-12-05T09:00:00,8.57,8.57,7.36,7.81,1670803187423,215995324592.16873,26646645084.255207,2022-12-05
KRW-IQ,2022-11-28T00:00:00,2022-11-28T09:00:00,9.08,9.25,8.02,8.56,1670198399184,412805959734.9971,47467345686.68073,2022-11-28
KRW-IQ,2022-11-21T00:00:00,2022-11-21T09:00:00,8.89,10.7,6.41,9.08,1669593599988,1125480913024.226,128792239832.52559,2022-11-21
KRW-IQ,2022-11-14T00:00:00,2022-11-14T09:00:00,3.94,12.0,3.49,8.89,1668988800086,1090595681376.2874,136474644015.79872,2022-11-14
KRW-IQ,2022-11-07T00:00:00,2022-11-07T09:00:00,6.47,6.8,3.87,3.94,1668383997734,18911058982.365353,3609109395.593531,2022-11-07
KRW-IQ,2022-10-31T00:00:00,2022-10-31T09:00:00,6.33,6.57,6.21,6.47,1667779194984,16372823038.19583,2561217932.2453127,2022-10-31
KRW-IQ,2022-10-24T00:00:00,2022-10-24T09:00:00,6.51,6.68,6.25,6.33,1667174365620,25466101899.17988,3958724957.58746,2022-10-24
KRW-IQ,2022-10-17T00:00:00,2022-10-17T09:00:00,6.53,7.22,6.02,6.5,1666569598939,86689390304.46396,13029915304.588785,2022-10-17
KRW-IQ,2022-10-10T00:00:00,2022-10-10T09:00:00,6.99,7.6,6.07,6.53,1665964780189,30485776496.684956,4399211046.415649,2022-10-10
KRW-IQ,2022-10-03T00:00:00,2022-10-03T09:00:00,6.85,7.33,6.77,6.99,1665359985078,16169861200.268671,2317324091.5963235,2022-10-03
KRW-IQ,2022-09-26T00:00:00,2022-09-26T09:00:00,7.26,7.27,6.82,6.86,1664755175121,14319154644.74937,2050630019.5940583,2022-09-26
KRW-IQ,2022-09-19T00:00:00,2022-09-19T09:00:00,7.38,7.98,6.78,7.24,1664150399279,87273905712.22537,11855860155.217073,2022-09-19
KRW-IQ,2022-09-12T00:00:00,2022-09-12T09:00:00,8.98,9.5,7.15,7.39,1663545599864,142585388595.15063,17391945448.401558,2022-09-12
KRW-IQ,2022-09-05T00:00:00,2022-09-05T09:00:00,7.19,9.85,6.64,8.99,1662940799296,146201333017.23474,16564090811.989431,2022-09-05
KRW-IQ,2022-08-29T00:00:00,2022-08-29T09:00:00,7.08,7.65,6.94,7.2,1662335999597,9551413850.450651,1312537240.4420614,2022-08-29
KRW-IQ,2022-08-22T00:00:00,2022-08-22T09:00:00,7.43,7.68,6.96,7.06,1661731173037,12748600703.675718,1759596646.3098552,2022-08-22
KRW-IQ,2022-08-15T00:00:00,2022-08-15T09:00:00,8.53,8.63,6.97,7.44,1661126376511,15415059068.200272,1957123888.9164622,2022-08-15
KRW-IQ,2022-08-08T00:00:00,2022-08-08T09:00:00,8.07,9.48,7.6,8.54,1660521566551,112960160612.51118,13363004383.86047,2022-08-08
KRW-IQ,2022-08-01T00:00:00,2022-08-01T09:00:00,7.92,9.22,7.52,8.06,1659916796335,60759875005.570045,7367337415.792151,2022-08-01
KRW-IQ,2022-07-25T00:00:00,2022-07-25T09:00:00,7.36,8.37,6.52,7.92,1659311984436,87283573452.89163,11579230604.692575,2022-07-25
KRW-IQ,2022-07-18T00:00:00,2022-07-18T09:00:00,7.42,7.75,6.94,7.35,1658707194046,78864041644.76035,10653041793.261793,2022-07-18
KRW-IQ,2022-07-11T00:00:00,2022-07-11T09:00:00,6.71,8.34,5.76,7.42,1658102396581,249420643543.4525,33536664626.17394,2022-07-11
KRW-IQ,2022-07-04T00:00:00,2022-07-04T09:00:00,6.31,8.59,5.66,6.71,1657497599258,191884779294.85736,26342225748.53684,2022-07-04
KRW-IQ,2022-06-27T00:00:00,2022-06-27T09:00:00,5.96,7.79,5.26,6.3,1656892799432,208084523941.84012,30721768180.721485,2022-06-27
KRW-IQ,2022-06-20T00:00:00,2022-06-20T09:00:00,5.55,6.26,5.24,5.98,1656287999929,15721282015.793404,2708536318.211324,2022-06-20
KRW-IQ,2022-06-13T00:00:00,2022-06-13T09:00:00,6.31,6.61,4.57,5.55,1655683198377,40508184881.490974,7311215229.453965,2022-06-13
KRW-IQ,2022-06-06T00:00:00,2022-06-06T09:00:00,7.97,8.68,6.18,6.31,1655078371196,19569082283.397827,2562500358.631037,2022-06-06
KRW-IQ,2022-05-30T00:00:00,2022-05-30T09:00:00,7.33,8.73,7.15,7.97,1654473573553,45353428593.23794,5740779349.344133,2022-05-30
KRW-IQ,2022-05-23T00:00:00,2022-05-23T09:00:00,7.99,8.78,7.0,7.33,1653868792514,54729429131.55328,6883476832.029625,2022-05-23
KRW-IQ,2022-05-16T00:00:00,2022-05-16T09:00:00,8.95,9.18,6.87,7.98,1653263996472,17618366177.975994,2250399741.4347587,2022-05-16
KRW-IQ,2022-05-09T00:00:00,2022-05-09T09:00:00,10.7,11.0,6.86,8.96,1652659200122,28249414058.863434,3214760416.1786156,2022-05-09
KRW-IQ,2022-05-02T00:00:00,2022-05-02T09:00:00,12.0,13.2,10.4,10.6,1652054395910,36103570293.9668,2979991066.037142,2022-05-02
KRW-IQ,2022-04-25T00:00:00,2022-04-25T09:00:00,14.4,14.5,11.2,12.0,1651449549782,24275972020.01561,1865743726.7786238,2022-04-25
KRW-IQ,2022-04-18T00:00:00,2022-04-18T09:00:00,14.7,15.4,13.8,14.5,1650844757260,23500732648.293957,1604640245.2579777,2022-04-18
KRW-IQ,2022-04-11T00:00:00,2022-04-11T09:00:00,15.8,15.9,13.7,14.8,1650239997294,41848356530.528435,2806690221.3021073,2022-04-11
KRW-IQ,2022-04-04T00:00:00,2022-04-04T09:00:00,17.7,17.8,14.8,15.8,1649635199231,57076889677.15368,3543920903.660357,2022-04-04
KRW-IQ,2022-03-28T00:00:00,2022-03-28T09:00:00,13.0,23.5,12.7,17.8,1649030381402,757131921097.9537,39066085854.18519,2022-03-28
KRW-IQ,2022-03-21T00:00:00,2022-03-21T09:00:00,11.1,14.4,10.8,13.0,1648425598211,54252212176.80637,4268810763.8813295,2022-03-21
KRW-IQ,2022-03-14T00:00:00,2022-03-14T09:00:00,10.3,11.5,10.1,11.1,1647820741111,25755555673.83679,2355115534.714777,2022-03-14
KRW-IQ,2022-03-07T00:00:00,2022-03-07T09:00:00,10.6,12.3,10.0,10.4,1647215995585,36142460026.6609,3238283924.3506694,2022-03-07
KRW-IQ,2022-02-28T00:00:00,2022-02-28T09:00:00,10.4,11.7,10.1,10.6,1646611189452,14509228534.164492,1350303899.153732,2022-02-28
KRW-IQ,2022-02-21T00:00:00,2022-02-21T09:00:00,10.4,11.0,9.06,10.4,1646006382559,21277707896.564144,2086618160.6315475,2022-02-21
KRW-IQ,2022-02-14T00:00:00,2022-02-14T09:00:00,11.7,12.0,10.0,10.4,1645401526393,10244792616.014694,921707650.3579825,2022-02-14
KRW-IQ,2022-02-07T00:00:00,2022-02-07T09:00:00,12.6,13.2,11.0,11.7,1644796751249,23596784654.395123,1918792268.806498,2022-02-07
KRW-IQ,2022-01-31T00:00:00,2022-01-31T09:00:00,11.0,13.0,10.6,12.5,1644191999752,24282128154.587666,2044967660.960121,2022-01-31
KRW-IQ,2022-01-24T00:00:00,2022-01-24T09:00:00,10.5,11.3,9.17,11.1,1643587159316,15659789751.422619,1476675940.8313608,2022-01-24
KRW-IQ,2022-01-17T00:00:00,2022-01-17T09:00:00,13.3,13.4,9.37,10.5,1642982372511,21730210873.308758,1937925772.917198,2022-01-17
KRW-IQ,2022-01-10T00:00:00,2022-01-10T09:00:00,13.6,13.7,11.9,13.3,1642377552848,15167092706.591345,1172922274.0655298,2022-01-10
KRW-IQ,2022-01-03T00:00:00,2022-01-03T09:00:00,15.7,16.6,13.2,13.6,1641772780912,26773780596.128395,1818783548.8192115,2022-01-03
KRW-IQ,2021-12-27T00:00:00,2021-12-27T09:00:00,15.7,16.4,14.1,15.7,1641167995381,15729763707.24846,1028379004.4001328,2021-12-27
KRW-IQ,2021-12-20T00:00:00,2021-12-20T09:00:00,15.1,16.3,14.1,15.9,1640563198239,18621579884.186123,1222325625.9848654,2021-12-20
KRW-IQ,2021-12-13T00:00:00,2021-12-13T09:00:00,15.6,15.7,13.7,15.2,1639958395382,31294149090.88638,2117749323.6846929,2021-12-13
KRW-IQ,2021-12-06T00:00:00,2021-12-06T09:00:00,16.8,17.9,14.7,15.6,1639353596278,34225410627.437256,2099123769.9503648,2021-12-06
KRW-IQ,2021-11-29T00:00:00,2021-11-29T09:00:00,23.0,25.2,14.7,16.8,1638748795699,121445344356.38268,5740673750.186641,2021-11-29
KRW-IQ,2021-11-22T00:00:00,2021-11-22T09:00:00,21.7,24.5,20.6,23.0,1638143994426,132889575429.4251,5954616667.830122,2021-11-22
KRW-IQ,2021-11-15T00:00:00,2021-11-15T09:00:00,21.1,25.1,18.9,21.8,1637539199339,200971809517.02133,9041464091.836864,2021-11-15
KRW-IQ,2021-11-08T00:00:00,2021-11-08T09:00:00,22.9,22.9,20.1,21.0,1636934397334,57281612754.74645,2658928476.842318,2021-11-08
KRW-IQ,2021-11-01T00:00:00,2021-11-01T09:00:00,22.3,23.6,20.8,23.0,1636329599364,70328604837.97617,3157934016.595713,2021-11-01
KRW-IQ,2021-10-25T00:00:00,2021-10-25T09:00:00,22.5,23.2,18.6,22.3,1635724799557,55710098676.021996,2639460378.0149727,2021-10-25
KRW-IQ,2021-10-18T00:00:00,2021-10-18T09:00:00,23.6,23.8,21.8,22.6,1635119995896,64911904344.29294,2864924227.85849,2021-10-18
KRW-IQ,2021-10-11T00:00:00,2021-10-11T09:00:00,22.2,33.4,21.9,23.5,1634515188166,720990225392.7411,27692278618.428368,2021-10-11
KRW-IQ,2021-10-04T00:00:00,2021-10-04T09:00:00,17.0,35.1,16.2,22.1,1633910399183,1102322665681.187,42588470478.524475,2021-10-04
KRW-IQ,2021-09-27T00:00:00,2021-09-27T09:00:00,15.8,17.8,13.7,17.1,1633305596397,81715092617.2917,5196553584.696223,2021-09-27
KRW-IQ,2021-09-20T00:00:00,2021-09-20T09:00:00,19.6,19.7,14.1,15.8,1632700746146,71249127827.19046,4231116748.841508,2021-09-20
KRW-IQ,2021-09-13T00:00:00,2021-09-13T09:00:00,19.5,21.6,18.8,19.7,1632095995428,94407494775.59425,4712017369.880176,2021-09-13
KRW-IQ,2021-09-06T00:00:00,2021-09-06T09:00:00,22.6,26.4,17.0,19.5,1631491197202,147330638315.83612,6969577437.859387,2021-09-06
KRW-IQ,2021-08-30T00:00:00,2021-08-30T09:00:00,19.3,26.6,18.2,22.6,1630886398736,212397394463.8992,10011009432.220655,2021-08-30
KRW-IQ,2021-08-23T00:00:00,2021-08-23T09:00:00,16.8,24.2,16.6,19.3,1630281592851,350276189427.8715,17742919237.91807,2021-08-23
KRW-IQ,2021-08-16T00:00:00,2021-08-16T09:00:00,18.2,18.8,15.4,16.9,1629676799099,47341012149.25101,2778359885.681756,2021-08-16
KRW-IQ,2021-08-09T00:00:00,2021-08-09T09:00:00,16.4,19.0,15.4,18.2,1629071995020,81834747556.49362,4762380405.976142,2021-08-09
KRW-IQ,2021-08-02T00:00:00,2021-08-02T09:00:00,15.6,18.0,14.2,16.5,1628467190517,84337656366.93188,5220431004.49068,2021-08-02
KRW-IQ,2021-07-26T00:00:00,2021-07-26T09:00:00,12.7,16.7,12.4,15.5,1627862399418,80524173324.02266,5549653833.517694,2021-07-26
KRW-IQ,2021-07-19T00:00:00,2021-07-19T09:00:00,12.4,13.1,10.5,12.7,1627257599930,35371520300.61714,2948348241.6604905,2021-07-19
KRW-IQ,2021-07-12T00:00:00,2021-07-12T09:00:00,14.4,15.1,11.9,12.4,1626652781736,55796040361.3843,4100146346.5117364,2021-07-12
KRW-IQ,2021-07-05T00:00:00,2021-07-05T09:00:00,16.1,16.9,12.9,14.5,1626047992054,78559987336.96239,5186228379.064468,2021-07-05
KRW-IQ,2021-06-28T00:00:00,2021-06-28T09:00:00,11.9,16.4,11.4,16.1,1625443199035,91992494842.35492,6658934975.723824,2021-06-28
