market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,first_day_of_period
KRW-JST,2023-10-09T00:00:00,2023-10-09T09:00:00,31.4,31.5,29.4,30.0,1697077198161,3279826072.401774,108671643.50199653,2023-10-09
KRW-JST,2023-10-02T00:00:00,2023-10-02T09:00:00,33.4,33.6,30.9,31.5,1696809589826,12037588754.563463,378817456.392887,2023-10-02
KRW-JST,2023-09-25T00:00:00,2023-09-25T09:00:00,30.3,40.4,29.5,33.4,1696204796411,207268262631.08972,5647858296.477754,2023-09-25
KRW-JST,2023-09-18T00:00:00,2023-09-18T09:00:00,28.8,31.2,28.8,30.5,1695599976349,4718081927.243566,156077376.31721592,2023-09-18
KRW-JST,2023-09-11T00:00:00,2023-09-11T09:00:00,27.8,30.2,26.9,28.8,1694995172865,3311979777.6274934,115591228.44655897,2023-09-11
KRW-JST,2023-09-04T00:00:00,2023-09-04T09:00:00,27.5,28.4,27.2,27.8,1694390314220,1059388662.1183574,38055254.03737001,2023-09-04
KRW-JST,2023-08-28T00:00:00,2023-08-28T09:00:00,28.2,28.6,27.3,27.6,1693785553079,1751479816.4031246,62697231.46093579,2023-08-28
KRW-JST,2023-08-21T00:00:00,2023-08-21T09:00:00,28.5,28.9,27.6,28.2,1693180767640,2321007701.1516414,82158118.51001061,2023-08-21
KRW-JST,2023-08-14T00:00:00,2023-08-14T09:00:00,30.3,30.4,27.0,28.4,1692575825742,6075932683.403281,211746448.16449597,2023-08-14
KRW-JST,2023-08-07T00:00:00,2023-08-07T09:00:00,31.4,31.4,29.4,30.2,1691971188822,7499428180.017237,247487308.32937735,2023-08-07
KRW-JST,2023-07-31T00:00:00,2023-07-31T09:00:00,31.9,33.0,30.6,31.3,1691366364671,7071762275.460354,222876268.96494347,2023-07-31
KRW-JST,2023-07-24T00:00:00,2023-07-24T09:00:00,30.7,34.6,29.4,31.7,1690761571340,11529283875.003124,367979032.5848458,2023-07-24
KRW-JST,2023-07-17T00:00:00,2023-07-17T09:00:00,30.4,33.3,29.3,30.8,1690156797811,20921952748.272877,672620167.2776208,2023-07-17
KRW-JST,2023-07-10T00:00:00,2023-07-10T09:00:00,29.7,41.0,28.9,30.5,1689551967453,148097615949.87643,4278660063.6182537,2023-07-10
KRW-JST,2023-07-03T00:00:00,2023-07-03T09:00:00,29.9,31.4,29.3,29.6,1688947177065,9730077110.937643,321447847.1141364,2023-07-03
KRW-JST,2023-06-26T00:00:00,2023-06-26T09:00:00,29.5,32.5,28.2,29.9,1688342380533,26138014147.067226,868702674.3605444,2023-06-26
