market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,first_day_of_period
KRW-KAVA,2023-10-09T00:00:00,2023-10-09T09:00:00,841.0,847.0,778.0,780.0,1697077186789,28501390554.652412,34984014.36017449,2023-10-09
KRW-KAVA,2023-10-02T00:00:00,2023-10-02T09:00:00,880.0,890.0,826.0,842.0,1696809599323,21654400564.449894,25454572.57963134,2023-10-02
KRW-KAVA,2023-09-25T00:00:00,2023-09-25T09:00:00,836.0,881.0,826.0,880.0,1696204782203,23691043235.45518,27827743.26623367,2023-09-25
KRW-KAVA,2023-09-18T00:00:00,2023-09-18T09:00:00,838.0,875.0,823.0,837.0,1695599997559,32854558035.478645,38784662.81912136,2023-09-18
KRW-KAVA,2023-09-11T00:00:00,2023-09-11T09:00:00,881.0,934.0,820.0,838.0,1694995190412,61529646834.04166,69959861.4162443,2023-09-11
KRW-KAVA,2023-09-04T00:00:00,2023-09-04T09:00:00,874.0,937.0,857.0,881.0,1694390380347,27340583760.27076,30474799.84200318,2023-09-04
KRW-KAVA,2023-08-28T00:00:00,2023-08-28T09:00:00,924.0,972.0,870.0,877.0,1693785512394,46059792943.59217,50060554.16917949,2023-08-28
KRW-KAVA,2023-08-21T00:00:00,2023-08-21T09:00:00,976.0,1010.0,904.0,925.0,1693180781245,52098315530.097,54355984.99528669,2023-08-21
KRW-KAVA,2023-08-14T00:00:00,2023-08-14T09:00:00,1105.0,1125.0,894.0,972.0,1692575992493,99701243788.75986,101543201.82833253,2023-08-14
KRW-KAVA,2023-08-07T00:00:00,2023-08-07T09:00:00,1110.0,1135.0,1070.0,1110.0,1691971186605,20439866380.680843,18474954.32379995,2023-08-07
KRW-KAVA,2023-07-31T00:00:00,2023-07-31T09:00:00,1125.0,1180.0,1090.0,1115.0,1691366392391,36591855231.55948,32461713.57744915,2023-07-31
KRW-KAVA,2023-07-24T00:00:00,2023-07-24T09:00:00,1170.0,1175.0,1085.0,1130.0,1690761591759,57924337344.60308,51038944.1661474,2023-07-24
KRW-KAVA,2023-07-17T00:00:00,2023-07-17T09:00:00,1190.0,1200.0,1145.0,1170.0,1690156797398,43057065623.27637,36715838.10792896,2023-07-17
KRW-KAVA,2023-07-10T00:00:00,2023-07-10T09:00:00,1235.0,1430.0,1165.0,1190.0,1689551990642,216191123568.58426,168027155.0348553,2023-07-10
KRW-KAVA,2023-07-03T00:00:00,2023-07-03T09:00:00,1270.0,1310.0,1205.0,1235.0,1688947144958,84020842129.60907,66562152.22281639,2023-07-03
KRW-KAVA,2023-06-26T00:00:00,2023-06-26T09:00:00,1490.0,1490.0,1170.0,1270.0,1688342385713,198589889747.3315,152383065.631967,2023-06-26
KRW-KAVA,2023-06-19T00:00:00,2023-06-19T09:00:00,1035.0,1760.0,1025.0,1485.0,1687737599768,690612454232.7238,503588810.9766173,2023-06-19
KRW-KAVA,2023-06-12T00:00:00,2023-06-12T09:00:00,1085.0,1090.0,960.0,1035.0,1687132790170,72531091341.02211,70483507.20683713,2023-06-12
KRW-KAVA,2023-06-05T00:00:00,2023-06-05T09:00:00,1330.0,1615.0,1015.0,1090.0,1686527992996,433663800463.8227,311892539.6273179,2023-06-05
KRW-KAVA,2023-05-29T00:00:00,2023-05-29T09:00:00,1540.0,1550.0,1305.0,1335.0,1685923198713,85079041104.8401,59827618.05353597,2023-05-29
KRW-KAVA,2023-05-22T00:00:00,2023-05-22T09:00:00,2280.0,2310.0,1425.0,1540.0,1685318396422,351901371664.93176,211705574.4625796,2023-05-22
KRW-KAVA,2023-05-15T00:00:00,2023-05-15T09:00:00,2705.0,2835.0,2180.0,2280.0,1684713597875,301470800576.70776,123476132.39230321,2023-05-15
KRW-KAVA,2023-05-08T00:00:00,2023-05-08T09:00:00,1770.0,2945.0,1750.0,2705.0,1684108799862,1286707856012.8794,515801800.0761297,2023-05-08
KRW-KAVA,2023-05-01T00:00:00,2023-05-01T09:00:00,1325.0,2265.0,1235.0,1770.0,1683503999853,841735306361.5621,467316786.187729,2023-05-01
KRW-KAVA,2023-04-24T00:00:00,2023-04-24T09:00:00,1370.0,1475.0,1290.0,1325.0,1682899194827,11083778393.331976,8035308.74122534,2023-04-24
KRW-KAVA,2023-04-17T00:00:00,2023-04-17T09:00:00,1525.0,1545.0,1360.0,1370.0,1682294399217,6247874259.872163,4223285.51102437,2023-04-17
KRW-KAVA,2023-04-10T00:00:00,2023-04-10T09:00:00,1540.0,1610.0,1485.0,1520.0,1681689509277,17736862418.305534,11519319.58101851,2023-04-10
KRW-KAVA,2023-04-03T00:00:00,2023-04-03T09:00:00,1545.0,1685.0,1510.0,1540.0,1681084764005,17447800357.662796,11144215.62742466,2023-04-03
KRW-KAVA,2023-03-27T00:00:00,2023-03-27T09:00:00,1645.0,1650.0,1525.0,1545.0,1680479901132,13619858272.759174,8645458.86235678,2023-03-27
KRW-KAVA,2023-03-20T00:00:00,2023-03-20T09:00:00,1695.0,1920.0,1555.0,1650.0,1679875199597,110458328918.73073,64409837.11641652,2023-03-20
KRW-KAVA,2023-03-13T00:00:00,2023-03-13T09:00:00,1555.0,1870.0,1540.0,1700.0,1679270378204,67117263502.80734,39816578.65602814,2023-03-13
KRW-KAVA,2023-03-06T00:00:00,2023-03-06T09:00:00,1710.0,1780.0,1445.0,1550.0,1678665594549,64911424914.64551,40107904.90730712,2023-03-06
KRW-KAVA,2023-02-27T00:00:00,2023-02-27T09:00:00,1840.0,2240.0,1680.0,1715.0,1678060740427,114979931552.17065,59073521.62826345,2023-02-27
KRW-KAVA,2023-02-20T00:00:00,2023-02-20T09:00:00,1975.0,2010.0,1790.0,1840.0,1677455942313,30368460440.07648,15915714.00292384,2023-02-20
KRW-KAVA,2023-02-13T00:00:00,2023-02-13T09:00:00,1880.0,2005.0,1725.0,1970.0,1676851196979,61065755592.50914,32272511.64856597,2023-02-13
KRW-KAVA,2023-02-06T00:00:00,2023-02-06T09:00:00,1965.0,2325.0,1765.0,1880.0,1676246398862,177947090741.65213,87199574.39187714,2023-02-06
KRW-KAVA,2023-01-30T00:00:00,2023-01-30T09:00:00,2165.0,2380.0,1835.0,1975.0,1675641599290,156419214266.3564,75318997.4435952,2023-01-30
KRW-KAVA,2023-01-23T00:00:00,2023-01-23T09:00:00,2200.0,2655.0,2000.0,2165.0,1675036799413,338691436337.196,153272569.91517624,2023-01-23
KRW-KAVA,2023-01-16T00:00:00,2023-01-16T09:00:00,1400.0,3200.0,1300.0,2200.0,1674431998842,787831920414.4335,344081153.82797354,2023-01-16
KRW-KAVA,2023-01-09T00:00:00,2023-01-09T09:00:00,1140.0,1650.0,1125.0,1400.0,1673827199092,134257358814.16666,100474609.75573401,2023-01-09
KRW-KAVA,2023-01-02T00:00:00,2023-01-02T09:00:00,1090.0,1220.0,1030.0,1145.0,1673222393574,47731588350.50003,42732597.31965744,2023-01-02
KRW-KAVA,2022-12-26T00:00:00,2022-12-26T09:00:00,1325.0,1325.0,1005.0,1090.0,1672617595703,50477501637.80013,43886364.21744319,2022-12-26
KRW-KAVA,2022-12-19T00:00:00,2022-12-19T09:00:00,1440.0,1465.0,1300.0,1325.0,1672012798837,44770980443.35514,32339373.26807483,2022-12-19
KRW-KAVA,2022-12-12T00:00:00,2022-12-12T09:00:00,1495.0,1790.0,1350.0,1440.0,1671407986058,182294080022.68768,116990277.35408214,2022-12-12
KRW-KAVA,2022-12-05T00:00:00,2022-12-05T09:00:00,1430.0,1905.0,1230.0,1495.0,1670803196813,269221741812.37433,163292943.90729913,2022-12-05
KRW-KAVA,2022-11-28T00:00:00,2022-11-28T09:00:00,1435.0,1595.0,1315.0,1430.0,1670198298368,69051518803.50122,47956646.17586802,2022-11-28
KRW-KAVA,2022-11-21T00:00:00,2022-11-21T09:00:00,1590.0,2230.0,1300.0,1435.0,1669593588007,320468696671.7697,186737383.75708157,2022-11-21
KRW-KAVA,2022-11-14T00:00:00,2022-11-14T09:00:00,1270.0,2435.0,1165.0,1590.0,1668988799449,423265762410.8289,234268574.70553815,2022-11-14
KRW-KAVA,2022-11-07T00:00:00,2022-11-07T09:00:00,1950.0,2000.0,1100.0,1275.0,1668383928575,30577729463.326668,20251579.080829,2022-11-07
