market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,first_day_of_period
KRW-KNC,2023-10-09T00:00:00,2023-10-09T09:00:00,951.0,987.0,860.0,864.0,1697076843470,29432906245.82323,31777536.16695366,2023-10-09
KRW-KNC,2023-10-02T00:00:00,2023-10-02T09:00:00,947.0,999.0,856.0,951.0,1696809582221,97556966345.08772,103795140.78449526,2023-10-02
KRW-KNC,2023-09-25T00:00:00,2023-09-25T09:00:00,901.0,1015.0,852.0,945.0,1696204789480,269912196120.5603,283114180.4805899,2023-09-25
KRW-KNC,2023-09-18T00:00:00,2023-09-18T09:00:00,799.0,1025.0,770.0,903.0,1695599996715,242251316754.15787,265212048.33484226,2023-09-18
KRW-KNC,2023-09-11T00:00:00,2023-09-11T09:00:00,717.0,905.0,675.0,799.0,1694995193936,176563229330.4537,215163257.94172773,2023-09-11
KRW-KNC,2023-09-04T00:00:00,2023-09-04T09:00:00,690.0,759.0,685.0,719.0,1694390264665,18580552622.075703,25579280.24881557,2023-09-04
KRW-KNC,2023-08-28T00:00:00,2023-08-28T09:00:00,709.0,743.0,674.0,690.0,1693785537724,20681985715.88656,29224946.77048154,2023-08-28
KRW-KNC,2023-08-21T00:00:00,2023-08-21T09:00:00,753.0,778.0,705.0,710.0,1693180747457,21655507756.864895,29455910.29341132,2023-08-21
KRW-KNC,2023-08-14T00:00:00,2023-08-14T09:00:00,920.0,958.0,691.0,753.0,1692575971495,192054411618.5266,221076288.27136776,2023-08-14
KRW-KNC,2023-08-07T00:00:00,2023-08-07T09:00:00,905.0,952.0,839.0,919.0,1691971198957,119513389357.0823,132744643.6656829,2023-08-07
KRW-KNC,2023-07-31T00:00:00,2023-07-31T09:00:00,977.0,1525.0,880.0,905.0,1691366394393,509763718310.46674,507736322.92683554,2023-07-31
KRW-KNC,2023-07-24T00:00:00,2023-07-24T09:00:00,800.0,1080.0,755.0,976.0,1690761598181,606319019623.5336,650443542.0594586,2023-07-24
KRW-KNC,2023-07-17T00:00:00,2023-07-17T09:00:00,770.0,835.0,740.0,800.0,1690156655135,45841173058.22585,58006720.44277248,2023-07-17
KRW-KNC,2023-07-10T00:00:00,2023-07-10T09:00:00,724.0,885.0,702.0,770.0,1689551988506,196838614015.3683,242417030.6746329,2023-07-10
KRW-KNC,2023-07-03T00:00:00,2023-07-03T09:00:00,749.0,778.0,711.0,725.0,1688947014826,21929277866.228645,29424712.29283436,2023-07-03
KRW-KNC,2023-06-26T00:00:00,2023-06-26T09:00:00,776.0,778.0,671.0,748.0,1688342246962,43016767955.611336,58198072.56433496,2023-06-26
KRW-KNC,2023-06-19T00:00:00,2023-06-19T09:00:00,633.0,983.0,611.0,776.0,1687737599483,319623955884.8765,370933992.4356585,2023-06-19
KRW-KNC,2023-06-12T00:00:00,2023-06-12T09:00:00,640.0,664.0,606.0,633.0,1687132715020,7217158246.525169,11453401.18350382,2023-06-12
KRW-KNC,2023-06-05T00:00:00,2023-06-05T09:00:00,830.0,836.0,573.0,640.0,1686527476375,9362310129.392265,13334059.55669789,2023-06-05
KRW-KNC,2023-05-29T00:00:00,2023-05-29T09:00:00,852.0,854.0,799.0,830.0,1685923087207,4012710967.4242697,4829359.49277442,2023-05-29
KRW-KNC,2023-05-22T00:00:00,2023-05-22T09:00:00,806.0,863.0,775.0,852.0,1685318391343,9173406080.211086,11070744.28275137,2023-05-22
KRW-KNC,2023-05-15T00:00:00,2023-05-15T09:00:00,812.0,865.0,802.0,808.0,1684713551511,7730977388.104448,9264956.75528422,2023-05-15
KRW-KNC,2023-05-08T00:00:00,2023-05-08T09:00:00,867.0,872.0,769.0,814.0,1684108652867,13204126331.90745,16325321.4990186,2023-05-08
KRW-KNC,2023-05-01T00:00:00,2023-05-01T09:00:00,926.0,932.0,864.0,868.0,1683503985789,10553493237.440659,11782143.75921229,2023-05-01
KRW-KNC,2023-04-24T00:00:00,2023-04-24T09:00:00,931.0,966.0,882.0,927.0,1682899196440,20097739648.076046,21487161.78108661,2023-04-24
KRW-KNC,2023-04-17T00:00:00,2023-04-17T09:00:00,1035.0,1045.0,901.0,933.0,1682294389434,34732624158.839775,35962868.77281994,2023-04-17
KRW-KNC,2023-04-10T00:00:00,2023-04-10T09:00:00,1030.0,1045.0,989.0,1040.0,1681689562691,24468237617.3844,23951639.23812871,2023-04-10
KRW-KNC,2023-04-03T00:00:00,2023-04-03T09:00:00,958.0,1135.0,922.0,1030.0,1681084797505,63174977506.476974,61777876.11100312,2023-04-03
KRW-KNC,2023-03-27T00:00:00,2023-03-27T09:00:00,935.0,1010.0,857.0,956.0,1680479960297,72971221036.11145,76069749.26564035,2023-03-27
KRW-KNC,2023-03-20T00:00:00,2023-03-20T09:00:00,1015.0,1020.0,902.0,934.0,1679875104752,26656786695.61772,27866604.27755549,2023-03-20
KRW-KNC,2023-03-13T00:00:00,2023-03-13T09:00:00,874.0,1025.0,842.0,1015.0,1679270399605,60415501904.11295,63554842.53132574,2023-03-13
KRW-KNC,2023-03-06T00:00:00,2023-03-06T09:00:00,977.0,990.0,775.0,873.0,1678665594668,42675609478.275795,48753953.35717908,2023-03-06
KRW-KNC,2023-02-27T00:00:00,2023-02-27T09:00:00,1210.0,1220.0,963.0,977.0,1678060781019,53201433194.308846,49239286.55384939,2023-02-27
KRW-KNC,2023-02-20T00:00:00,2023-02-20T09:00:00,1130.0,1300.0,1065.0,1215.0,1677455999005,179847704428.0651,150899981.82143602,2023-02-20
KRW-KNC,2023-02-13T00:00:00,2023-02-13T09:00:00,1020.0,1155.0,941.0,1130.0,1676851199621,64343516050.73654,60942104.82362478,2023-02-13
KRW-KNC,2023-02-06T00:00:00,2023-02-06T09:00:00,1070.0,1235.0,993.0,1025.0,1676246388431,140445004047.9412,124933256.07280716,2023-02-06
KRW-KNC,2023-01-30T00:00:00,2023-01-30T09:00:00,1035.0,1185.0,907.0,1070.0,1675641594955,146384473087.58383,137834017.56764483,2023-01-30
KRW-KNC,2023-01-23T00:00:00,2023-01-23T09:00:00,1030.0,1135.0,929.0,1030.0,1675036789813,108426703455.76993,106966229.1661256,2023-01-23
KRW-KNC,2023-01-16T00:00:00,2023-01-16T09:00:00,912.0,1125.0,840.0,1030.0,1674431999743,220681285271.88626,228041803.75012174,2023-01-16
KRW-KNC,2023-01-09T00:00:00,2023-01-09T09:00:00,655.0,1020.0,646.0,912.0,1673827199944,296122142607.62915,332571413.8931487,2023-01-09
KRW-KNC,2023-01-02T00:00:00,2023-01-02T09:00:00,581.0,655.0,570.0,652.0,1673222347359,11593969408.22205,18886293.95513118,2023-01-02
KRW-KNC,2022-12-26T00:00:00,2022-12-26T09:00:00,687.0,690.0,565.0,581.0,1672617517848,13331174258.361406,21714428.0972511,2022-12-26
KRW-KNC,2022-12-19T00:00:00,2022-12-19T09:00:00,705.0,712.0,651.0,686.0,1672012730190,13452960278.92491,19560157.99916085,2022-12-19
