market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,first_day_of_period
KRW-MANA,2023-10-09T00:00:00,2023-10-09T09:00:00,404.0,406.0,371.0,376.0,1697076845036,5978302659.09682,15551829.85454876,2023-10-09
KRW-MANA,2023-10-02T00:00:00,2023-10-02T09:00:00,438.0,441.0,393.0,404.0,1696809402311,11993379767.616325,29132684.00535963,2023-10-02
KRW-MANA,2023-09-25T00:00:00,2023-09-25T09:00:00,396.0,440.0,394.0,438.0,1696204787814,18069618657.18644,43910457.36159293,2023-09-25
KRW-MANA,2023-09-18T00:00:00,2023-09-18T09:00:00,389.0,423.0,384.0,396.0,1695599991717,17830175226.013798,44391609.30096388,2023-09-18
KRW-MANA,2023-09-11T00:00:00,2023-09-11T09:00:00,384.0,411.0,362.0,389.0,1694995184567,19494265331.415062,50134206.19346985,2023-09-11
KRW-MANA,2023-09-04T00:00:00,2023-09-04T09:00:00,395.0,415.0,382.0,384.0,1694390388375,12001274354.426165,30041580.3068884,2023-09-04
KRW-MANA,2023-08-28T00:00:00,2023-08-28T09:00:00,408.0,429.0,391.0,394.0,1693785567755,11742373513.75903,28695531.43799515,2023-08-28
KRW-MANA,2023-08-21T00:00:00,2023-08-21T09:00:00,423.0,427.0,399.0,408.0,1693180784130,10236447385.379498,24783753.6141346,2023-08-21
KRW-MANA,2023-08-14T00:00:00,2023-08-14T09:00:00,489.0,492.0,401.0,423.0,1692575969667,19884674879.068134,44880999.50089712,2023-08-14
KRW-MANA,2023-08-07T00:00:00,2023-08-07T09:00:00,497.0,504.0,475.0,489.0,1691971187229,10641749599.42136,21705946.83410492,2023-08-07
KRW-MANA,2023-07-31T00:00:00,2023-07-31T09:00:00,503.0,508.0,475.0,497.0,1691366377030,19198209598.83204,38920917.71482018,2023-07-31
KRW-MANA,2023-07-24T00:00:00,2023-07-24T09:00:00,527.0,529.0,492.0,503.0,1690761568548,26091810216.883762,51669018.84436242,2023-07-24
KRW-MANA,2023-07-17T00:00:00,2023-07-17T09:00:00,524.0,547.0,509.0,527.0,1690156790934,35993133421.71263,68830391.0810156,2023-07-17
KRW-MANA,2023-07-10T00:00:00,2023-07-10T09:00:00,503.0,570.0,489.0,524.0,1689551998863,60709792146.33922,113675890.32187782,2023-07-10
KRW-MANA,2023-07-03T00:00:00,2023-07-03T09:00:00,539.0,551.0,492.0,502.0,1688947177043,29029478333.621124,55677694.85780763,2023-07-03
KRW-MANA,2023-06-26T00:00:00,2023-06-26T09:00:00,519.0,567.0,475.0,539.0,1688342397836,76685909459.53468,146076389.17692634,2023-06-26
KRW-MANA,2023-06-19T00:00:00,2023-06-19T09:00:00,440.0,578.0,434.0,519.0,1687737589046,66957900096.72566,130595320.49566542,2023-06-19
KRW-MANA,2023-06-12T00:00:00,2023-06-12T09:00:00,451.0,468.0,422.0,441.0,1687132793129,17879547441.970226,40250850.26753841,2023-06-12
KRW-MANA,2023-06-05T00:00:00,2023-06-05T09:00:00,667.0,704.0,421.0,451.0,1686527974115,68490635509.99508,120525242.80602452,2023-06-05
KRW-MANA,2023-05-29T00:00:00,2023-05-29T09:00:00,650.0,685.0,612.0,667.0,1685923195663,28388202009.936516,44364211.65914583,2023-05-29
KRW-MANA,2023-05-22T00:00:00,2023-05-22T09:00:00,646.0,659.0,595.0,650.0,1685318361603,25754208821.792747,40861270.87124748,2023-05-22
KRW-MANA,2023-05-15T00:00:00,2023-05-15T09:00:00,618.0,711.0,610.0,644.0,1684713591358,71709296291.71252,105424900.59404679,2023-05-15
KRW-MANA,2023-05-08T00:00:00,2023-05-08T09:00:00,680.0,684.0,591.0,618.0,1684108792899,27528071259.32081,43870900.13323575,2023-05-08
KRW-MANA,2023-05-01T00:00:00,2023-05-01T09:00:00,728.0,744.0,660.0,682.0,1683503980646,27019239094.322052,38167357.30477566,2023-05-01
KRW-MANA,2023-04-24T00:00:00,2023-04-24T09:00:00,747.0,766.0,700.0,728.0,1682899188245,41102879445.13678,55756860.05677587,2023-04-24
