market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,first_day_of_period
KRW-MATIC,2023-10-09T00:00:00,2023-10-09T09:00:00,761.0,762.0,692.0,696.0,1697077600602,12554655170.072443,17445280.77426914,2023-10-09
KRW-MATIC,2023-10-02T00:00:00,2023-10-02T09:00:00,768.0,816.0,739.0,763.0,1696809583107,70224905803.35292,90904334.013735,2023-10-02
KRW-MATIC,2023-09-25T00:00:00,2023-09-25T09:00:00,695.0,775.0,685.0,769.0,1696204793966,26575174996.948215,37271501.91582771,2023-09-25
KRW-MATIC,2023-09-18T00:00:00,2023-09-18T09:00:00,698.0,738.0,691.0,694.0,1695599966130,18276030066.282665,25622426.39288303,2023-09-18
KRW-MATIC,2023-09-11T00:00:00,2023-09-11T09:00:00,714.0,722.0,674.0,698.0,1694995172316,23871896820.298103,34124252.14006782,2023-09-11
KRW-MATIC,2023-09-04T00:00:00,2023-09-04T09:00:00,737.0,775.0,703.0,714.0,1694390392486,24457297640.661907,32919579.80067229,2023-09-04
KRW-MATIC,2023-08-28T00:00:00,2023-08-28T09:00:00,753.0,861.0,730.0,736.0,1693785589335,51628198411.46523,66064393.13044296,2023-08-28
KRW-MATIC,2023-08-21T00:00:00,2023-08-21T09:00:00,795.0,797.0,726.0,755.0,1693180798390,28008313584.903656,37336067.1645328,2023-08-21
KRW-MATIC,2023-08-14T00:00:00,2023-08-14T09:00:00,904.0,915.0,770.0,795.0,1692575896424,38394817653.62754,46525943.88452918,2023-08-14
KRW-MATIC,2023-08-07T00:00:00,2023-08-07T09:00:00,884.0,950.0,863.0,903.0,1691971156690,29977828106.47596,33074901.8092206,2023-08-07
KRW-MATIC,2023-07-31T00:00:00,2023-07-31T09:00:00,902.0,916.0,867.0,884.0,1691366393277,29351165018.678303,32952193.50587491,2023-07-31
KRW-MATIC,2023-07-24T00:00:00,2023-07-24T09:00:00,981.0,988.0,890.0,902.0,1690761583839,73195789370.83534,78322700.52144833,2023-07-24
KRW-MATIC,2023-07-17T00:00:00,2023-07-17T09:00:00,989.0,1030.0,938.0,982.0,1690156665585,74012677995.32501,75179571.77458239,2023-07-17
KRW-MATIC,2023-07-10T00:00:00,2023-07-10T09:00:00,909.0,1175.0,886.0,989.0,1689551994154,174267544300.16263,171971543.23517302,2023-07-10
KRW-MATIC,2023-07-03T00:00:00,2023-07-03T09:00:00,906.0,953.0,863.0,910.0,1688947188729,69674205769.41588,76686303.68475239,2023-07-03
KRW-MATIC,2023-06-26T00:00:00,2023-06-26T09:00:00,882.0,914.0,807.0,906.0,1688342387411,81391250339.1849,93958136.94924133,2023-06-26
KRW-MATIC,2023-06-19T00:00:00,2023-06-19T09:00:00,781.0,948.0,775.0,883.0,1687737599677,95225313862.11723,108409551.0931415,2023-06-19
KRW-MATIC,2023-06-12T00:00:00,2023-06-12T09:00:00,840.0,883.0,733.0,780.0,1687132744425,66936769687.78607,82899386.55012521,2023-06-12
KRW-MATIC,2023-06-05T00:00:00,2023-06-05T09:00:00,1185.0,1185.0,732.0,841.0,1686527998489,129703597316.09662,143875156.62972707,2023-06-05
KRW-MATIC,2023-05-29T00:00:00,2023-05-29T09:00:00,1250.0,1270.0,1170.0,1185.0,1685923176830,32849779655.076218,27305040.52378985,2023-05-29
KRW-MATIC,2023-05-22T00:00:00,2023-05-22T09:00:00,1150.0,1300.0,1135.0,1255.0,1685318376381,47326258618.43936,39075820.26973391,2023-05-22
KRW-MATIC,2023-05-15T00:00:00,2023-05-15T09:00:00,1160.0,1210.0,1130.0,1150.0,1684713579568,38146159971.52146,32748108.76360647,2023-05-15
KRW-MATIC,2023-05-08T00:00:00,2023-05-08T09:00:00,1290.0,1295.0,1105.0,1160.0,1684108775389,60424422542.970764,51377869.32280909,2023-05-08
KRW-MATIC,2023-05-01T00:00:00,2023-05-01T09:00:00,1315.0,1360.0,1275.0,1295.0,1683503985393,41454840163.10537,31632103.60201234,2023-05-01
KRW-MATIC,2023-04-24T00:00:00,2023-04-24T09:00:00,1340.0,1405.0,1275.0,1315.0,1682899198807,67924075950.79924,50968872.55260109,2023-04-24
KRW-MATIC,2023-04-17T00:00:00,2023-04-17T09:00:00,1540.0,1555.0,1330.0,1335.0,1682294392325,85324803718.34193,58760002.81498249,2023-04-17
KRW-MATIC,2023-04-10T00:00:00,2023-04-10T09:00:00,1455.0,1560.0,1440.0,1545.0,1681689589234,88511395719.61131,58829361.89620694,2023-04-10
KRW-MATIC,2023-04-03T00:00:00,2023-04-03T09:00:00,1450.0,1535.0,1425.0,1450.0,1681084797025,59676082526.352715,40361911.5460282,2023-04-03
KRW-MATIC,2023-03-27T00:00:00,2023-03-27T09:00:00,1465.0,1510.0,1365.0,1455.0,1680479980830,91482658932.39613,63235041.93889572,2023-03-27
KRW-MATIC,2023-03-20T00:00:00,2023-03-20T09:00:00,1555.0,1565.0,1430.0,1465.0,1679875182347,150900021684.57797,100980613.29253899,2023-03-20
KRW-MATIC,2023-03-13T00:00:00,2023-03-13T09:00:00,1520.0,1650.0,1445.0,1555.0,1679270398120,278153869722.8601,178738167.89843872,2023-03-13
KRW-MATIC,2023-03-06T00:00:00,2023-03-06T09:00:00,1520.0,1560.0,1290.0,1525.0,1678665600015,194552152832.25815,136158702.35096493,2023-03-06
KRW-MATIC,2023-02-27T00:00:00,2023-02-27T09:00:00,1710.0,1730.0,1470.0,1520.0,1678060790125,135924841688.19499,84876090.42316815,2023-02-27
KRW-MATIC,2023-02-20T00:00:00,2023-02-20T09:00:00,1910.0,1940.0,1605.0,1705.0,1677455999141,185743791103.44443,103976477.0685753,2023-02-20
KRW-MATIC,2023-02-13T00:00:00,2023-02-13T09:00:00,1605.0,2020.0,1485.0,1915.0,1676851199257,376449584648.8312,212085172.40218875,2023-02-13
KRW-MATIC,2023-02-06T00:00:00,2023-02-06T09:00:00,1520.0,1720.0,1480.0,1600.0,1676246392205,261863565966.96536,161041108.61830008,2023-02-06
KRW-MATIC,2023-01-30T00:00:00,2023-01-30T09:00:00,1470.0,1615.0,1340.0,1520.0,1675641599037,213782021023.6814,144057054.3358696,2023-01-30
KRW-MATIC,2023-01-23T00:00:00,2023-01-23T09:00:00,1250.0,1510.0,1165.0,1470.0,1675036797121,289864052821.68274,215799229.40235692,2023-01-23
KRW-MATIC,2023-01-16T00:00:00,2023-01-16T09:00:00,1220.0,1300.0,1145.0,1250.0,1674431996431,175791572722.06015,142334572.19605604,2023-01-16
KRW-MATIC,2023-01-09T00:00:00,2023-01-09T09:00:00,1060.0,1305.0,1045.0,1215.0,1673827181111,193739855450.7711,166628262.5237171,2023-01-09
KRW-MATIC,2023-01-02T00:00:00,2023-01-02T09:00:00,966.0,1070.0,953.0,1060.0,1673222399955,51389333963.924995,50773706.10365496,2023-01-02
KRW-MATIC,2022-12-26T00:00:00,2022-12-26T09:00:00,1030.0,1050.0,948.0,967.0,1672617590606,39317664513.86659,39571514.10987783,2022-12-26
KRW-MATIC,2022-12-19T00:00:00,2022-12-19T09:00:00,1080.0,1090.0,1000.0,1030.0,1672012760492,36781258342.18116,35485336.80472691,2022-12-19
KRW-MATIC,2022-12-12T00:00:00,2022-12-12T09:00:00,1190.0,1235.0,1030.0,1080.0,1671407890367,64548362588.83466,55999242.46561602,2022-12-12
KRW-MATIC,2022-12-05T00:00:00,2022-12-05T09:00:00,1240.0,1265.0,1165.0,1195.0,1670803195296,51732367190.539894,42568905.75349194,2022-12-05
KRW-MATIC,2022-11-28T00:00:00,2022-11-28T09:00:00,1160.0,1280.0,1115.0,1240.0,1670198396476,108645880033.73679,89602191.38329522,2022-11-28
KRW-MATIC,2022-11-21T00:00:00,2022-11-21T09:00:00,1125.0,1230.0,1085.0,1165.0,1669593588445,163022417424.74716,140263971.65516803,2022-11-21
