market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,first_day_of_period
KRW-MED,2023-10-09T00:00:00,2023-10-09T09:00:00,12.7,12.7,11.5,11.7,1697077084596,5216460138.999895,434399805.38077223,2023-10-09
KRW-MED,2023-10-02T00:00:00,2023-10-02T09:00:00,12.6,13.0,12.0,12.7,1696809592823,12959994769.117476,1043503122.8987503,2023-10-02
KRW-MED,2023-09-25T00:00:00,2023-09-25T09:00:00,12.1,13.2,11.8,12.6,1696204799495,15629717418.527714,1264500289.2447731,2023-09-25
KRW-MED,2023-09-18T00:00:00,2023-09-18T09:00:00,11.8,12.5,11.6,12.1,1695599998840,13030961874.45255,1078531194.2492967,2023-09-18
KRW-MED,2023-09-11T00:00:00,2023-09-11T09:00:00,11.9,12.5,11.1,11.8,1694995198865,10208832470.945803,870662335.8653084,2023-09-11
KRW-MED,2023-09-04T00:00:00,2023-09-04T09:00:00,12.2,12.4,11.7,12.0,1694390399980,6245365697.931781,515367511.8232443,2023-09-04
KRW-MED,2023-08-28T00:00:00,2023-08-28T09:00:00,13.2,13.2,12.0,12.3,1693785551283,8339057955.006404,661975332.7054394,2023-08-28
KRW-MED,2023-08-21T00:00:00,2023-08-21T09:00:00,13.5,13.6,12.7,13.2,1693180762511,8823613873.308718,672122504.4737202,2023-08-21
KRW-MED,2023-08-14T00:00:00,2023-08-14T09:00:00,15.9,16.0,12.5,13.4,1692575999204,16891052864.679512,1199940340.3964052,2023-08-14
KRW-MED,2023-08-07T00:00:00,2023-08-07T09:00:00,16.1,17.0,15.8,15.9,1691971198798,26355309662.749744,1611601703.7696657,2023-08-07
KRW-MED,2023-07-31T00:00:00,2023-07-31T09:00:00,16.0,16.8,15.7,16.1,1691366384831,22642013303.437286,1397031349.9250119,2023-07-31
KRW-MED,2023-07-24T00:00:00,2023-07-24T09:00:00,16.4,17.6,15.1,16.0,1690761591709,37165215278.10341,2290691222.869273,2023-07-24
KRW-MED,2023-07-17T00:00:00,2023-07-17T09:00:00,15.7,16.6,15.1,16.5,1690156799502,17658508597.817356,1130636561.6448078,2023-07-17
KRW-MED,2023-07-10T00:00:00,2023-07-10T09:00:00,14.6,17.3,14.2,15.8,1689551979364,33862871507.39002,2179971135.422207,2023-07-10
KRW-MED,2023-07-03T00:00:00,2023-07-03T09:00:00,14.8,16.2,14.4,14.6,1688947142432,28595520796.212708,1875796920.4073236,2023-07-03
KRW-MED,2023-06-26T00:00:00,2023-06-26T09:00:00,15.1,16.5,13.9,14.8,1688342398862,32279607364.35626,2156760358.659256,2023-06-26
KRW-MED,2023-06-19T00:00:00,2023-06-19T09:00:00,13.3,16.0,13.0,15.1,1687737599209,15184273610.148424,1047695563.2793285,2023-06-19
KRW-MED,2023-06-12T00:00:00,2023-06-12T09:00:00,13.9,14.6,12.5,13.3,1687132777688,15527131942.565912,1146645203.63388,2023-06-12
KRW-MED,2023-06-05T00:00:00,2023-06-05T09:00:00,16.9,17.0,13.3,13.9,1686527998865,9056353147.481123,592886085.6744996,2023-06-05
KRW-MED,2023-05-29T00:00:00,2023-05-29T09:00:00,17.9,18.1,16.7,16.9,1685923199724,4948330990.650476,287744764.03203297,2023-05-29
KRW-MED,2023-05-22T00:00:00,2023-05-22T09:00:00,18.8,19.0,17.2,17.9,1685318398590,6221128423.573954,347032258.0536854,2023-05-22
KRW-MED,2023-05-15T00:00:00,2023-05-15T09:00:00,19.4,20.1,18.8,18.9,1684713598604,8041073941.081794,414553915.70461404,2023-05-15
KRW-MED,2023-05-08T00:00:00,2023-05-08T09:00:00,20.9,21.0,19.1,19.4,1684108792888,7187111849.683098,361994449.08534807,2023-05-08
KRW-MED,2023-05-01T00:00:00,2023-05-01T09:00:00,22.1,22.1,20.8,20.9,1683503789790,7308871109.989701,341940986.65497315,2023-05-01
KRW-MED,2023-04-24T00:00:00,2023-04-24T09:00:00,22.4,22.7,21.0,22.1,1682899162819,10574144832.876945,479321418.0624437,2023-04-24
KRW-MED,2023-04-17T00:00:00,2023-04-17T09:00:00,23.6,23.8,22.0,22.4,1682294398630,18245761870.44242,795609620.0300815,2023-04-17
KRW-MED,2023-04-10T00:00:00,2023-04-10T09:00:00,24.3,25.7,23.3,23.6,1681689598645,21612704644.152046,893628576.471469,2023-04-10
KRW-MED,2023-04-03T00:00:00,2023-04-03T09:00:00,21.8,25.7,21.3,24.2,1681084776084,40389009176.176025,1697571608.2277358,2023-04-03
KRW-MED,2023-03-27T00:00:00,2023-03-27T09:00:00,21.9,22.6,20.2,21.8,1680479990164,12579567889.96665,583316594.4891856,2023-03-27
