market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,first_day_of_period
KRW-META,2023-10-09T00:00:00,2023-10-09T09:00:00,33.6,33.7,30.4,30.7,1697077464617,7397795074.205953,231968705.91485813,2023-10-09
KRW-META,2023-10-02T00:00:00,2023-10-02T09:00:00,34.0,35.8,31.5,33.7,1696809588471,33454791054.461006,1001609524.023511,2023-10-02
KRW-META,2023-09-25T00:00:00,2023-09-25T09:00:00,30.5,37.6,29.5,34.1,1696204796465,70752433854.00813,2050276204.7423437,2023-09-25
KRW-META,2023-09-18T00:00:00,2023-09-18T09:00:00,28.7,33.1,28.2,30.5,1695599916625,46701721929.39552,1501358257.7965398,2023-09-18
KRW-META,2023-09-11T00:00:00,2023-09-11T09:00:00,28.4,30.6,27.2,28.7,1694995178075,7950403956.716615,274633772.33732843,2023-09-11
KRW-META,2023-09-04T00:00:00,2023-09-04T09:00:00,27.8,29.3,27.5,28.5,1694390321108,8886102054.318214,312960443.91211134,2023-09-04
KRW-META,2023-08-28T00:00:00,2023-08-28T09:00:00,31.1,31.1,27.3,27.8,1693785568696,12469520964.960857,427368247.0285916,2023-08-28
KRW-META,2023-08-21T00:00:00,2023-08-21T09:00:00,29.8,36.2,28.3,31.0,1693180795793,93418046756.68446,2856318844.431006,2023-08-21
KRW-META,2023-08-14T00:00:00,2023-08-14T09:00:00,35.4,35.4,26.5,29.6,1692575999629,17324338285.9185,556553265.5661577,2023-08-14
KRW-META,2023-08-07T00:00:00,2023-08-07T09:00:00,37.0,45.2,34.6,35.5,1691971078793,123291971577.19543,3072908811.9672937,2023-08-07
KRW-META,2023-07-31T00:00:00,2023-07-31T09:00:00,34.8,39.4,33.8,37.0,1691366387529,81835068982.56604,2218388023.620608,2023-07-31
KRW-META,2023-07-24T00:00:00,2023-07-24T09:00:00,35.1,38.1,32.0,34.6,1690761589182,36970356931.80064,1043979380.7993673,2023-07-24
KRW-META,2023-07-17T00:00:00,2023-07-17T09:00:00,33.3,35.6,31.7,35.2,1690156797535,10899070568.432713,323999487.15047157,2023-07-17
KRW-META,2023-07-10T00:00:00,2023-07-10T09:00:00,31.2,35.1,30.0,33.3,1689551965658,41874412164.30727,1263810127.064791,2023-07-10
KRW-META,2023-07-03T00:00:00,2023-07-03T09:00:00,31.8,33.6,30.5,31.2,1688947161670,6808250022.857824,211914963.44672337,2023-07-03
KRW-META,2023-06-26T00:00:00,2023-06-26T09:00:00,31.7,32.6,29.7,31.7,1688342271772,8343214333.410172,267786154.85454416,2023-06-26
KRW-META,2023-06-19T00:00:00,2023-06-19T09:00:00,27.1,32.9,26.6,31.7,1687737581969,10832087641.364557,356005087.4175983,2023-06-19
KRW-META,2023-06-12T00:00:00,2023-06-12T09:00:00,29.2,29.3,25.3,27.1,1687132765833,4844892194.479144,177529646.55676642,2023-06-12
KRW-META,2023-06-05T00:00:00,2023-06-05T09:00:00,33.1,34.1,28.0,29.3,1686527876613,6343368474.9882765,202703652.2417095,2023-06-05
KRW-META,2023-05-29T00:00:00,2023-05-29T09:00:00,34.2,34.8,32.0,33.1,1685923161128,3526070127.868317,105615346.55397996,2023-05-29
KRW-META,2023-05-22T00:00:00,2023-05-22T09:00:00,36.5,36.5,32.4,34.2,1685318362324,4781315492.527665,138623493.20292258,2023-05-22
KRW-META,2023-05-15T00:00:00,2023-05-15T09:00:00,37.1,37.9,36.4,36.5,1684713562749,5636536106.727957,152014724.35815826,2023-05-15
KRW-META,2023-05-08T00:00:00,2023-05-08T09:00:00,39.0,40.1,35.4,37.0,1684108792188,16675134502.53534,434768643.32945997,2023-05-08
KRW-META,2023-05-01T00:00:00,2023-05-01T09:00:00,40.0,44.5,38.4,39.1,1683503991692,69890161101.89696,1704107428.290734,2023-05-01
KRW-META,2023-04-24T00:00:00,2023-04-24T09:00:00,39.5,43.5,38.3,40.0,1682899198714,21347291503.388,526919516.03279775,2023-04-24
KRW-META,2023-04-17T00:00:00,2023-04-17T09:00:00,41.1,42.8,38.4,39.4,1682294397847,43249033862.89675,1059697488.3418823,2023-04-17
KRW-META,2023-04-10T00:00:00,2023-04-10T09:00:00,41.0,41.8,39.3,41.1,1681689591397,15177070917.762161,373598126.722795,2023-04-10
KRW-META,2023-04-03T00:00:00,2023-04-03T09:00:00,40.5,50.5,39.4,40.9,1681084794936,146371254492.7328,3208711849.027163,2023-04-03
KRW-META,2023-03-27T00:00:00,2023-03-27T09:00:00,40.4,42.1,37.8,40.3,1680479996262,12457026521.906641,311312069.30256563,2023-03-27
KRW-META,2023-03-20T00:00:00,2023-03-20T09:00:00,42.6,42.8,38.6,40.4,1679875181053,13898100311.159767,341667142.12644064,2023-03-20
KRW-META,2023-03-13T00:00:00,2023-03-13T09:00:00,38.1,44.4,37.4,42.7,1679270395262,75735690661.41339,1813889788.0390708,2023-03-13
KRW-META,2023-03-06T00:00:00,2023-03-06T09:00:00,41.8,43.0,34.1,38.2,1678665598172,20891544874.79522,543626852.2698641,2023-03-06
KRW-META,2023-02-27T00:00:00,2023-02-27T09:00:00,47.4,50.2,40.5,41.8,1678060678369,61950736346.781784,1324105157.2203126,2023-02-27
KRW-META,2023-02-20T00:00:00,2023-02-20T09:00:00,45.7,52.6,44.2,47.4,1677455992071,107187465135.69684,2238070589.7318726,2023-02-20
