market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,first_day_of_period
KRW-MLK,2023-10-09T00:00:00,2023-10-09T09:00:00,364.0,364.0,327.0,329.0,1697077041230,17378155759.64452,50490866.01962755,2023-10-09
KRW-MLK,2023-10-02T00:00:00,2023-10-02T09:00:00,355.0,388.0,342.0,364.0,1696809598802,55343549509.63102,153362016.259006,2023-10-02
KRW-MLK,2023-09-25T00:00:00,2023-09-25T09:00:00,353.0,374.0,342.0,355.0,1696204789510,31836146522.95757,90702618.424066,2023-09-25
KRW-MLK,2023-09-18T00:00:00,2023-09-18T09:00:00,343.0,356.0,335.0,353.0,1695599995444,19569458390.080086,56533396.35380769,2023-09-18
KRW-MLK,2023-09-11T00:00:00,2023-09-11T09:00:00,349.0,360.0,324.0,343.0,1694995189211,21560274524.70081,62727724.66896288,2023-09-11
KRW-MLK,2023-09-04T00:00:00,2023-09-04T09:00:00,360.0,362.0,346.0,348.0,1694390394952,12513883488.654358,35368990.17627793,2023-09-04
KRW-MLK,2023-08-28T00:00:00,2023-08-28T09:00:00,366.0,376.0,343.0,360.0,1693785584435,24180124410.508003,67188297.65316354,2023-08-28
KRW-MLK,2023-08-21T00:00:00,2023-08-21T09:00:00,371.0,404.0,356.0,365.0,1693180765431,64573508679.35296,169242866.94785538,2023-08-21
KRW-MLK,2023-08-14T00:00:00,2023-08-14T09:00:00,424.0,433.0,351.0,371.0,1692575971351,28646829791.808846,72931033.08156893,2023-08-14
KRW-MLK,2023-08-07T00:00:00,2023-08-07T09:00:00,427.0,434.0,419.0,424.0,1691971047760,15479879739.559818,36434539.95974806,2023-08-07
KRW-MLK,2023-07-31T00:00:00,2023-07-31T09:00:00,435.0,448.0,423.0,427.0,1691366396067,26568515949.77331,61378663.56901638,2023-07-31
KRW-MLK,2023-07-24T00:00:00,2023-07-24T09:00:00,450.0,457.0,422.0,435.0,1690761597128,52370318172.707504,119178385.61685936,2023-07-24
KRW-MLK,2023-07-17T00:00:00,2023-07-17T09:00:00,443.0,451.0,428.0,448.0,1690156799122,30288402352.066257,68886954.50469862,2023-07-17
KRW-MLK,2023-07-10T00:00:00,2023-07-10T09:00:00,442.0,495.0,426.0,442.0,1689551998711,143608560835.45282,315087119.808447,2023-07-10
KRW-MLK,2023-07-03T00:00:00,2023-07-03T09:00:00,459.0,471.0,432.0,442.0,1688947189569,70806307995.64067,157004524.5374819,2023-07-03
KRW-MLK,2023-06-26T00:00:00,2023-06-26T09:00:00,457.0,475.0,419.0,459.0,1688342392853,148064444373.07657,327577678.43690914,2023-06-26
KRW-MLK,2023-06-19T00:00:00,2023-06-19T09:00:00,432.0,508.0,417.0,457.0,1687737599770,218099847498.23605,477566542.21558076,2023-06-19
KRW-MLK,2023-06-12T00:00:00,2023-06-12T09:00:00,416.0,436.0,379.0,432.0,1687132799246,85185027973.80795,208225283.82485774,2023-06-12
KRW-MLK,2023-06-05T00:00:00,2023-06-05T09:00:00,441.0,488.0,391.0,416.0,1686527999292,177524147128.8711,402439487.66595864,2023-06-05
KRW-MLK,2023-05-29T00:00:00,2023-05-29T09:00:00,449.0,459.0,425.0,441.0,1685923184007,55562110997.782425,125408421.07431531,2023-05-29
KRW-MLK,2023-05-22T00:00:00,2023-05-22T09:00:00,472.0,477.0,415.0,450.0,1685318399077,68179594499.61869,153820896.59854653,2023-05-22
KRW-MLK,2023-05-15T00:00:00,2023-05-15T09:00:00,459.0,545.0,435.0,472.0,1684713599665,427583976331.496,866077416.3163607,2023-05-15
KRW-MLK,2023-05-08T00:00:00,2023-05-08T09:00:00,452.0,460.0,392.0,459.0,1684108799973,43846180942.0221,103740559.80792738,2023-05-08
KRW-MLK,2023-05-01T00:00:00,2023-05-01T09:00:00,501.0,505.0,451.0,452.0,1683503999526,55946998525.66234,117502409.4024526,2023-05-01
KRW-MLK,2023-04-24T00:00:00,2023-04-24T09:00:00,541.0,547.0,473.0,501.0,1682899191157,186635074385.14993,373223676.82276684,2023-04-24
