market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,first_day_of_period
KRW-MOC,2023-10-09T00:00:00,2023-10-09T09:00:00,110.0,114.0,101.0,103.0,1697076919397,15512144023.740295,146833090.05176267,2023-10-09
KRW-MOC,2023-10-02T00:00:00,2023-10-02T09:00:00,109.0,142.0,103.0,111.0,1696809590753,224584901431.64557,1782578624.0707076,2023-10-02
KRW-MOC,2023-09-25T00:00:00,2023-09-25T09:00:00,100.0,109.0,98.1,109.0,1696204793584,8748937717.783503,84523438.14408797,2023-09-25
KRW-MOC,2023-09-18T00:00:00,2023-09-18T09:00:00,99.6,109.0,92.5,100.0,1695599982145,12147720220.198696,121452226.23415427,2023-09-18
KRW-MOC,2023-09-11T00:00:00,2023-09-11T09:00:00,92.9,103.0,85.8,99.6,1694995186379,14556018934.491734,152509912.78228483,2023-09-11
KRW-MOC,2023-09-04T00:00:00,2023-09-04T09:00:00,92.9,96.2,90.4,92.9,1694390301793,4403955189.473795,47322969.62647417,2023-09-04
KRW-MOC,2023-08-28T00:00:00,2023-08-28T09:00:00,97.7,98.0,90.0,92.9,1693785438828,6027071512.3780575,64156276.2957453,2023-08-28
KRW-MOC,2023-08-21T00:00:00,2023-08-21T09:00:00,99.2,104.0,94.7,97.7,1693180797060,8953058034.069773,90645045.94876677,2023-08-21
KRW-MOC,2023-08-14T00:00:00,2023-08-14T09:00:00,119.0,123.0,91.8,99.2,1692575993957,19802589876.423336,183414176.86619464,2023-08-14
KRW-MOC,2023-08-07T00:00:00,2023-08-07T09:00:00,117.0,121.0,113.0,118.0,1691971147726,11067872448.158821,95279617.67099929,2023-08-07
KRW-MOC,2023-07-31T00:00:00,2023-07-31T09:00:00,115.0,140.0,112.0,117.0,1691366362224,56715353671.46304,466806801.5093661,2023-07-31
KRW-MOC,2023-07-24T00:00:00,2023-07-24T09:00:00,109.0,136.0,103.0,115.0,1690761595233,96252437768.17151,813791381.6307398,2023-07-24
KRW-MOC,2023-07-17T00:00:00,2023-07-17T09:00:00,104.0,117.0,100.0,109.0,1690156762074,18321367612.968475,169010891.2519407,2023-07-17
KRW-MOC,2023-07-10T00:00:00,2023-07-10T09:00:00,99.2,123.0,94.9,104.0,1689551904068,35461753018.41719,327614175.0852671,2023-07-10
KRW-MOC,2023-07-03T00:00:00,2023-07-03T09:00:00,97.0,102.0,93.5,99.2,1688947174212,11067759741.56806,112623802.5328364,2023-07-03
KRW-MOC,2023-06-26T00:00:00,2023-06-26T09:00:00,97.7,111.0,90.5,97.0,1688342361239,37021768818.710434,380795628.05234826,2023-06-26
KRW-MOC,2023-06-19T00:00:00,2023-06-19T09:00:00,83.5,103.0,83.4,97.7,1687737479125,33181059050.536613,363755593.39821106,2023-06-19
KRW-MOC,2023-06-12T00:00:00,2023-06-12T09:00:00,87.8,95.0,79.2,83.6,1687132752170,32786517662.877716,378168235.4930649,2023-06-12
KRW-MOC,2023-06-05T00:00:00,2023-06-05T09:00:00,103.0,104.0,77.6,88.1,1686527998614,17517612344.270584,189857279.9604608,2023-06-05
KRW-MOC,2023-05-29T00:00:00,2023-05-29T09:00:00,107.0,108.0,100.0,104.0,1685923187895,3247951982.3254786,31403408.7912983,2023-05-29
KRW-MOC,2023-05-22T00:00:00,2023-05-22T09:00:00,112.0,113.0,101.0,107.0,1685318387988,6619932638.321094,61689014.85783197,2023-05-22
KRW-MOC,2023-05-15T00:00:00,2023-05-15T09:00:00,114.0,118.0,111.0,113.0,1684713593881,6710797709.548689,58233482.40885574,2023-05-15
KRW-MOC,2023-05-08T00:00:00,2023-05-08T09:00:00,126.0,126.0,109.0,115.0,1684108584772,43845388762.211525,367335000.3423317,2023-05-08
KRW-MOC,2023-05-01T00:00:00,2023-05-01T09:00:00,128.0,129.0,121.0,126.0,1683503971202,5018620835.983249,40066912.23293206,2023-05-01
KRW-MOC,2023-04-24T00:00:00,2023-04-24T09:00:00,129.0,131.0,121.0,128.0,1682899192347,8397212883.098109,66142800.84386105,2023-04-24
KRW-MOC,2023-04-17T00:00:00,2023-04-17T09:00:00,139.0,139.0,127.0,130.0,1682294373713,13818056882.06584,103860468.95409745,2023-04-17
KRW-MOC,2023-04-10T00:00:00,2023-04-10T09:00:00,147.0,149.0,135.0,139.0,1681689556571,31020882538.41379,220849522.10031536,2023-04-10
KRW-MOC,2023-04-03T00:00:00,2023-04-03T09:00:00,133.0,149.0,130.0,147.0,1681084797750,70654765609.26076,500606563.6253631,2023-04-03
KRW-MOC,2023-03-27T00:00:00,2023-03-27T09:00:00,135.0,140.0,123.0,134.0,1680479991088,25747665726.393845,195233377.2595094,2023-03-27
KRW-MOC,2023-03-20T00:00:00,2023-03-20T09:00:00,142.0,152.0,132.0,136.0,1679875139239,42400329420.227905,298729829.7586272,2023-03-20
KRW-MOC,2023-03-13T00:00:00,2023-03-13T09:00:00,125.0,148.0,121.0,143.0,1679270348524,53445942224.30749,390038816.845328,2023-03-13
KRW-MOC,2023-03-06T00:00:00,2023-03-06T09:00:00,136.0,140.0,115.0,125.0,1678665598770,34895750176.459946,279805777.6225132,2023-03-06
KRW-MOC,2023-02-27T00:00:00,2023-02-27T09:00:00,157.0,157.0,132.0,136.0,1678060798323,54325520711.400215,375389116.9850529,2023-02-27
KRW-MOC,2023-02-20T00:00:00,2023-02-20T09:00:00,114.0,306.0,111.0,157.0,1677455996806,635572005640.4946,3163303141.2373466,2023-02-20
KRW-MOC,2023-02-13T00:00:00,2023-02-13T09:00:00,102.0,117.0,93.1,114.0,1676851195110,31726405662.271877,292231116.64216036,2023-02-13
KRW-MOC,2023-02-06T00:00:00,2023-02-06T09:00:00,105.0,111.0,97.0,102.0,1676246381990,34310691073.697414,328223818.21672267,2023-02-06
KRW-MOC,2023-01-30T00:00:00,2023-01-30T09:00:00,100.0,122.0,87.3,106.0,1675641597469,52336537619.57806,511741350.34706813,2023-01-30
KRW-MOC,2023-01-23T00:00:00,2023-01-23T09:00:00,94.6,102.0,88.4,100.0,1675036795202,59859210396.574486,621199065.9554183,2023-01-23
KRW-MOC,2023-01-16T00:00:00,2023-01-16T09:00:00,88.8,102.0,84.1,94.7,1674431997283,138411648263.58957,1468778748.8535955,2023-01-16
KRW-MOC,2023-01-09T00:00:00,2023-01-09T09:00:00,72.5,93.3,71.5,88.7,1673827197676,58133744027.56256,709770466.5239358,2023-01-09
KRW-MOC,2023-01-02T00:00:00,2023-01-02T09:00:00,70.3,74.0,68.9,72.4,1673222392886,14323940222.598143,201166893.43957907,2023-01-02
KRW-MOC,2022-12-26T00:00:00,2022-12-26T09:00:00,76.8,76.9,64.1,70.3,1672617569295,15623364175.458069,221361002.30495408,2022-12-26
KRW-MOC,2022-12-19T00:00:00,2022-12-19T09:00:00,77.1,96.3,70.0,76.9,1672012768249,116905345990.34787,1372848358.3204072,2022-12-19
KRW-MOC,2022-12-12T00:00:00,2022-12-12T09:00:00,86.4,87.6,71.7,77.3,1671407969372,13685543893.519485,169408693.98065642,2022-12-12
KRW-MOC,2022-12-05T00:00:00,2022-12-05T09:00:00,88.6,98.0,81.4,86.4,1670803195169,52035977802.00443,571492854.1246899,2022-12-05
