market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,first_day_of_period
KRW-ONG,2023-10-09T00:00:00,2023-10-09T09:00:00,310.0,314.0,297.0,300.0,1697076312371,7306095696.072407,24048678.91321257,2023-10-09
KRW-ONG,2023-10-02T00:00:00,2023-10-02T09:00:00,314.0,370.0,296.0,310.0,1696809597916,33704185685.957375,102808297.18226048,2023-10-02
KRW-ONG,2023-09-25T00:00:00,2023-09-25T09:00:00,305.0,323.0,292.0,314.0,1696204795793,10466505443.856524,34326303.34698853,2023-09-25
KRW-ONG,2023-09-18T00:00:00,2023-09-18T09:00:00,293.0,322.0,289.0,306.0,1695599937523,20946641695.65839,67637716.59592804,2023-09-18
KRW-ONG,2023-09-11T00:00:00,2023-09-11T09:00:00,284.0,300.0,269.0,293.0,1694995197484,9241823772.434399,32095707.00296349,2023-09-11
KRW-ONG,2023-09-04T00:00:00,2023-09-04T09:00:00,287.0,294.0,280.0,284.0,1694390389995,4878683006.884639,17007617.62676172,2023-09-04
KRW-ONG,2023-08-28T00:00:00,2023-08-28T09:00:00,294.0,299.0,279.0,287.0,1693785596019,5737390023.876117,19870244.30707683,2023-08-28
KRW-ONG,2023-08-21T00:00:00,2023-08-21T09:00:00,300.0,307.0,287.0,294.0,1693180744949,7747832021.261892,26129370.47353294,2023-08-21
KRW-ONG,2023-08-14T00:00:00,2023-08-14T09:00:00,338.0,371.0,276.0,300.0,1692575853118,64767910426.610825,190997794.40778095,2023-08-14
KRW-ONG,2023-08-07T00:00:00,2023-08-07T09:00:00,324.0,352.0,315.0,338.0,1691971196474,40007787703.55515,120509908.00637358,2023-08-07
KRW-ONG,2023-07-31T00:00:00,2023-07-31T09:00:00,323.0,326.0,306.0,325.0,1691366380732,12773832489.189453,40452943.66565811,2023-07-31
KRW-ONG,2023-07-24T00:00:00,2023-07-24T09:00:00,325.0,356.0,302.0,323.0,1690761589146,39040645506.20172,120130341.31816734,2023-07-24
KRW-ONG,2023-07-17T00:00:00,2023-07-17T09:00:00,327.0,380.0,305.0,325.0,1690156788025,107087853986.4076,313296505.00261587,2023-07-17
KRW-ONG,2023-07-10T00:00:00,2023-07-10T09:00:00,301.0,505.0,293.0,325.0,1689551996683,508276592216.4206,1222654323.7935526,2023-07-10
KRW-ONG,2023-07-03T00:00:00,2023-07-03T09:00:00,310.0,323.0,295.0,302.0,1688947191317,5758396727.987563,18681970.47111725,2023-07-03
KRW-ONG,2023-06-26T00:00:00,2023-06-26T09:00:00,308.0,330.0,283.0,310.0,1688342382173,18791379034.75797,60729923.69162705,2023-06-26
KRW-ONG,2023-06-19T00:00:00,2023-06-19T09:00:00,259.0,311.0,257.0,306.0,1687737575704,7393375052.249947,25626759.85571983,2023-06-19
KRW-ONG,2023-06-12T00:00:00,2023-06-12T09:00:00,265.0,268.0,247.0,259.0,1687132692193,2904148775.056024,11185998.13206775,2023-06-12
KRW-ONG,2023-06-05T00:00:00,2023-06-05T09:00:00,328.0,342.0,247.0,266.0,1686527968346,8499576354.907409,28726570.60652943,2023-06-05
KRW-ONG,2023-05-29T00:00:00,2023-05-29T09:00:00,333.0,339.0,318.0,329.0,1685923172477,3544244093.5462036,10806190.42034408,2023-05-29
KRW-ONG,2023-05-22T00:00:00,2023-05-22T09:00:00,334.0,346.0,321.0,333.0,1685318382386,5532113515.337326,16623961.48679594,2023-05-22
KRW-ONG,2023-05-15T00:00:00,2023-05-15T09:00:00,338.0,364.0,333.0,334.0,1684713551780,10130641876.674265,29343082.303481,2023-05-15
KRW-ONG,2023-05-08T00:00:00,2023-05-08T09:00:00,357.0,358.0,323.0,338.0,1684108759610,7535194631.726915,22060494.98429433,2023-05-08
KRW-ONG,2023-05-01T00:00:00,2023-05-01T09:00:00,381.0,426.0,356.0,357.0,1683503989905,72537134643.62619,182381680.79034975,2023-05-01
KRW-ONG,2023-04-24T00:00:00,2023-04-24T09:00:00,388.0,390.0,366.0,381.0,1682899183902,5813990146.259369,15288176.43256672,2023-04-24
KRW-ONG,2023-04-17T00:00:00,2023-04-17T09:00:00,413.0,424.0,373.0,389.0,1682294390458,26681123953.822773,66050527.67393849,2023-04-17
KRW-ONG,2023-04-10T00:00:00,2023-04-10T09:00:00,400.0,431.0,389.0,413.0,1681689598698,37360617188.63153,90315019.97545838,2023-04-10
KRW-ONG,2023-04-03T00:00:00,2023-04-03T09:00:00,394.0,454.0,381.0,400.0,1681084798835,71261268937.33324,168942245.5976557,2023-04-03
KRW-ONG,2023-03-27T00:00:00,2023-03-27T09:00:00,385.0,457.0,358.0,394.0,1680479992413,45442278035.73777,112100391.73996931,2023-03-27
KRW-ONG,2023-03-20T00:00:00,2023-03-20T09:00:00,412.0,417.0,367.0,385.0,1679875186882,17313871671.214493,44277422.55137111,2023-03-20
KRW-ONG,2023-03-13T00:00:00,2023-03-13T09:00:00,355.0,420.0,346.0,412.0,1679270376580,28929664546.972813,74151517.22893886,2023-03-13
KRW-ONG,2023-03-06T00:00:00,2023-03-06T09:00:00,390.0,418.0,322.0,355.0,1678665586149,21264239489.034473,56357802.18094437,2023-03-06
KRW-ONG,2023-02-27T00:00:00,2023-02-27T09:00:00,446.0,458.0,385.0,391.0,1678060796175,21887277260.338898,52190814.28059974,2023-02-27
KRW-ONG,2023-02-20T00:00:00,2023-02-20T09:00:00,441.0,496.0,425.0,445.0,1677455999658,65094758077.10402,141771052.24151546,2023-02-20
KRW-ONG,2023-02-13T00:00:00,2023-02-13T09:00:00,401.0,465.0,361.0,441.0,1676851195893,72717087424.66046,173189266.08226436,2023-02-13
KRW-ONG,2023-02-06T00:00:00,2023-02-06T09:00:00,404.0,555.0,387.0,401.0,1676246399334,266713493398.03677,584174176.835706,2023-02-06
KRW-ONG,2023-01-30T00:00:00,2023-01-30T09:00:00,387.0,457.0,346.0,404.0,1675641598262,98569832601.04182,246859885.68039668,2023-01-30
KRW-ONG,2023-01-23T00:00:00,2023-01-23T09:00:00,364.0,408.0,344.0,389.0,1675036799968,46826038243.41022,125182739.90890068,2023-01-23
KRW-ONG,2023-01-16T00:00:00,2023-01-16T09:00:00,336.0,386.0,322.0,366.0,1674431995091,47177679638.723976,132053246.33997771,2023-01-16
KRW-ONG,2023-01-09T00:00:00,2023-01-09T09:00:00,283.0,352.0,281.0,338.0,1673827196888,28113783133.153286,89464981.7922531,2023-01-09
KRW-ONG,2023-01-02T00:00:00,2023-01-02T09:00:00,281.0,298.0,271.0,284.0,1673222397370,9163509500.926195,32544145.18320921,2023-01-02
KRW-ONG,2022-12-26T00:00:00,2022-12-26T09:00:00,307.0,307.0,261.0,281.0,1672617582873,4088780387.716464,14544282.00892209,2022-12-26
KRW-ONG,2022-12-19T00:00:00,2022-12-19T09:00:00,308.0,333.0,280.0,307.0,1672012797353,11619512053.12998,37457484.23425744,2022-12-19
KRW-ONG,2022-12-12T00:00:00,2022-12-12T09:00:00,350.0,368.0,287.0,308.0,1671407991413,15737993467.98974,45981116.20554676,2022-12-12
KRW-ONG,2022-12-05T00:00:00,2022-12-05T09:00:00,352.0,372.0,332.0,351.0,1670803197392,12863699700.008804,36687887.12082629,2022-12-05
KRW-ONG,2022-11-28T00:00:00,2022-11-28T09:00:00,354.0,382.0,336.0,351.0,1670198396850,19148423748.382347,53979561.32437252,2022-11-28
KRW-ONG,2022-11-21T00:00:00,2022-11-21T09:00:00,348.0,388.0,330.0,354.0,1669593597975,24919793166.101383,71824056.78678305,2022-11-21
KRW-ONG,2022-11-14T00:00:00,2022-11-14T09:00:00,315.0,437.0,283.0,359.0,1668988798828,61422838138.350266,164382173.6233424,2022-11-14
KRW-ONG,2022-11-07T00:00:00,2022-11-07T09:00:00,465.0,474.0,301.0,315.0,1668383986562,20710011023.767494,56730071.20626737,2022-11-07
KRW-ONG,2022-10-31T00:00:00,2022-10-31T09:00:00,459.0,500.0,446.0,465.0,1667779198544,42366272066.86494,90092065.3697714,2022-10-31
KRW-ONG,2022-10-24T00:00:00,2022-10-24T09:00:00,460.0,478.0,444.0,459.0,1667174373477,23772038103.131584,51879324.82313554,2022-10-24
KRW-ONG,2022-10-17T00:00:00,2022-10-17T09:00:00,458.0,504.0,432.0,461.0,1666569599685,29775746543.518898,63900506.06329859,2022-10-17
KRW-ONG,2022-10-10T00:00:00,2022-10-10T09:00:00,475.0,490.0,418.0,455.0,1665964797133,12672951919.215265,27408266.65369618,2022-10-10
KRW-ONG,2022-10-03T00:00:00,2022-10-03T09:00:00,472.0,509.0,460.0,475.0,1665359999364,39708818176.847145,83034567.25204454,2022-10-03
KRW-ONG,2022-09-26T00:00:00,2022-09-26T09:00:00,475.0,512.0,461.0,472.0,1664755199790,35778908884.984764,73712087.56903131,2022-09-26
KRW-ONG,2022-09-19T00:00:00,2022-09-19T09:00:00,473.0,485.0,450.0,475.0,1664150391235,9968861957.251324,21113021.71532611,2022-09-19
KRW-ONG,2022-09-12T00:00:00,2022-09-12T09:00:00,514.0,519.0,465.0,471.0,1663545575580,42235274725.156975,84695286.54402082,2022-09-12
KRW-ONG,2022-09-05T00:00:00,2022-09-05T09:00:00,493.0,566.0,457.0,513.0,1662940799768,84323163513.0812,160064255.51411852,2022-09-05
KRW-ONG,2022-08-29T00:00:00,2022-08-29T09:00:00,483.0,523.0,475.0,493.0,1662335985278,18538386840.782978,36773049.50881142,2022-08-29
KRW-ONG,2022-08-22T00:00:00,2022-08-22T09:00:00,521.0,541.0,480.0,483.0,1661731190345,15740716447.814226,31043190.42172992,2022-08-22
KRW-ONG,2022-08-15T00:00:00,2022-08-15T09:00:00,612.0,687.0,501.0,521.0,1661126399995,92422401570.79495,150644028.3904889,2022-08-15
KRW-ONG,2022-08-08T00:00:00,2022-08-08T09:00:00,589.0,630.0,555.0,612.0,1660521576242,44841471615.138016,74947165.63984464,2022-08-08
KRW-ONG,2022-08-01T00:00:00,2022-08-01T09:00:00,582.0,608.0,544.0,590.0,1659916799813,60712684272.50646,105275837.28850035,2022-08-01
KRW-ONG,2022-07-25T00:00:00,2022-07-25T09:00:00,521.0,605.0,482.0,582.0,1659311999913,89782177511.74635,166260770.039584,2022-07-25
KRW-ONG,2022-07-18T00:00:00,2022-07-18T09:00:00,487.0,553.0,479.0,520.0,1658707199967,59513185881.84673,114007447.46397865,2022-07-18
KRW-ONG,2022-07-11T00:00:00,2022-07-11T09:00:00,502.0,503.0,435.0,487.0,1658102398329,21194246129.14271,44544168.20700314,2022-07-11
KRW-ONG,2022-07-04T00:00:00,2022-07-04T09:00:00,501.0,535.0,472.0,503.0,1657497588712,55611072928.8851,110344467.72269516,2022-07-04
KRW-ONG,2022-06-27T00:00:00,2022-06-27T09:00:00,509.0,606.0,443.0,487.0,1656892794569,61745681976.108284,120636922.14364456,2022-06-27
KRW-ONG,2022-06-20T00:00:00,2022-06-20T09:00:00,457.0,539.0,432.0,509.0,1656287997874,53035484798.386154,108978617.57316005,2022-06-20
KRW-ONG,2022-06-13T00:00:00,2022-06-13T09:00:00,512.0,513.0,374.0,457.0,1655683184754,42609635746.32047,96953125.46929564,2022-06-13
KRW-ONG,2022-06-06T00:00:00,2022-06-06T09:00:00,572.0,911.0,495.0,512.0,1655078398029,435473123004.7071,592690489.9035735,2022-06-06
KRW-ONG,2022-05-30T00:00:00,2022-05-30T09:00:00,521.0,650.0,512.0,572.0,1654473600064,107958577994.38956,185689499.6284074,2022-05-30
KRW-ONG,2022-05-23T00:00:00,2022-05-23T09:00:00,532.0,633.0,476.0,521.0,1653868790150,89851207902.5573,162671313.26459283,2022-05-23
KRW-ONG,2022-05-16T00:00:00,2022-05-16T09:00:00,539.0,676.0,448.0,532.0,1653263998275,130145033951.35123,226759455.14489028,2022-05-16
