market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,first_day_of_period
KRW-ONT,2023-10-09T00:00:00,2023-10-09T09:00:00,233.0,234.0,213.0,214.0,1697076426067,5829449572.726962,26157233.30656874,2023-10-09
KRW-ONT,2023-10-02T00:00:00,2023-10-02T09:00:00,239.0,239.0,219.0,232.0,1696809599402,11513988508.537985,50242059.17247103,2023-10-02
KRW-ONT,2023-09-25T00:00:00,2023-09-25T09:00:00,225.0,240.0,219.0,239.0,1696204740570,10609226219.482187,46793980.86851293,2023-09-25
KRW-ONT,2023-09-18T00:00:00,2023-09-18T09:00:00,221.0,275.0,218.0,224.0,1695599988547,65703569745.868225,263881112.14303568,2023-09-18
KRW-ONT,2023-09-11T00:00:00,2023-09-11T09:00:00,213.0,234.0,201.0,221.0,1694995198561,9382984555.45848,42942629.66283029,2023-09-11
KRW-ONT,2023-09-04T00:00:00,2023-09-04T09:00:00,208.0,232.0,205.0,213.0,1694390393158,13086846787.894875,58820466.44443845,2023-09-04
KRW-ONT,2023-08-28T00:00:00,2023-08-28T09:00:00,215.0,226.0,204.0,208.0,1693785558241,5490827191.539925,25729711.43519284,2023-08-28
KRW-ONT,2023-08-21T00:00:00,2023-08-21T09:00:00,224.0,231.0,207.0,216.0,1693180777994,5499058651.354113,25239321.01711669,2023-08-21
KRW-ONT,2023-08-14T00:00:00,2023-08-14T09:00:00,264.0,273.0,203.0,223.0,1692575911804,21039378003.769344,85543505.21852013,2023-08-14
KRW-ONT,2023-08-07T00:00:00,2023-08-07T09:00:00,253.0,269.0,241.0,265.0,1691971197249,22702102710.508472,88269678.46146734,2023-08-07
KRW-ONT,2023-07-31T00:00:00,2023-07-31T09:00:00,251.0,257.0,245.0,253.0,1691366345646,10940513913.916094,43748077.24862789,2023-07-31
KRW-ONT,2023-07-24T00:00:00,2023-07-24T09:00:00,268.0,269.0,245.0,252.0,1690761581220,12032452002.106249,47739220.65931215,2023-07-24
KRW-ONT,2023-07-17T00:00:00,2023-07-17T09:00:00,264.0,271.0,250.0,267.0,1690156788647,17074913780.61073,65018942.55628948,2023-07-17
KRW-ONT,2023-07-10T00:00:00,2023-07-10T09:00:00,253.0,280.0,246.0,264.0,1689551985002,40405582705.51384,151527422.46611527,2023-07-10
KRW-ONT,2023-07-03T00:00:00,2023-07-03T09:00:00,271.0,276.0,243.0,254.0,1688947112325,18141677492.85238,69888183.4658938,2023-07-03
KRW-ONT,2023-06-26T00:00:00,2023-06-26T09:00:00,258.0,305.0,240.0,271.0,1688342378684,72223024958.26239,262441105.4335118,2023-06-26
KRW-ONT,2023-06-19T00:00:00,2023-06-19T09:00:00,215.0,271.0,213.0,258.0,1687737584544,20362878229.98683,83002895.40034786,2023-06-19
KRW-ONT,2023-06-12T00:00:00,2023-06-12T09:00:00,214.0,225.0,205.0,215.0,1687132758210,9244157156.868654,43110031.10311928,2023-06-12
KRW-ONT,2023-06-05T00:00:00,2023-06-05T09:00:00,298.0,299.0,203.0,213.0,1686527954222,16556176186.758602,67022336.60498142,2023-06-05
KRW-ONT,2023-05-29T00:00:00,2023-05-29T09:00:00,316.0,324.0,287.0,298.0,1685923192819,18449928862.60391,60525487.80698852,2023-05-29
KRW-ONT,2023-05-22T00:00:00,2023-05-22T09:00:00,291.0,329.0,282.0,315.0,1685318353010,56373263835.996346,182744810.0722955,2023-05-22
KRW-ONT,2023-05-15T00:00:00,2023-05-15T09:00:00,271.0,317.0,268.0,292.0,1684713576437,44494714287.625465,149723471.6291943,2023-05-15
KRW-ONT,2023-05-08T00:00:00,2023-05-08T09:00:00,298.0,300.0,259.0,271.0,1684108740389,13616892387.863415,49268406.21707936,2023-05-08
KRW-ONT,2023-05-01T00:00:00,2023-05-01T09:00:00,317.0,319.0,297.0,298.0,1683503956478,15988270949.8948,52027186.55500016,2023-05-01
KRW-ONT,2023-04-24T00:00:00,2023-04-24T09:00:00,323.0,337.0,301.0,317.0,1682899191121,17960242722.880745,56212489.11140892,2023-04-24
KRW-ONT,2023-04-17T00:00:00,2023-04-17T09:00:00,397.0,418.0,315.0,323.0,1682294366063,114510561010.80452,309758974.16645914,2023-04-17
KRW-ONT,2023-04-10T00:00:00,2023-04-10T09:00:00,345.0,422.0,320.0,397.0,1681689599805,248408300052.24725,644205792.3307222,2023-04-10
KRW-ONT,2023-04-03T00:00:00,2023-04-03T09:00:00,312.0,469.0,305.0,345.0,1681084789720,601636981727.7864,1463731526.445815,2023-04-03
KRW-ONT,2023-03-27T00:00:00,2023-03-27T09:00:00,306.0,332.0,282.0,312.0,1680479991482,21435559113.266327,69526280.95814604,2023-03-27
KRW-ONT,2023-03-20T00:00:00,2023-03-20T09:00:00,332.0,337.0,284.0,306.0,1679875186561,16546362462.54459,53724275.53611642,2023-03-20
KRW-ONT,2023-03-13T00:00:00,2023-03-13T09:00:00,273.0,350.0,262.0,333.0,1679270369112,50928028085.441444,161190352.869807,2023-03-13
KRW-ONT,2023-03-06T00:00:00,2023-03-06T09:00:00,297.0,305.0,241.0,272.0,1678665588106,21362071167.69803,78692350.14384568,2023-03-06
KRW-ONT,2023-02-27T00:00:00,2023-02-27T09:00:00,340.0,354.0,292.0,297.0,1678060797071,27877471586.9555,84694072.38129723,2023-02-27
KRW-ONT,2023-02-20T00:00:00,2023-02-20T09:00:00,328.0,404.0,319.0,338.0,1677455970432,86264143827.1624,237117174.0569018,2023-02-20
KRW-ONT,2023-02-13T00:00:00,2023-02-13T09:00:00,292.0,338.0,265.0,328.0,1676851199455,26927849353.774673,88382387.19337542,2023-02-13
KRW-ONT,2023-02-06T00:00:00,2023-02-06T09:00:00,301.0,334.0,271.0,292.0,1676246394338,67929162801.00167,226576834.9972035,2023-02-06
KRW-ONT,2023-01-30T00:00:00,2023-01-30T09:00:00,274.0,304.0,248.0,301.0,1675641599676,32416202248.57593,117183992.2490735,2023-01-30
KRW-ONT,2023-01-23T00:00:00,2023-01-23T09:00:00,251.0,283.0,238.0,274.0,1675036776126,35410042936.689995,133528989.70972669,2023-01-23
KRW-ONT,2023-01-16T00:00:00,2023-01-16T09:00:00,244.0,262.0,231.0,250.0,1674431955811,20196024603.278805,81417688.05068497,2023-01-16
KRW-ONT,2023-01-09T00:00:00,2023-01-09T09:00:00,208.0,250.0,207.0,244.0,1673827191311,12303540806.905285,53548643.23412597,2023-01-09
KRW-ONT,2023-01-02T00:00:00,2023-01-02T09:00:00,195.0,208.0,192.0,207.0,1673222382834,3677753013.105937,18355646.09685336,2023-01-02
KRW-ONT,2022-12-26T00:00:00,2022-12-26T09:00:00,205.0,206.0,182.0,195.0,1672617594932,5781677718.1044235,29725933.87429978,2022-12-26
KRW-ONT,2022-12-19T00:00:00,2022-12-19T09:00:00,216.0,218.0,200.0,206.0,1672012477114,5519243842.248171,26257768.38395327,2022-12-19
KRW-ONT,2022-12-12T00:00:00,2022-12-12T09:00:00,243.0,262.0,210.0,216.0,1671407987301,16475940195.936539,68180289.89259973,2022-12-12
KRW-ONT,2022-12-05T00:00:00,2022-12-05T09:00:00,252.0,259.0,234.0,243.0,1670803155871,12288157631.162992,49654953.40108554,2022-12-05
KRW-ONT,2022-11-28T00:00:00,2022-11-28T09:00:00,246.0,259.0,237.0,251.0,1670198318138,12982509003.630802,51883717.01336163,2022-11-28
KRW-ONT,2022-11-21T00:00:00,2022-11-21T09:00:00,232.0,257.0,226.0,247.0,1669593591425,18368617114.154526,75349772.73090608,2022-11-21
KRW-ONT,2022-11-14T00:00:00,2022-11-14T09:00:00,229.0,258.0,211.0,233.0,1668988772570,10645093226.713428,44417470.85054217,2022-11-14
KRW-ONT,2022-11-07T00:00:00,2022-11-07T09:00:00,319.0,347.0,217.0,229.0,1668383889139,21737978486.213833,77442023.23567235,2022-11-07
KRW-ONT,2022-10-31T00:00:00,2022-10-31T09:00:00,317.0,357.0,300.0,319.0,1667779192661,13748923003.57825,42284323.1241854,2022-10-31
KRW-ONT,2022-10-24T00:00:00,2022-10-24T09:00:00,307.0,327.0,300.0,315.0,1667174239289,8722525917.910376,27949097.12769773,2022-10-24
KRW-ONT,2022-10-17T00:00:00,2022-10-17T09:00:00,302.0,321.0,287.0,307.0,1666569412549,14654346394.086798,48021408.41862849,2022-10-17
KRW-ONT,2022-10-10T00:00:00,2022-10-10T09:00:00,321.0,336.0,281.0,302.0,1665964797229,10065473422.86208,32764160.98927797,2022-10-10
KRW-ONT,2022-10-03T00:00:00,2022-10-03T09:00:00,314.0,328.0,311.0,321.0,1665359981298,7928032137.508585,24693429.85281622,2022-10-03
KRW-ONT,2022-09-26T00:00:00,2022-09-26T09:00:00,312.0,332.0,304.0,314.0,1664755187616,11630214329.65986,36382857.35249928,2022-09-26
KRW-ONT,2022-09-19T00:00:00,2022-09-19T09:00:00,311.0,332.0,298.0,312.0,1664150398254,11624623278.082033,37041261.17990016,2022-09-19
KRW-ONT,2022-09-12T00:00:00,2022-09-12T09:00:00,349.0,357.0,305.0,311.0,1663545584326,16353689109.903698,49461391.70757168,2022-09-12
KRW-ONT,2022-09-05T00:00:00,2022-09-05T09:00:00,336.0,358.0,305.0,349.0,1662940799893,18025823812.549873,53352623.88196889,2022-09-05
KRW-ONT,2022-08-29T00:00:00,2022-08-29T09:00:00,323.0,345.0,318.0,336.0,1662335959591,13719601429.391172,41002177.23187576,2022-08-29
KRW-ONT,2022-08-22T00:00:00,2022-08-22T09:00:00,351.0,363.0,322.0,323.0,1661731197155,24585372658.072533,71269331.47724798,2022-08-22
KRW-ONT,2022-08-15T00:00:00,2022-08-15T09:00:00,393.0,460.0,332.0,350.0,1661126265589,96689815562.1266,240697659.66139513,2022-08-15
KRW-ONT,2022-08-08T00:00:00,2022-08-08T09:00:00,383.0,427.0,356.0,393.0,1660521597477,41310983278.51633,105685524.76510894,2022-08-08
KRW-ONT,2022-08-01T00:00:00,2022-08-01T09:00:00,360.0,439.0,350.0,383.0,1659916786471,72540063493.95699,182466523.6680969,2022-08-01
KRW-ONT,2022-07-25T00:00:00,2022-07-25T09:00:00,330.0,413.0,296.0,360.0,1659311998229,51633122344.39423,143706888.12837058,2022-07-25
KRW-ONT,2022-07-18T00:00:00,2022-07-18T09:00:00,304.0,359.0,303.0,329.0,1658707191682,31393206901.379356,94574373.53707328,2022-07-18
KRW-ONT,2022-07-11T00:00:00,2022-07-11T09:00:00,331.0,332.0,273.0,303.0,1658102356076,15735091131.855967,52379454.9269012,2022-07-11
KRW-ONT,2022-07-04T00:00:00,2022-07-04T09:00:00,310.0,377.0,300.0,330.0,1657497556898,44008506929.006294,129409593.98660763,2022-07-04
KRW-ONT,2022-06-27T00:00:00,2022-06-27T09:00:00,305.0,344.0,279.0,310.0,1656892754420,37872451175.675575,121102489.90912428,2022-06-27
KRW-ONT,2022-06-20T00:00:00,2022-06-20T09:00:00,287.0,330.0,276.0,305.0,1656287980275,20422591788.45068,67210623.84377481,2022-06-20
KRW-ONT,2022-06-13T00:00:00,2022-06-13T09:00:00,308.0,312.0,260.0,287.0,1655683154222,39200948501.98405,138959503.96625632,2022-06-13
KRW-ONT,2022-06-06T00:00:00,2022-06-06T09:00:00,375.0,449.0,298.0,308.0,1655078385366,92694763653.75687,233715017.49059704,2022-06-06
KRW-ONT,2022-05-30T00:00:00,2022-05-30T09:00:00,346.0,413.0,342.0,374.0,1654473556522,75337790989.53944,201809050.8448587,2022-05-30
KRW-ONT,2022-05-23T00:00:00,2022-05-23T09:00:00,371.0,394.0,326.0,345.0,1653868791997,44120664991.51228,121703841.30623887,2022-05-23
KRW-ONT,2022-05-16T00:00:00,2022-05-16T09:00:00,377.0,396.0,320.0,372.0,1653263977514,45370761523.58638,125410738.60874054,2022-05-16
