market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,first_day_of_period
KRW-PLA,2023-10-09T00:00:00,2023-10-09T09:00:00,215.0,219.0,195.0,197.0,1697077362971,14006718420.127441,68179655.12742455,2023-10-09
KRW-PLA,2023-10-02T00:00:00,2023-10-02T09:00:00,212.0,224.0,202.0,215.0,1696809595265,40608164530.449524,192205910.03804186,2023-10-02
KRW-PLA,2023-09-25T00:00:00,2023-09-25T09:00:00,203.0,213.0,199.0,212.0,1696204740858,19817742397.288467,96766619.94420253,2023-09-25
KRW-PLA,2023-09-18T00:00:00,2023-09-18T09:00:00,198.0,212.0,196.0,203.0,1695599962110,22396710701.860756,110306648.74308304,2023-09-18
KRW-PLA,2023-09-11T00:00:00,2023-09-11T09:00:00,193.0,207.0,183.0,198.0,1694995164358,25659455812.52823,130956247.1272051,2023-09-11
KRW-PLA,2023-09-04T00:00:00,2023-09-04T09:00:00,196.0,207.0,190.0,193.0,1694390390462,18759945581.434128,94383025.35726921,2023-09-04
KRW-PLA,2023-08-28T00:00:00,2023-08-28T09:00:00,211.0,216.0,189.0,196.0,1693785560309,22946964551.66807,113777712.92022468,2023-08-28
KRW-PLA,2023-08-21T00:00:00,2023-08-21T09:00:00,232.0,234.0,204.0,211.0,1693180779955,25222255651.667007,116191008.32215294,2023-08-21
KRW-PLA,2023-08-14T00:00:00,2023-08-14T09:00:00,240.0,295.0,222.0,233.0,1692575997064,299228158388.85114,1153132388.5541494,2023-08-14
KRW-PLA,2023-08-07T00:00:00,2023-08-07T09:00:00,231.0,261.0,224.0,240.0,1691971198958,40721091176.155914,168109512.04379508,2023-08-07
KRW-PLA,2023-07-31T00:00:00,2023-07-31T09:00:00,231.0,248.0,221.0,232.0,1691366396424,43955596119.7703,189486501.56873637,2023-07-31
KRW-PLA,2023-07-24T00:00:00,2023-07-24T09:00:00,252.0,267.0,216.0,231.0,1690761598264,94446950730.38121,397677966.3964442,2023-07-24
KRW-PLA,2023-07-17T00:00:00,2023-07-17T09:00:00,235.0,270.0,215.0,252.0,1690156799746,62522561455.284424,260754707.29816103,2023-07-17
KRW-PLA,2023-07-10T00:00:00,2023-07-10T09:00:00,201.0,257.0,197.0,235.0,1689551999987,156630595866.92108,684400708.2315823,2023-07-10
KRW-PLA,2023-07-03T00:00:00,2023-07-03T09:00:00,214.0,218.0,198.0,200.0,1688947089279,15530435044.3112,74588183.03083624,2023-07-03
KRW-PLA,2023-06-26T00:00:00,2023-06-26T09:00:00,212.0,227.0,194.0,214.0,1688342371919,27818656430.04464,132845759.82265045,2023-06-26
KRW-PLA,2023-06-19T00:00:00,2023-06-19T09:00:00,177.0,222.0,175.0,212.0,1687737583426,17532324035.78962,86549276.71101257,2023-06-19
KRW-PLA,2023-06-12T00:00:00,2023-06-12T09:00:00,183.0,185.0,167.0,177.0,1687132752880,9099164139.918503,51568921.54969178,2023-06-12
KRW-PLA,2023-06-05T00:00:00,2023-06-05T09:00:00,234.0,236.0,172.0,183.0,1686527999380,16289860838.962553,80947910.11741072,2023-06-05
KRW-PLA,2023-05-29T00:00:00,2023-05-29T09:00:00,241.0,243.0,224.0,235.0,1685923163333,8852937431.514862,38107442.34410961,2023-05-29
KRW-PLA,2023-05-22T00:00:00,2023-05-22T09:00:00,247.0,249.0,227.0,241.0,1685318368972,13245994321.180456,55895913.10511672,2023-05-22
KRW-PLA,2023-05-15T00:00:00,2023-05-15T09:00:00,252.0,261.0,246.0,247.0,1684713584313,16930074154.246874,66642598.39506596,2023-05-15
KRW-PLA,2023-05-08T00:00:00,2023-05-08T09:00:00,268.0,272.0,238.0,251.0,1684108791349,20844755637.020958,82636081.64428197,2023-05-08
KRW-PLA,2023-05-01T00:00:00,2023-05-01T09:00:00,284.0,286.0,267.0,267.0,1683503979582,28876938817.545723,105090402.11640608,2023-05-01
KRW-PLA,2023-04-24T00:00:00,2023-04-24T09:00:00,311.0,311.0,279.0,284.0,1682899188004,35184269182.953354,120857224.63142845,2023-04-24
KRW-PLA,2023-04-17T00:00:00,2023-04-17T09:00:00,313.0,321.0,283.0,310.0,1682294399095,98408141300.56502,323997423.7035699,2023-04-17
KRW-PLA,2023-04-10T00:00:00,2023-04-10T09:00:00,304.0,318.0,298.0,313.0,1681689569231,60077162736.85147,195998484.75875896,2023-04-10
KRW-PLA,2023-04-03T00:00:00,2023-04-03T09:00:00,293.0,381.0,285.0,304.0,1681084776353,355435358040.19086,1059389326.8055317,2023-04-03
KRW-PLA,2023-03-27T00:00:00,2023-03-27T09:00:00,295.0,304.0,268.0,294.0,1680479999348,51008476073.68639,176599162.2282254,2023-03-27
KRW-PLA,2023-03-20T00:00:00,2023-03-20T09:00:00,314.0,351.0,289.0,295.0,1679875198630,138959766008.22012,432397952.3023015,2023-03-20
KRW-PLA,2023-03-13T00:00:00,2023-03-13T09:00:00,266.0,347.0,257.0,314.0,1679270387296,174040565025.29272,567332401.9399463,2023-03-13
KRW-PLA,2023-03-06T00:00:00,2023-03-06T09:00:00,301.0,303.0,237.0,265.0,1678665599468,54146155704.5377,203116365.81222296,2023-03-06
KRW-PLA,2023-02-27T00:00:00,2023-02-27T09:00:00,347.0,370.0,294.0,301.0,1678060798789,104508992367.96269,311015433.71804595,2023-02-27
KRW-PLA,2023-02-20T00:00:00,2023-02-20T09:00:00,330.0,399.0,316.0,346.0,1677455993576,242104141074.2558,690953474.3132004,2023-02-20
KRW-PLA,2023-02-13T00:00:00,2023-02-13T09:00:00,302.0,368.0,270.0,330.0,1676851195742,172838450435.7169,532968505.850678,2023-02-13
KRW-PLA,2023-02-06T00:00:00,2023-02-06T09:00:00,307.0,346.0,299.0,302.0,1676246395892,126588931941.81178,396659999.53545386,2023-02-06
KRW-PLA,2023-01-30T00:00:00,2023-01-30T09:00:00,310.0,344.0,268.0,308.0,1675641594672,153602914866.9852,498278243.5563406,2023-01-30
KRW-PLA,2023-01-23T00:00:00,2023-01-23T09:00:00,290.0,360.0,266.0,310.0,1675036796813,272166088873.93356,883272954.4699657,2023-01-23
KRW-PLA,2023-01-16T00:00:00,2023-01-16T09:00:00,269.0,305.0,241.0,291.0,1674431997818,166303488165.06165,618231257.4047017,2023-01-16
KRW-PLA,2023-01-09T00:00:00,2023-01-09T09:00:00,194.0,271.0,192.0,268.0,1673827199383,134628843394.37231,598818920.5157002,2023-01-09
KRW-PLA,2023-01-02T00:00:00,2023-01-02T09:00:00,173.0,195.0,168.0,194.0,1673222392078,29306858576.31199,161032181.63705072,2023-01-02
KRW-PLA,2022-12-26T00:00:00,2022-12-26T09:00:00,205.0,205.0,162.0,173.0,1672617599480,35593709656.88161,198015068.60375124,2022-12-26
KRW-PLA,2022-12-19T00:00:00,2022-12-19T09:00:00,225.0,226.0,201.0,205.0,1672012798606,40753173217.6024,193191334.4428026,2022-12-19
KRW-PLA,2022-12-12T00:00:00,2022-12-12T09:00:00,309.0,318.0,214.0,225.0,1671407856730,88811715410.45924,324917582.1272604,2022-12-12
KRW-PLA,2022-12-05T00:00:00,2022-12-05T09:00:00,275.0,327.0,261.0,309.0,1670803199904,96849062455.4852,329504196.42655,2022-12-05
KRW-PLA,2022-11-28T00:00:00,2022-11-28T09:00:00,283.0,295.0,265.0,276.0,1670198377747,34252370538.32898,123173548.93232878,2022-11-28
KRW-PLA,2022-11-21T00:00:00,2022-11-21T09:00:00,267.0,309.0,254.0,283.0,1669593599961,54991303174.891426,196166497.543913,2022-11-21
KRW-PLA,2022-11-14T00:00:00,2022-11-14T09:00:00,258.0,299.0,223.0,266.0,1668988795519,68115441305.84234,252624761.81040207,2022-11-14
KRW-PLA,2022-11-07T00:00:00,2022-11-07T09:00:00,418.0,429.0,246.0,258.0,1668383971559,100985678542.02547,334243950.47547644,2022-11-07
KRW-PLA,2022-10-31T00:00:00,2022-10-31T09:00:00,422.0,443.0,402.0,419.0,1667779186439,68238088064.795166,161157632.7582078,2022-10-31
KRW-PLA,2022-10-24T00:00:00,2022-10-24T09:00:00,413.0,440.0,405.0,423.0,1667174383460,93588627100.69464,220771342.11667618,2022-10-24
KRW-PLA,2022-10-17T00:00:00,2022-10-17T09:00:00,425.0,437.0,391.0,414.0,1666569544664,31172391154.47209,74742169.20317702,2022-10-17
KRW-PLA,2022-10-10T00:00:00,2022-10-10T09:00:00,450.0,467.0,390.0,425.0,1665964703047,55703759574.08534,129311971.36130148,2022-10-10
KRW-PLA,2022-10-03T00:00:00,2022-10-03T09:00:00,447.0,496.0,442.0,449.0,1665359979932,65015269144.074715,141568129.87221754,2022-10-03
KRW-PLA,2022-09-26T00:00:00,2022-09-26T09:00:00,455.0,468.0,445.0,447.0,1664755172758,38710261993.770515,85059048.12917309,2022-09-26
KRW-PLA,2022-09-19T00:00:00,2022-09-19T09:00:00,456.0,475.0,437.0,456.0,1664150392465,44248702322.00506,96811231.72876528,2022-09-19
KRW-PLA,2022-09-12T00:00:00,2022-09-12T09:00:00,529.0,572.0,450.0,456.0,1663545586587,113012533568.29088,218984312.06621546,2022-09-12
KRW-PLA,2022-09-05T00:00:00,2022-09-05T09:00:00,494.0,550.0,451.0,529.0,1662940793932,137726762104.5262,269157665.5178748,2022-09-05
KRW-PLA,2022-08-29T00:00:00,2022-08-29T09:00:00,495.0,566.0,478.0,494.0,1662335996739,155293850929.34195,301736792.87189883,2022-08-29
KRW-PLA,2022-08-22T00:00:00,2022-08-22T09:00:00,512.0,582.0,467.0,495.0,1661731197595,184877029147.61124,359503769.7005692,2022-08-22
KRW-PLA,2022-08-15T00:00:00,2022-08-15T09:00:00,601.0,632.0,488.0,513.0,1661126393109,155386765914.66507,271868264.1985541,2022-08-15
KRW-PLA,2022-08-08T00:00:00,2022-08-08T09:00:00,565.0,624.0,559.0,600.0,1660521600120,205721269753.0071,345194569.47833055,2022-08-08
KRW-PLA,2022-08-01T00:00:00,2022-08-01T09:00:00,527.0,608.0,519.0,566.0,1659916793361,259168760208.01544,456251778.936202,2022-08-01
KRW-PLA,2022-07-25T00:00:00,2022-07-25T09:00:00,511.0,593.0,459.0,527.0,1659311998814,143045735209.85904,275919455.68355966,2022-07-25
KRW-PLA,2022-07-18T00:00:00,2022-07-18T09:00:00,479.0,544.0,473.0,511.0,1658707179366,157335343094.14603,310609748.58647984,2022-07-18
KRW-PLA,2022-07-11T00:00:00,2022-07-11T09:00:00,481.0,502.0,426.0,479.0,1658102399922,79658608186.96469,170221114.2254849,2022-07-11
KRW-PLA,2022-07-04T00:00:00,2022-07-04T09:00:00,490.0,509.0,462.0,480.0,1657497592569,117066762986.12976,239575234.75096142,2022-07-04
KRW-PLA,2022-06-27T00:00:00,2022-06-27T09:00:00,504.0,753.0,417.0,490.0,1656892799844,772373393025.0277,1295423187.8849874,2022-06-27
KRW-PLA,2022-06-20T00:00:00,2022-06-20T09:00:00,434.0,547.0,411.0,504.0,1656287996976,188236350369.34912,398750780.74187756,2022-06-20
KRW-PLA,2022-06-13T00:00:00,2022-06-13T09:00:00,527.0,535.0,390.0,435.0,1655683191106,205741171068.3496,467862856.6212129,2022-06-13
KRW-PLA,2022-06-06T00:00:00,2022-06-06T09:00:00,700.0,728.0,512.0,527.0,1655078397399,93561747614.14536,145055511.46252802,2022-06-06
KRW-PLA,2022-05-30T00:00:00,2022-05-30T09:00:00,669.0,743.0,663.0,700.0,1654473597278,125623725217.48074,179588680.99030605,2022-05-30
KRW-PLA,2022-05-23T00:00:00,2022-05-23T09:00:00,771.0,784.0,626.0,668.0,1653868798370,138207738863.363,196531844.90680715,2022-05-23
KRW-PLA,2022-05-16T00:00:00,2022-05-16T09:00:00,790.0,817.0,586.0,771.0,1653263997922,305218949645.056,421814260.4064565,2022-05-16
KRW-PLA,2022-05-09T00:00:00,2022-05-09T09:00:00,889.0,902.0,435.0,789.0,1652659199753,450232148104.60815,637695082.1960065,2022-05-09
KRW-PLA,2022-05-02T00:00:00,2022-05-02T09:00:00,961.0,1055.0,855.0,889.0,1652054398466,79692544917.60881,83503961.97693558,2022-05-02
KRW-PLA,2022-04-25T00:00:00,2022-04-25T09:00:00,1110.0,1165.0,885.0,960.0,1651449582136,114691325478.90916,108063008.12036034,2022-04-25
KRW-PLA,2022-04-18T00:00:00,2022-04-18T09:00:00,1110.0,1320.0,1035.0,1105.0,1650844783443,288368885679.1544,240834278.42037836,2022-04-18
KRW-PLA,2022-04-11T00:00:00,2022-04-11T09:00:00,1175.0,1250.0,1050.0,1110.0,1650239999191,148793505569.9217,128324281.16527045,2022-04-11
KRW-PLA,2022-04-04T00:00:00,2022-04-04T09:00:00,1420.0,1440.0,1120.0,1175.0,1649635198310,174953691281.49814,139383869.3170559,2022-04-04
KRW-PLA,2022-03-28T00:00:00,2022-03-28T09:00:00,1345.0,1665.0,1275.0,1425.0,1649030398447,836930335239.7524,583762688.3666941,2022-03-28
KRW-PLA,2022-03-21T00:00:00,2022-03-21T09:00:00,985.0,1550.0,972.0,1345.0,1648425597598,1160066353370.3516,865513898.407605,2022-03-21
KRW-PLA,2022-03-14T00:00:00,2022-03-14T09:00:00,954.0,1020.0,931.0,985.0,1647820792827,101105434340.22029,103811635.46799742,2022-03-14
KRW-PLA,2022-03-07T00:00:00,2022-03-07T09:00:00,1000.0,1065.0,950.0,954.0,1647215995579,103519856465.8998,103559047.8608753,2022-03-07
KRW-PLA,2022-02-28T00:00:00,2022-02-28T09:00:00,1075.0,1235.0,995.0,999.0,1646611190903,155071882111.08978,139975536.04583672,2022-02-28
KRW-PLA,2022-02-21T00:00:00,2022-02-21T09:00:00,1085.0,1170.0,892.0,1080.0,1646006400106,233894180542.08182,228501335.92981684,2022-02-21
KRW-PLA,2022-02-14T00:00:00,2022-02-14T09:00:00,1275.0,1380.0,1065.0,1085.0,1645401576821,140022686805.83823,113011207.98514587,2022-02-14
KRW-PLA,2022-02-07T00:00:00,2022-02-07T09:00:00,1440.0,1575.0,1240.0,1275.0,1644796798641,333151451743.5412,235755564.48159784,2022-02-07
KRW-PLA,2022-01-31T00:00:00,2022-01-31T09:00:00,1135.0,1475.0,1065.0,1445.0,1644191998542,355509198993.4229,282291451.6981455,2022-01-31
KRW-PLA,2022-01-24T00:00:00,2022-01-24T09:00:00,921.0,1200.0,823.0,1130.0,1643587191160,353742760539.4689,343355080.5378572,2022-01-24
KRW-PLA,2022-01-17T00:00:00,2022-01-17T09:00:00,1370.0,1375.0,799.0,922.0,1642982397535,245346760870.13242,235217882.6062494,2022-01-17
KRW-PLA,2022-01-10T00:00:00,2022-01-10T09:00:00,1445.0,1485.0,1240.0,1375.0,1642377600001,281175823802.50604,206612861.51334512,2022-01-10
KRW-PLA,2022-01-03T00:00:00,2022-01-03T09:00:00,1875.0,1975.0,1400.0,1445.0,1641772800082,404155245783.7243,246274794.93492568,2022-01-03
KRW-PLA,2021-12-27T00:00:00,2021-12-27T09:00:00,2105.0,2130.0,1660.0,1875.0,1641167994000,415106506713.8496,223951973.0831376,2021-12-27
KRW-PLA,2021-12-20T00:00:00,2021-12-20T09:00:00,1735.0,2215.0,1575.0,2105.0,1640563198421,500430838814.69653,254516812.30898303,2021-12-20
KRW-PLA,2021-12-13T00:00:00,2021-12-13T09:00:00,1850.0,1890.0,1440.0,1735.0,1639958395992,444623676732.46405,263526195.8966333,2021-12-13
KRW-PLA,2021-12-06T00:00:00,2021-12-06T09:00:00,2130.0,2190.0,1650.0,1850.0,1639353598510,655771529301.3741,339882761.4013552,2021-12-06
KRW-PLA,2021-11-29T00:00:00,2021-11-29T09:00:00,3185.0,3215.0,1670.0,2130.0,1638748799079,1301028892994.6367,496791333.6007491,2021-11-29
KRW-PLA,2021-11-22T00:00:00,2021-11-22T09:00:00,3020.0,4430.0,2650.0,3185.0,1638144000091,3256283185615.6265,920320463.9196247,2021-11-22
KRW-PLA,2021-11-15T00:00:00,2021-11-15T09:00:00,2050.0,3950.0,2030.0,3015.0,1637539200019,4126313687364.3657,1469843587.3589258,2021-11-15
KRW-PLA,2021-11-08T00:00:00,2021-11-08T09:00:00,1825.0,2075.0,1550.0,2045.0,1636934400463,1117187400747.325,610455879.2824554,2021-11-08
KRW-PLA,2021-11-01T00:00:00,2021-11-01T09:00:00,1525.0,2225.0,1390.0,1825.0,1636329598205,2329201515411.5635,1261269285.9195867,2021-11-01
KRW-PLA,2021-10-25T00:00:00,2021-10-25T09:00:00,976.0,4430.0,945.0,1525.0,1635724800096,4515170671491.315,2341591597.502811,2021-10-25
KRW-PLA,2021-10-18T00:00:00,2021-10-18T09:00:00,963.0,1015.0,949.0,976.0,1635119999839,97506891827.74051,100075559.19470446,2021-10-18
KRW-PLA,2021-10-11T00:00:00,2021-10-11T09:00:00,1030.0,1070.0,930.0,963.0,1634515199097,171637676420.88318,172204439.753837,2021-10-11
KRW-PLA,2021-10-04T00:00:00,2021-10-04T09:00:00,1025.0,1190.0,974.0,1030.0,1633910399176,501926895489.4949,466747979.39038444,2021-10-04
KRW-PLA,2021-09-27T00:00:00,2021-09-27T09:00:00,862.0,1035.0,777.0,1025.0,1633305597278,302309886655.8668,331715570.76073843,2021-09-27
