market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,first_day_of_period
KRW-POLYX,2023-10-09T00:00:00,2023-10-09T09:00:00,172.0,178.0,157.0,159.0,1697076288514,11999300303.917616,71677027.47736503,2023-10-09
KRW-POLYX,2023-10-02T00:00:00,2023-10-02T09:00:00,164.0,174.0,156.0,172.0,1696809590428,22352811201.25041,136242544.36470753,2023-10-02
KRW-POLYX,2023-09-25T00:00:00,2023-09-25T09:00:00,159.0,165.0,153.0,164.0,1696204605638,14686192103.19602,92307439.30971086,2023-09-25
KRW-POLYX,2023-09-18T00:00:00,2023-09-18T09:00:00,146.0,163.0,144.0,159.0,1695599995048,15690304268.754297,101525154.28351334,2023-09-18
KRW-POLYX,2023-09-11T00:00:00,2023-09-11T09:00:00,144.0,154.0,136.0,146.0,1694995156430,13818601020.210829,94739080.0785517,2023-09-11
KRW-POLYX,2023-09-04T00:00:00,2023-09-04T09:00:00,143.0,149.0,140.0,144.0,1694390329401,6125397187.590228,42568770.522832,2023-09-04
KRW-POLYX,2023-08-28T00:00:00,2023-08-28T09:00:00,147.0,152.0,140.0,143.0,1693785499001,6408973296.066199,44255624.33202483,2023-08-28
KRW-POLYX,2023-08-21T00:00:00,2023-08-21T09:00:00,151.0,163.0,146.0,147.0,1693180392015,17113157872.86458,112074315.79408672,2023-08-21
KRW-POLYX,2023-08-14T00:00:00,2023-08-14T09:00:00,172.0,174.0,139.0,151.0,1692575994796,12770073572.543222,81824613.08340877,2023-08-14
KRW-POLYX,2023-08-07T00:00:00,2023-08-07T09:00:00,172.0,177.0,165.0,173.0,1691971198554,11119043635.357763,64816587.96355288,2023-08-07
KRW-POLYX,2023-07-31T00:00:00,2023-07-31T09:00:00,176.0,179.0,169.0,172.0,1691366350603,13311264460.945082,76545234.17751044,2023-07-31
KRW-POLYX,2023-07-24T00:00:00,2023-07-24T09:00:00,185.0,189.0,168.0,175.0,1690761478614,32111256209.494747,182016823.58828744,2023-07-24
KRW-POLYX,2023-07-17T00:00:00,2023-07-17T09:00:00,182.0,196.0,169.0,185.0,1690156799144,52281709082.71592,285940607.13882995,2023-07-17
KRW-POLYX,2023-07-10T00:00:00,2023-07-10T09:00:00,168.0,208.0,162.0,183.0,1689551990273,118275949306.36026,635316937.0168203,2023-07-10
KRW-POLYX,2023-07-03T00:00:00,2023-07-03T09:00:00,167.0,180.0,162.0,168.0,1688947138054,32324276794.587055,189879341.36402082,2023-07-03
KRW-POLYX,2023-06-26T00:00:00,2023-06-26T09:00:00,173.0,178.0,155.0,166.0,1688342399502,41608666733.47663,251741581.22516468,2023-06-26
KRW-POLYX,2023-06-19T00:00:00,2023-06-19T09:00:00,139.0,186.0,139.0,173.0,1687737598902,44244378870.02966,269205175.6591919,2023-06-19
KRW-POLYX,2023-06-12T00:00:00,2023-06-12T09:00:00,138.0,145.0,129.0,140.0,1687132792888,24444603059.240543,178125939.67434207,2023-06-12
KRW-POLYX,2023-06-05T00:00:00,2023-06-05T09:00:00,192.0,192.0,125.0,138.0,1686527998037,51420761692.89907,320976367.37659216,2023-06-05
KRW-POLYX,2023-05-29T00:00:00,2023-05-29T09:00:00,200.0,201.0,186.0,192.0,1685923164235,24384805957.107685,126598853.24991651,2023-05-29
KRW-POLYX,2023-05-22T00:00:00,2023-05-22T09:00:00,205.0,206.0,190.0,199.0,1685318399112,27481518141.65543,138723439.07713306,2023-05-22
KRW-POLYX,2023-05-15T00:00:00,2023-05-15T09:00:00,206.0,235.0,202.0,205.0,1684713561628,101408560745.12204,465440886.55871075,2023-05-15
KRW-POLYX,2023-05-08T00:00:00,2023-05-08T09:00:00,229.0,238.0,196.0,206.0,1684108799740,75524893746.00076,351058906.3857613,2023-05-08
KRW-POLYX,2023-05-01T00:00:00,2023-05-01T09:00:00,243.0,251.0,223.0,230.0,1683504000009,126161338225.28178,539762871.3438661,2023-05-01
KRW-POLYX,2023-04-24T00:00:00,2023-04-24T09:00:00,300.0,300.0,239.0,244.0,1682899193868,228755372327.05676,882113877.6312145,2023-04-24
KRW-POLYX,2023-04-17T00:00:00,2023-04-17T09:00:00,233.0,406.0,207.0,300.0,1682294399235,1578632969957.75,4903134240.621473,2023-04-17
KRW-POLYX,2023-04-10T00:00:00,2023-04-10T09:00:00,235.0,253.0,226.0,234.0,1681689592843,52071005068.63878,218987495.49448648,2023-04-10
