market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,first_day_of_period
KRW-POWR,2023-10-09T00:00:00,2023-10-09T09:00:00,213.0,232.0,202.0,204.0,1697076505352,46221219223.78176,215116628.1081486,2023-10-09
KRW-POWR,2023-10-02T00:00:00,2023-10-02T09:00:00,216.0,228.0,199.0,213.0,1696809599164,44706226384.33996,211997803.67785636,2023-10-02
KRW-POWR,2023-09-25T00:00:00,2023-09-25T09:00:00,199.0,241.0,194.0,217.0,1696204794548,56834043293.42421,262738432.6306627,2023-09-25
KRW-POWR,2023-09-18T00:00:00,2023-09-18T09:00:00,187.0,217.0,184.0,199.0,1695599999196,33368408000.483524,167155252.71013322,2023-09-18
KRW-POWR,2023-09-11T00:00:00,2023-09-11T09:00:00,182.0,202.0,172.0,187.0,1694995199306,38645396876.830574,203574578.70104182,2023-09-11
KRW-POWR,2023-09-04T00:00:00,2023-09-04T09:00:00,186.0,187.0,178.0,181.0,1694390338379,8233294815.953912,45035191.48030749,2023-09-04
KRW-POWR,2023-08-28T00:00:00,2023-08-28T09:00:00,194.0,194.0,174.0,187.0,1693785595034,17093777953.907495,92286660.20653778,2023-08-28
KRW-POWR,2023-08-21T00:00:00,2023-08-21T09:00:00,209.0,236.0,192.0,194.0,1693180751822,145322774431.40613,673643703.0442455,2023-08-21
KRW-POWR,2023-08-14T00:00:00,2023-08-14T09:00:00,214.0,220.0,172.0,209.0,1692575990981,47249272059.5956,235348288.0527904,2023-08-14
KRW-POWR,2023-08-07T00:00:00,2023-08-07T09:00:00,210.0,220.0,204.0,215.0,1691971186527,14296258537.732578,67585819.5744752,2023-08-07
KRW-POWR,2023-07-31T00:00:00,2023-07-31T09:00:00,204.0,224.0,203.0,210.0,1691366397692,42485614169.42395,199065407.39475057,2023-07-31
KRW-POWR,2023-07-24T00:00:00,2023-07-24T09:00:00,207.0,223.0,192.0,204.0,1690761591526,31031808876.62604,149470354.54200456,2023-07-24
KRW-POWR,2023-07-17T00:00:00,2023-07-17T09:00:00,205.0,210.0,198.0,208.0,1690156736774,18282067971.22881,89451639.4800324,2023-07-17
KRW-POWR,2023-07-10T00:00:00,2023-07-10T09:00:00,188.0,358.0,184.0,205.0,1689551991907,471315396177.66003,1846387797.3742537,2023-07-10
KRW-POWR,2023-07-03T00:00:00,2023-07-03T09:00:00,195.0,204.0,185.0,188.0,1688947081050,9627342067.64583,49482907.40131826,2023-07-03
KRW-POWR,2023-06-26T00:00:00,2023-06-26T09:00:00,196.0,204.0,179.0,194.0,1688342233387,11528180046.381332,59881846.96307162,2023-06-26
KRW-POWR,2023-06-19T00:00:00,2023-06-19T09:00:00,163.0,207.0,162.0,196.0,1687737553600,13033887995.49955,68971150.88864021,2023-06-19
KRW-POWR,2023-06-12T00:00:00,2023-06-12T09:00:00,171.0,171.0,154.0,164.0,1687132730710,4672788349.557184,28473906.97284423,2023-06-12
KRW-POWR,2023-06-05T00:00:00,2023-06-05T09:00:00,205.0,205.0,162.0,171.0,1686527963852,11275770759.577486,60960962.46724474,2023-06-05
KRW-POWR,2023-05-29T00:00:00,2023-05-29T09:00:00,209.0,217.0,199.0,205.0,1685923129919,27469382093.421177,131475201.16648681,2023-05-29
KRW-POWR,2023-05-22T00:00:00,2023-05-22T09:00:00,213.0,231.0,200.0,209.0,1685318398774,37229866745.6778,174959599.02151564,2023-05-22
KRW-POWR,2023-05-15T00:00:00,2023-05-15T09:00:00,216.0,224.0,213.0,213.0,1684713533648,5958291743.264007,27206157.46281067,2023-05-15
KRW-POWR,2023-05-08T00:00:00,2023-05-08T09:00:00,228.0,229.0,206.0,216.0,1684108729024,9182272299.015238,42148472.3078055,2023-05-08
KRW-POWR,2023-05-01T00:00:00,2023-05-01T09:00:00,237.0,243.0,223.0,229.0,1683503983072,22299708988.96762,95837941.35008761,2023-05-01
KRW-POWR,2023-04-24T00:00:00,2023-04-24T09:00:00,241.0,243.0,226.0,237.0,1682899180527,20258482125.654816,85855283.6204926,2023-04-24
KRW-POWR,2023-04-17T00:00:00,2023-04-17T09:00:00,262.0,316.0,236.0,242.0,1682294384227,357570286974.8586,1292321802.7496276,2023-04-17
KRW-POWR,2023-04-10T00:00:00,2023-04-10T09:00:00,254.0,269.0,251.0,262.0,1681689579413,29719880205.81369,114500297.1702377,2023-04-10
KRW-POWR,2023-04-03T00:00:00,2023-04-03T09:00:00,250.0,306.0,244.0,255.0,1681084775786,95606122232.37933,350473151.515571,2023-04-03
KRW-POWR,2023-03-27T00:00:00,2023-03-27T09:00:00,245.0,267.0,222.0,251.0,1680479999426,60408948651.32061,243496077.35431525,2023-03-27
KRW-POWR,2023-03-20T00:00:00,2023-03-20T09:00:00,258.0,274.0,232.0,245.0,1679875198913,46922050978.06657,184677972.0834995,2023-03-20
KRW-POWR,2023-03-13T00:00:00,2023-03-13T09:00:00,220.0,262.0,213.0,257.0,1679270397801,40900691897.191925,169052383.89780495,2023-03-13
KRW-POWR,2023-03-06T00:00:00,2023-03-06T09:00:00,247.0,260.0,199.0,220.0,1678665594080,40792470224.40506,173568796.40112695,2023-03-06
KRW-POWR,2023-02-27T00:00:00,2023-02-27T09:00:00,279.0,348.0,241.0,247.0,1678060793969,241992488125.03928,803637086.8630459,2023-02-27
KRW-POWR,2023-02-20T00:00:00,2023-02-20T09:00:00,272.0,306.0,256.0,279.0,1677455983590,76713543273.53609,273828273.3298054,2023-02-20
KRW-POWR,2023-02-13T00:00:00,2023-02-13T09:00:00,242.0,274.0,223.0,272.0,1676851199430,44388658280.02903,175713748.3752262,2023-02-13
KRW-POWR,2023-02-06T00:00:00,2023-02-06T09:00:00,262.0,285.0,232.0,241.0,1676246376320,74495714807.81468,290221458.3483036,2023-02-06
KRW-POWR,2023-01-30T00:00:00,2023-01-30T09:00:00,235.0,359.0,199.0,263.0,1675641595012,397764016520.2429,1399985688.1848037,2023-01-30
KRW-POWR,2023-01-23T00:00:00,2023-01-23T09:00:00,214.0,246.0,202.0,236.0,1675036797152,69739692632.73273,309741600.62208754,2023-01-23
KRW-POWR,2023-01-16T00:00:00,2023-01-16T09:00:00,198.0,234.0,189.0,215.0,1674431966921,84355973621.5701,405610756.1797686,2023-01-16
KRW-POWR,2023-01-09T00:00:00,2023-01-09T09:00:00,164.0,219.0,163.0,199.0,1673827199021,46047234573.62813,247045373.2419516,2023-01-09
KRW-POWR,2023-01-02T00:00:00,2023-01-02T09:00:00,157.0,166.0,153.0,164.0,1673222397180,7375568238.377124,46129396.35089004,2023-01-02
KRW-POWR,2022-12-26T00:00:00,2022-12-26T09:00:00,170.0,170.0,147.0,157.0,1672617484979,9842176497.850647,62123919.92455797,2022-12-26
KRW-POWR,2022-12-19T00:00:00,2022-12-19T09:00:00,174.0,221.0,159.0,170.0,1672012797040,88726203129.64885,456135659.0640277,2022-12-19
KRW-POWR,2022-12-12T00:00:00,2022-12-12T09:00:00,201.0,201.0,163.0,174.0,1671407997713,11565028569.916864,62297365.89538977,2022-12-12
KRW-POWR,2022-12-05T00:00:00,2022-12-05T09:00:00,203.0,215.0,188.0,201.0,1670803175307,18642419978.10216,91863466.77978294,2022-12-05
KRW-POWR,2022-11-28T00:00:00,2022-11-28T09:00:00,208.0,213.0,197.0,204.0,1670198320897,13344901237.861628,65383974.98011293,2022-11-28
KRW-POWR,2022-11-21T00:00:00,2022-11-21T09:00:00,192.0,233.0,188.0,208.0,1669593454720,52096859925.88581,246890372.58464924,2022-11-21
KRW-POWR,2022-11-14T00:00:00,2022-11-14T09:00:00,185.0,252.0,165.0,193.0,1668988799210,126433698117.86969,582601065.5654249,2022-11-14
KRW-POWR,2022-11-07T00:00:00,2022-11-07T09:00:00,291.0,292.0,171.0,185.0,1668383971359,36784920627.222496,164877550.53243393,2022-11-07
KRW-POWR,2022-10-31T00:00:00,2022-10-31T09:00:00,292.0,305.0,278.0,292.0,1667779179932,42688708182.561035,146074177.22245973,2022-10-31
KRW-POWR,2022-10-24T00:00:00,2022-10-24T09:00:00,274.0,296.0,267.0,292.0,1667174394341,70172759067.08865,247388305.2955129,2022-10-24
KRW-POWR,2022-10-17T00:00:00,2022-10-17T09:00:00,269.0,301.0,260.0,275.0,1666569595823,146799712847.86325,521003856.81083524,2022-10-17
KRW-POWR,2022-10-10T00:00:00,2022-10-10T09:00:00,283.0,290.0,242.0,269.0,1665964797576,13068622107.088408,48906775.46462343,2022-10-10
KRW-POWR,2022-10-03T00:00:00,2022-10-03T09:00:00,275.0,307.0,273.0,283.0,1665359947802,29105121211.10447,101883649.68619134,2022-10-03
KRW-POWR,2022-09-26T00:00:00,2022-09-26T09:00:00,283.0,295.0,272.0,276.0,1664755181355,24372865562.448315,86260349.93706699,2022-09-26
KRW-POWR,2022-09-19T00:00:00,2022-09-19T09:00:00,276.0,304.0,265.0,283.0,1664150392815,35680067790.54704,125781546.94285508,2022-09-19
KRW-POWR,2022-09-12T00:00:00,2022-09-12T09:00:00,315.0,359.0,273.0,276.0,1663545582294,95785302311.88687,298339049.9404568,2022-09-12
KRW-POWR,2022-09-05T00:00:00,2022-09-05T09:00:00,291.0,339.0,266.0,315.0,1662940775796,114793113513.64139,371285929.5920216,2022-09-05
KRW-POWR,2022-08-29T00:00:00,2022-08-29T09:00:00,281.0,300.0,275.0,290.0,1662335993818,15284973634.957922,52901570.30127837,2022-08-29
KRW-POWR,2022-08-22T00:00:00,2022-08-22T09:00:00,306.0,313.0,281.0,282.0,1661731186600,31644357405.693775,106254844.72370766,2022-08-22
KRW-POWR,2022-08-15T00:00:00,2022-08-15T09:00:00,361.0,386.0,299.0,307.0,1661126391678,47262515017.66447,136256803.2030556,2022-08-15
KRW-POWR,2022-08-08T00:00:00,2022-08-08T09:00:00,345.0,396.0,330.0,360.0,1660521583211,116208034994.39488,319954050.6826083,2022-08-08
KRW-POWR,2022-08-01T00:00:00,2022-08-01T09:00:00,331.0,360.0,318.0,345.0,1659916787206,72087688292.72179,211786753.2365817,2022-08-01
KRW-POWR,2022-07-25T00:00:00,2022-07-25T09:00:00,317.0,339.0,292.0,331.0,1659311991781,49843513853.04697,156608045.22750604,2022-07-25
KRW-POWR,2022-07-18T00:00:00,2022-07-18T09:00:00,307.0,348.0,304.0,317.0,1658707190182,82251729728.62006,252322070.9921752,2022-07-18
KRW-POWR,2022-07-11T00:00:00,2022-07-11T09:00:00,345.0,410.0,277.0,307.0,1658102386381,167156864952.77112,502075390.5387376,2022-07-11
KRW-POWR,2022-07-04T00:00:00,2022-07-04T09:00:00,295.0,371.0,285.0,344.0,1657497600048,98650151268.79135,312838988.313799,2022-07-04
KRW-POWR,2022-06-27T00:00:00,2022-06-27T09:00:00,287.0,382.0,284.0,295.0,1656892790952,299795963577.601,929430119.1932098,2022-06-27
KRW-POWR,2022-06-20T00:00:00,2022-06-20T09:00:00,271.0,312.0,256.0,287.0,1656287997073,54040151394.42671,189182557.25409797,2022-06-20
KRW-POWR,2022-06-13T00:00:00,2022-06-13T09:00:00,304.0,309.0,222.0,271.0,1655683199132,96181094303.42412,355457424.55146676,2022-06-13
KRW-POWR,2022-06-06T00:00:00,2022-06-06T09:00:00,376.0,491.0,298.0,304.0,1655078376248,275416146070.7845,680579909.5639555,2022-06-06
KRW-POWR,2022-05-30T00:00:00,2022-05-30T09:00:00,332.0,420.0,325.0,376.0,1654473596958,159621299053.50473,427642444.3629912,2022-05-30
KRW-POWR,2022-05-23T00:00:00,2022-05-23T09:00:00,351.0,380.0,305.0,332.0,1653868799447,45259051288.22871,132449516.26564632,2022-05-23
KRW-POWR,2022-05-16T00:00:00,2022-05-16T09:00:00,343.0,386.0,286.0,351.0,1653263994024,95013688291.9941,276828459.08052814,2022-05-16
KRW-POWR,2022-05-09T00:00:00,2022-05-09T09:00:00,482.0,489.0,225.0,343.0,1652659198822,96671843549.45752,290931400.417885,2022-05-09
