market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,first_day_of_period
KRW-PUNDIX,2023-10-09T00:00:00,2023-10-09T09:00:00,489.0,511.0,451.0,457.0,1697077451422,13572168487.935743,27992960.47176755,2023-10-09
KRW-PUNDIX,2023-10-02T00:00:00,2023-10-02T09:00:00,498.0,578.0,484.0,489.0,1696809584753,141459628495.65588,271003996.29858494,2023-10-02
KRW-PUNDIX,2023-09-25T00:00:00,2023-09-25T09:00:00,475.0,508.0,465.0,499.0,1696204715369,19717122616.67439,40271842.57463298,2023-09-25
KRW-PUNDIX,2023-09-18T00:00:00,2023-09-18T09:00:00,456.0,507.0,438.0,474.0,1695599932162,16607780804.5352,35358262.32966308,2023-09-18
KRW-PUNDIX,2023-09-11T00:00:00,2023-09-11T09:00:00,456.0,486.0,425.0,456.0,1694995125013,19779845405.4423,42910886.58845292,2023-09-11
KRW-PUNDIX,2023-09-04T00:00:00,2023-09-04T09:00:00,443.0,474.0,430.0,457.0,1694390373088,7629902838.221583,16709822.84757811,2023-09-04
KRW-PUNDIX,2023-08-28T00:00:00,2023-08-28T09:00:00,457.0,468.0,424.0,443.0,1693785502538,6254168795.9362335,13991118.39442808,2023-08-28
KRW-PUNDIX,2023-08-21T00:00:00,2023-08-21T09:00:00,471.0,472.0,445.0,457.0,1693180590563,2993824889.985981,6570577.50115449,2023-08-21
KRW-PUNDIX,2023-08-14T00:00:00,2023-08-14T09:00:00,519.0,538.0,430.0,471.0,1692575995122,23354326678.431988,46810717.18461517,2023-08-14
KRW-PUNDIX,2023-08-07T00:00:00,2023-08-07T09:00:00,514.0,526.0,504.0,519.0,1691971138360,7302600122.071546,14214181.17938788,2023-08-07
KRW-PUNDIX,2023-07-31T00:00:00,2023-07-31T09:00:00,513.0,540.0,501.0,514.0,1691366364600,16330892830.706314,31656201.69780774,2023-07-31
KRW-PUNDIX,2023-07-24T00:00:00,2023-07-24T09:00:00,541.0,557.0,492.0,512.0,1690761532077,29251195779.918556,55806316.28534515,2023-07-24
KRW-PUNDIX,2023-07-17T00:00:00,2023-07-17T09:00:00,525.0,607.0,501.0,542.0,1690156789971,202146494770.1843,359087310.84623355,2023-07-17
KRW-PUNDIX,2023-07-10T00:00:00,2023-07-10T09:00:00,492.0,553.0,483.0,523.0,1689551953378,29827730239.441345,57404188.20166881,2023-07-10
KRW-PUNDIX,2023-07-03T00:00:00,2023-07-03T09:00:00,520.0,528.0,483.0,492.0,1688947179758,9809611881.291178,19445363.77242981,2023-07-03
KRW-PUNDIX,2023-06-26T00:00:00,2023-06-26T09:00:00,497.0,530.0,458.0,521.0,1688342375423,24906504171.82385,49843439.41883354,2023-06-26
KRW-PUNDIX,2023-06-19T00:00:00,2023-06-19T09:00:00,428.0,510.0,422.0,497.0,1687737599908,10976842973.406263,23264958.80132693,2023-06-19
KRW-PUNDIX,2023-06-12T00:00:00,2023-06-12T09:00:00,440.0,455.0,408.0,429.0,1687132799849,8609530767.535206,19833373.91920451,2023-06-12
KRW-PUNDIX,2023-06-05T00:00:00,2023-06-05T09:00:00,513.0,517.0,420.0,439.0,1686527523668,11957987847.545973,24975379.42341336,2023-06-05
KRW-PUNDIX,2023-05-29T00:00:00,2023-05-29T09:00:00,525.0,526.0,498.0,513.0,1685922919625,9433607866.08004,18398235.66815085,2023-05-29
KRW-PUNDIX,2023-05-22T00:00:00,2023-05-22T09:00:00,528.0,534.0,500.0,525.0,1685318177211,4487079164.685067,8696786.80297238,2023-05-22
KRW-PUNDIX,2023-05-15T00:00:00,2023-05-15T09:00:00,542.0,567.0,526.0,529.0,1684713453167,13684694242.242546,24832650.59241543,2023-05-15
KRW-PUNDIX,2023-05-08T00:00:00,2023-05-08T09:00:00,590.0,590.0,510.0,542.0,1684108777334,8961266182.506512,16231705.78607211,2023-05-08
KRW-PUNDIX,2023-05-01T00:00:00,2023-05-01T09:00:00,614.0,628.0,581.0,589.0,1683503921688,16119876558.685661,26678686.34617463,2023-05-01
KRW-PUNDIX,2023-04-24T00:00:00,2023-04-24T09:00:00,619.0,632.0,590.0,613.0,1682899184948,14854470724.408257,24320103.39568866,2023-04-24
KRW-PUNDIX,2023-04-17T00:00:00,2023-04-17T09:00:00,664.0,672.0,602.0,619.0,1682294378431,27940505205.49151,43398773.13003558,2023-04-17
KRW-PUNDIX,2023-04-10T00:00:00,2023-04-10T09:00:00,648.0,684.0,638.0,665.0,1681689485510,31070758611.516193,46981677.38189443,2023-04-10
KRW-PUNDIX,2023-04-03T00:00:00,2023-04-03T09:00:00,625.0,767.0,611.0,650.0,1681084798155,96336797557.96938,141616135.32870853,2023-04-03
KRW-PUNDIX,2023-03-27T00:00:00,2023-03-27T09:00:00,612.0,660.0,563.0,625.0,1680479969076,51931956271.751656,83026515.55139229,2023-03-27
KRW-PUNDIX,2023-03-20T00:00:00,2023-03-20T09:00:00,658.0,743.0,581.0,613.0,1679875186081,98060573440.55054,149223516.54390696,2023-03-20
KRW-PUNDIX,2023-03-13T00:00:00,2023-03-13T09:00:00,556.0,662.0,536.0,658.0,1679270399935,40364486399.31852,65782958.72180683,2023-03-13
KRW-PUNDIX,2023-03-06T00:00:00,2023-03-06T09:00:00,623.0,642.0,506.0,556.0,1678665567341,18915567870.59478,33616696.99385684,2023-03-06
KRW-PUNDIX,2023-02-27T00:00:00,2023-02-27T09:00:00,734.0,734.0,609.0,623.0,1678060734042,62689378472.02317,92386421.53243577,2023-02-27
KRW-PUNDIX,2023-02-20T00:00:00,2023-02-20T09:00:00,672.0,981.0,647.0,734.0,1677455991337,573216529387.721,689922414.5050219,2023-02-20
KRW-PUNDIX,2023-02-13T00:00:00,2023-02-13T09:00:00,608.0,674.0,550.0,672.0,1676851198625,60203841497.39495,95838235.07021941,2023-02-13
KRW-PUNDIX,2023-02-06T00:00:00,2023-02-06T09:00:00,616.0,661.0,589.0,608.0,1676246399447,69875824084.7132,111292276.92752047,2023-02-06
KRW-PUNDIX,2023-01-30T00:00:00,2023-01-30T09:00:00,609.0,721.0,531.0,616.0,1675641579050,194006317191.14993,312306355.62399423,2023-01-30
KRW-PUNDIX,2023-01-23T00:00:00,2023-01-23T09:00:00,534.0,668.0,498.0,609.0,1675036796854,203028088179.8651,346084887.0683607,2023-01-23
KRW-PUNDIX,2023-01-16T00:00:00,2023-01-16T09:00:00,503.0,545.0,476.0,534.0,1674431998471,55488832685.73378,107979885.96929926,2023-01-16
KRW-PUNDIX,2023-01-09T00:00:00,2023-01-09T09:00:00,418.0,545.0,415.0,503.0,1673827195223,102370105907.85179,214292680.60223016,2023-01-09
KRW-PUNDIX,2023-01-02T00:00:00,2023-01-02T09:00:00,405.0,425.0,395.0,418.0,1673222398528,10826015407.14786,26334370.51236912,2023-01-02
KRW-PUNDIX,2022-12-26T00:00:00,2022-12-26T09:00:00,455.0,456.0,377.0,405.0,1672617485400,18482836431.136364,45197444.85144337,2022-12-26
KRW-PUNDIX,2022-12-19T00:00:00,2022-12-19T09:00:00,466.0,482.0,432.0,456.0,1672012795085,20514828750.937008,44528198.68646204,2022-12-19
KRW-PUNDIX,2022-12-12T00:00:00,2022-12-12T09:00:00,533.0,546.0,439.0,466.0,1671407881406,27025106266.083668,53062888.45433835,2022-12-12
KRW-PUNDIX,2022-12-05T00:00:00,2022-12-05T09:00:00,527.0,580.0,495.0,533.0,1670803198070,83444343418.68912,154160312.58012536,2022-12-05
KRW-PUNDIX,2022-11-28T00:00:00,2022-11-28T09:00:00,533.0,593.0,503.0,525.0,1670198397273,42268895391.80652,77630621.19148979,2022-11-28
KRW-PUNDIX,2022-11-21T00:00:00,2022-11-21T09:00:00,503.0,547.0,484.0,533.0,1669593594008,22106194087.576,42544976.55534936,2022-11-21
KRW-PUNDIX,2022-11-14T00:00:00,2022-11-14T09:00:00,494.0,585.0,436.0,504.0,1668988766678,51432758363.00743,99482028.26424672,2022-11-14
KRW-PUNDIX,2022-11-07T00:00:00,2022-11-07T09:00:00,702.0,715.0,422.0,496.0,1668383992334,91594261199.66302,167264538.97647804,2022-11-07
KRW-PUNDIX,2022-10-31T00:00:00,2022-10-31T09:00:00,681.0,786.0,676.0,702.0,1667779195310,212107158043.82675,290840534.89677,2022-10-31
KRW-PUNDIX,2022-10-24T00:00:00,2022-10-24T09:00:00,675.0,747.0,666.0,680.0,1667174386913,66224042930.176186,93974929.52715877,2022-10-24
KRW-PUNDIX,2022-10-17T00:00:00,2022-10-17T09:00:00,678.0,733.0,650.0,675.0,1666569590351,52603161122.10207,76246298.2375951,2022-10-17
KRW-PUNDIX,2022-10-10T00:00:00,2022-10-10T09:00:00,711.0,728.0,600.0,677.0,1665964793482,91474117113.29988,133182645.81533219,2022-10-10
KRW-PUNDIX,2022-10-03T00:00:00,2022-10-03T09:00:00,681.0,789.0,673.0,713.0,1665359983598,171583251425.35385,235448118.98400715,2022-10-03
KRW-PUNDIX,2022-09-26T00:00:00,2022-09-26T09:00:00,721.0,724.0,670.0,681.0,1664755158809,33342490068.44122,47947755.1782514,2022-09-26
KRW-PUNDIX,2022-09-19T00:00:00,2022-09-19T09:00:00,690.0,864.0,638.0,704.0,1664150389599,294149154009.3617,380887750.0414805,2022-09-19
KRW-PUNDIX,2022-09-12T00:00:00,2022-09-12T09:00:00,751.0,949.0,673.0,690.0,1663545599796,554658882029.1344,649266273.2850474,2022-09-12
KRW-PUNDIX,2022-09-05T00:00:00,2022-09-05T09:00:00,708.0,791.0,647.0,752.0,1662940797264,83656024000.90819,114846572.3043106,2022-09-05
KRW-PUNDIX,2022-08-29T00:00:00,2022-08-29T09:00:00,698.0,743.0,670.0,708.0,1662335999980,23776133404.659466,33611784.31492247,2022-08-29
KRW-PUNDIX,2022-08-22T00:00:00,2022-08-22T09:00:00,770.0,831.0,695.0,696.0,1661731195210,132982722989.24567,170061232.08655083,2022-08-22
KRW-PUNDIX,2022-08-15T00:00:00,2022-08-15T09:00:00,848.0,962.0,693.0,770.0,1661126399741,283432442345.5523,334491004.5367247,2022-08-15
KRW-PUNDIX,2022-08-08T00:00:00,2022-08-08T09:00:00,846.0,878.0,800.0,848.0,1660521599975,118723807640.6335,141693192.71655262,2022-08-08
KRW-PUNDIX,2022-08-01T00:00:00,2022-08-01T09:00:00,1275.0,1400.0,815.0,846.0,1659916799362,1262112617443.462,1204079677.206355,2022-08-01
KRW-PUNDIX,2022-07-25T00:00:00,2022-07-25T09:00:00,548.0,1345.0,502.0,1275.0,1659311999890,806464359914.304,899566342.2513455,2022-07-25
KRW-PUNDIX,2022-07-18T00:00:00,2022-07-18T09:00:00,527.0,610.0,521.0,548.0,1658707160197,40613392534.0932,72239541.54798964,2022-07-18
KRW-PUNDIX,2022-07-11T00:00:00,2022-07-11T09:00:00,532.0,559.0,468.0,524.0,1658102399900,19251504345.506355,37351600.2957792,2022-07-11
KRW-PUNDIX,2022-07-04T00:00:00,2022-07-04T09:00:00,522.0,610.0,507.0,530.0,1657497581837,42309121795.03692,77265036.33213897,2022-07-04
KRW-PUNDIX,2022-06-27T00:00:00,2022-06-27T09:00:00,564.0,666.0,494.0,521.0,1656892755196,93536938745.06201,163051632.32629302,2022-06-27
KRW-PUNDIX,2022-06-20T00:00:00,2022-06-20T09:00:00,454.0,670.0,428.0,563.0,1656287989258,342439248785.1287,577869273.0038193,2022-06-20
KRW-PUNDIX,2022-06-13T00:00:00,2022-06-13T09:00:00,538.0,579.0,399.0,454.0,1655683199828,42694746595.668335,93522738.8139639,2022-06-13
KRW-PUNDIX,2022-06-06T00:00:00,2022-06-06T09:00:00,679.0,808.0,533.0,535.0,1655078389724,81021808689.62938,113623016.47389273,2022-06-06
KRW-PUNDIX,2022-05-30T00:00:00,2022-05-30T09:00:00,622.0,795.0,614.0,678.0,1654473598420,93666783533.28871,134309535.57659182,2022-05-30
KRW-PUNDIX,2022-05-23T00:00:00,2022-05-23T09:00:00,680.0,720.0,576.0,624.0,1653868800066,35539607264.125824,54929038.87754555,2022-05-23
KRW-PUNDIX,2022-05-16T00:00:00,2022-05-16T09:00:00,681.0,736.0,581.0,680.0,1653263995163,39387799922.463264,58709193.99985846,2022-05-16
KRW-PUNDIX,2022-05-09T00:00:00,2022-05-09T09:00:00,880.0,888.0,473.0,681.0,1652659196715,66542214672.99533,100421174.15134121,2022-05-09
KRW-PUNDIX,2022-05-02T00:00:00,2022-05-02T09:00:00,1025.0,1070.0,861.0,881.0,1652054351196,43548600664.85203,44451749.92649536,2022-05-02
KRW-PUNDIX,2022-04-25T00:00:00,2022-04-25T09:00:00,1095.0,1240.0,956.0,1025.0,1651449593274,282137916917.9104,253641198.45120507,2022-04-25
KRW-PUNDIX,2022-04-18T00:00:00,2022-04-18T09:00:00,1140.0,1375.0,1045.0,1095.0,1650844799111,284193000370.24554,234914388.72949567,2022-04-18
KRW-PUNDIX,2022-04-11T00:00:00,2022-04-11T09:00:00,1080.0,1425.0,944.0,1140.0,1650239999798,481380197782.7922,384426315.2521921,2022-04-11
KRW-PUNDIX,2022-04-04T00:00:00,2022-04-04T09:00:00,1300.0,1375.0,1060.0,1080.0,1649635196710,116155118044.18369,94709233.23238471,2022-04-04
KRW-PUNDIX,2022-03-28T00:00:00,2022-03-28T09:00:00,1085.0,1495.0,1055.0,1305.0,1649030392545,178977554266.30652,145240278.39158562,2022-03-28
KRW-PUNDIX,2022-03-21T00:00:00,2022-03-21T09:00:00,927.0,1155.0,920.0,1085.0,1648425590910,138189729057.17603,135642551.6675514,2022-03-21
KRW-PUNDIX,2022-03-14T00:00:00,2022-03-14T09:00:00,895.0,963.0,880.0,925.0,1647820794834,23254281496.41474,25265286.16569662,2022-03-14
KRW-PUNDIX,2022-03-07T00:00:00,2022-03-07T09:00:00,900.0,1040.0,874.0,895.0,1647215998498,95228285269.3761,100063926.22112295,2022-03-07
KRW-PUNDIX,2022-02-28T00:00:00,2022-02-28T09:00:00,925.0,996.0,880.0,903.0,1646611196815,62474871695.8477,66205628.25843409,2022-02-28
