market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,first_day_of_period
KRW-QKC,2023-10-09T00:00:00,2023-10-09T09:00:00,11.2,11.3,10.1,10.2,1697076853622,3431007377.790747,323478834.20764863,2023-10-09
KRW-QKC,2023-10-02T00:00:00,2023-10-02T09:00:00,11.3,11.7,10.3,11.1,1696809561906,10858682428.66489,990955641.0862097,2023-10-02
KRW-QKC,2023-09-25T00:00:00,2023-09-25T09:00:00,10.7,12.7,10.2,11.3,1696204780536,51727113245.237785,4625088614.132326,2023-09-25
KRW-QKC,2023-09-18T00:00:00,2023-09-18T09:00:00,9.96,11.6,9.8,10.7,1695599998412,12776582260.521944,1214751307.4114873,2023-09-18
KRW-QKC,2023-09-11T00:00:00,2023-09-11T09:00:00,9.85,10.3,9.25,9.97,1694995196237,8644207427.62739,882579167.6819694,2023-09-11
KRW-QKC,2023-09-04T00:00:00,2023-09-04T09:00:00,10.1,10.5,9.77,9.84,1694390385420,6868433103.876299,687614339.9229851,2023-09-04
KRW-QKC,2023-08-28T00:00:00,2023-08-28T09:00:00,10.8,10.8,9.81,10.1,1693785590800,11403961698.838345,1113095421.35545,2023-08-28
KRW-QKC,2023-08-21T00:00:00,2023-08-21T09:00:00,11.1,13.0,10.4,10.8,1693180787328,52458923759.397385,4410963590.159825,2023-08-21
KRW-QKC,2023-08-14T00:00:00,2023-08-14T09:00:00,12.4,12.5,10.2,11.1,1692575693600,8752665996.783062,779526405.5324223,2023-08-14
KRW-QKC,2023-08-07T00:00:00,2023-08-07T09:00:00,12.8,13.3,12.4,12.4,1691971172292,8274922169.844271,647320253.7973899,2023-08-07
KRW-QKC,2023-07-31T00:00:00,2023-07-31T09:00:00,12.4,13.3,12.4,12.8,1691366391212,14363372877.094957,1119866293.5607173,2023-07-31
KRW-QKC,2023-07-24T00:00:00,2023-07-24T09:00:00,12.7,13.8,11.6,12.4,1690761564690,27687752238.292778,2168372864.0663943,2023-07-24
KRW-QKC,2023-07-17T00:00:00,2023-07-17T09:00:00,12.2,13.5,11.6,12.7,1690156791789,13772892615.044191,1103853487.2680633,2023-07-17
KRW-QKC,2023-07-10T00:00:00,2023-07-10T09:00:00,11.0,12.5,10.7,12.2,1689551940737,18858766303.14085,1616811226.6729968,2023-07-10
KRW-QKC,2023-07-03T00:00:00,2023-07-03T09:00:00,11.5,11.8,10.9,11.1,1688947128870,9162664244.51646,807267820.9162517,2023-07-03
KRW-QKC,2023-06-26T00:00:00,2023-06-26T09:00:00,11.0,14.0,10.6,11.6,1688342369727,57422066829.959274,4687873420.858175,2023-06-26
KRW-QKC,2023-06-19T00:00:00,2023-06-19T09:00:00,9.83,12.0,9.61,11.0,1687737585550,11050818808.137144,1024148408.2054114,2023-06-19
KRW-QKC,2023-06-12T00:00:00,2023-06-12T09:00:00,9.78,10.4,9.02,9.81,1687132779075,8982636089.181635,922759176.5714933,2023-06-12
KRW-QKC,2023-06-05T00:00:00,2023-06-05T09:00:00,12.2,12.5,9.22,9.73,1686527987946,23906769718.451527,2096787447.6717105,2023-06-05
KRW-QKC,2023-05-29T00:00:00,2023-05-29T09:00:00,12.1,12.5,11.5,12.1,1685922833654,4052149844.069236,336103208.2809172,2023-05-29
KRW-QKC,2023-05-22T00:00:00,2023-05-22T09:00:00,12.7,12.7,11.6,12.1,1685318383972,4580357686.494741,377069413.50387794,2023-05-22
KRW-QKC,2023-05-15T00:00:00,2023-05-15T09:00:00,12.5,13.4,12.5,12.7,1684713551100,7414179266.601186,574117507.3643045,2023-05-15
KRW-QKC,2023-05-08T00:00:00,2023-05-08T09:00:00,13.9,14.0,12.1,12.5,1684108752506,7042341338.607828,543805995.9395372,2023-05-08
KRW-QKC,2023-05-01T00:00:00,2023-05-01T09:00:00,14.4,14.5,13.6,14.0,1683503966971,6941175926.436146,493526572.64890534,2023-05-01
KRW-QKC,2023-04-24T00:00:00,2023-04-24T09:00:00,14.3,15.6,13.7,14.4,1682899142675,16293989994.021381,1114000983.8477297,2023-04-24
KRW-QKC,2023-04-17T00:00:00,2023-04-17T09:00:00,15.4,15.4,14.1,14.2,1682294386565,17144308576.562819,1161565273.8068616,2023-04-17
