market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,first_day_of_period
KRW-SAND,2023-10-09T00:00:00,2023-10-09T09:00:00,406.0,409.0,380.0,382.0,1697077514239,17236731505.043076,44347852.89214944,2023-10-09
KRW-SAND,2023-10-02T00:00:00,2023-10-02T09:00:00,436.0,437.0,392.0,406.0,1696809587866,33858878994.067333,82322266.35369971,2023-10-02
KRW-SAND,2023-09-25T00:00:00,2023-09-25T09:00:00,401.0,437.0,398.0,436.0,1696204778788,32378611359.3308,77757211.14686379,2023-09-25
KRW-SAND,2023-09-18T00:00:00,2023-09-18T09:00:00,399.0,420.0,392.0,400.0,1695599988961,38864800142.01328,95792682.42279992,2023-09-18
KRW-SAND,2023-09-11T00:00:00,2023-09-11T09:00:00,403.0,421.0,378.0,398.0,1694995194469,58182919536.178604,145741357.27212468,2023-09-11
KRW-SAND,2023-09-04T00:00:00,2023-09-04T09:00:00,415.0,427.0,398.0,403.0,1694390358582,32608522731.448715,78892107.59852709,2023-09-04
KRW-SAND,2023-08-28T00:00:00,2023-08-28T09:00:00,439.0,461.0,410.0,414.0,1693785593888,42273425415.62197,97670800.8016345,2023-08-28
KRW-SAND,2023-08-21T00:00:00,2023-08-21T09:00:00,460.0,461.0,430.0,440.0,1693180787346,30789419412.29793,69606785.14293528,2023-08-21
KRW-SAND,2023-08-14T00:00:00,2023-08-14T09:00:00,525.0,534.0,437.0,459.0,1692575984417,82002932454.9888,169567935.85507178,2023-08-14
KRW-SAND,2023-08-07T00:00:00,2023-08-07T09:00:00,537.0,545.0,521.0,525.0,1691971182490,41948910761.653465,78357641.94222194,2023-08-07
KRW-SAND,2023-07-31T00:00:00,2023-07-31T09:00:00,557.0,562.0,521.0,537.0,1691366376178,62590840682.32747,115620988.36424129,2023-07-31
KRW-SAND,2023-07-24T00:00:00,2023-07-24T09:00:00,590.0,594.0,545.0,558.0,1690761597246,76563195038.42883,136691510.41156906,2023-07-24
KRW-SAND,2023-07-17T00:00:00,2023-07-17T09:00:00,569.0,597.0,560.0,591.0,1690156797337,91580515980.71872,158966167.60817188,2023-07-17
KRW-SAND,2023-07-10T00:00:00,2023-07-10T09:00:00,545.0,619.0,527.0,569.0,1689551995902,150019978607.259,259571146.2018301,2023-07-10
KRW-SAND,2023-07-03T00:00:00,2023-07-03T09:00:00,593.0,618.0,543.0,545.0,1688947190995,98322645644.24103,170731396.92836866,2023-07-03
KRW-SAND,2023-06-26T00:00:00,2023-06-26T09:00:00,584.0,622.0,521.0,593.0,1688342398172,181556872032.30984,317051019.9069786,2023-06-26
KRW-SAND,2023-06-19T00:00:00,2023-06-19T09:00:00,503.0,610.0,493.0,584.0,1687737570100,191385531743.23904,339418257.5884636,2023-06-19
KRW-SAND,2023-06-12T00:00:00,2023-06-12T09:00:00,509.0,525.0,473.0,503.0,1687132765642,102620535990.9525,204625368.14387652,2023-06-12
KRW-SAND,2023-06-05T00:00:00,2023-06-05T09:00:00,781.0,812.0,488.0,509.0,1686527995740,307044506454.01953,480925067.40774435,2023-06-05
KRW-SAND,2023-05-29T00:00:00,2023-05-29T09:00:00,738.0,801.0,700.0,781.0,1685923196570,144408177189.15857,194576075.00463924,2023-05-29
KRW-SAND,2023-05-22T00:00:00,2023-05-22T09:00:00,691.0,767.0,647.0,738.0,1685318388431,132759991046.59634,189763264.93217513,2023-05-22
KRW-SAND,2023-05-15T00:00:00,2023-05-15T09:00:00,680.0,728.0,667.0,692.0,1684713569384,79101927457.04204,111769420.99835229,2023-05-15
KRW-SAND,2023-05-08T00:00:00,2023-05-08T09:00:00,729.0,730.0,648.0,680.0,1684108706908,62776512027.94105,91825363.63272814,2023-05-08
KRW-SAND,2023-05-01T00:00:00,2023-05-01T09:00:00,773.0,782.0,726.0,730.0,1683503980281,66838416371.61424,88820198.33643658,2023-05-01
KRW-SAND,2023-04-24T00:00:00,2023-04-24T09:00:00,784.0,820.0,741.0,773.0,1682899194915,98144954546.53297,125549452.7515369,2023-04-24
KRW-SAND,2023-04-17T00:00:00,2023-04-17T09:00:00,902.0,935.0,774.0,784.0,1682294383003,249942798466.2901,288516756.4131769,2023-04-17
KRW-SAND,2023-04-10T00:00:00,2023-04-10T09:00:00,842.0,921.0,826.0,903.0,1681689599217,222268836194.81967,253956684.84021473,2023-04-10
KRW-SAND,2023-04-03T00:00:00,2023-04-03T09:00:00,817.0,897.0,797.0,842.0,1681084798155,242827705036.56128,287546760.1694279,2023-04-03
KRW-SAND,2023-03-27T00:00:00,2023-03-27T09:00:00,840.0,864.0,774.0,817.0,1680479993928,216600028125.91245,263802120.22095028,2023-03-27
KRW-SAND,2023-03-20T00:00:00,2023-03-20T09:00:00,911.0,948.0,825.0,841.0,1679875198547,311347526107.71716,354400382.42549556,2023-03-20
KRW-SAND,2023-03-13T00:00:00,2023-03-13T09:00:00,778.0,965.0,746.0,911.0,1679270399669,575863094162.9968,674256734.6784182,2023-03-13
KRW-SAND,2023-03-06T00:00:00,2023-03-06T09:00:00,823.0,855.0,688.0,778.0,1678665599437,264555151872.80423,346756478.7364949,2023-03-06
KRW-SAND,2023-02-27T00:00:00,2023-02-27T09:00:00,956.0,971.0,809.0,823.0,1678060796663,228641975290.65448,257451753.53087896,2023-02-27
KRW-SAND,2023-02-20T00:00:00,2023-02-20T09:00:00,1010.0,1145.0,903.0,955.0,1677455997311,387919823086.3778,384529711.7915852,2023-02-20
KRW-SAND,2023-02-13T00:00:00,2023-02-13T09:00:00,915.0,1070.0,852.0,1010.0,1676851200008,523902124132.2422,546139954.1121143,2023-02-13
