market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,first_day_of_period
KRW-SNT,2023-10-09T00:00:00,2023-10-09T09:00:00,32.9,32.9,30.7,31.1,1697075614658,2394099832.1674094,75335922.70424029,2023-10-09
KRW-SNT,2023-10-02T00:00:00,2023-10-02T09:00:00,32.9,33.9,31.1,32.9,1696809596939,9095777600.695108,280630318.26837003,2023-10-02
KRW-SNT,2023-09-25T00:00:00,2023-09-25T09:00:00,30.3,34.8,29.8,32.9,1696204769142,22728233824.098434,690276855.6477643,2023-09-25
KRW-SNT,2023-09-18T00:00:00,2023-09-18T09:00:00,29.6,31.9,29.2,30.3,1695599963112,8159727312.870837,267487631.23951995,2023-09-18
KRW-SNT,2023-09-11T00:00:00,2023-09-11T09:00:00,29.8,31.3,28.3,29.6,1694995173661,11917057962.001228,399674090.78122944,2023-09-11
KRW-SNT,2023-09-04T00:00:00,2023-09-04T09:00:00,29.0,30.6,28.7,29.8,1694390385740,4805243259.720457,162291684.39717752,2023-09-04
KRW-SNT,2023-08-28T00:00:00,2023-08-28T09:00:00,29.6,30.6,28.5,29.1,1693785580560,8221880608.852741,276775228.15635884,2023-08-28
KRW-SNT,2023-08-21T00:00:00,2023-08-21T09:00:00,31.9,32.2,29.1,29.8,1693180782867,15426368580.479225,506337871.7071183,2023-08-21
KRW-SNT,2023-08-14T00:00:00,2023-08-14T09:00:00,33.7,36.6,28.0,31.9,1692575997101,53053584307.395966,1600997886.7160504,2023-08-14
KRW-SNT,2023-08-07T00:00:00,2023-08-07T09:00:00,33.5,34.8,32.7,33.7,1691971197485,5888738871.256943,173814930.4936397,2023-08-07
KRW-SNT,2023-07-31T00:00:00,2023-07-31T09:00:00,33.1,34.0,32.1,33.5,1691366318968,9257974025.416197,279604597.6035913,2023-07-31
KRW-SNT,2023-07-24T00:00:00,2023-07-24T09:00:00,33.4,34.9,31.5,33.0,1690761584179,11001144130.351496,331757537.3227275,2023-07-24
KRW-SNT,2023-07-17T00:00:00,2023-07-17T09:00:00,33.4,38.2,31.9,33.5,1690156793160,37523194845.887276,1080963105.5583637,2023-07-17
KRW-SNT,2023-07-10T00:00:00,2023-07-10T09:00:00,31.2,40.5,29.9,33.4,1689551985849,63755257926.24414,1779708889.4364662,2023-07-10
KRW-SNT,2023-07-03T00:00:00,2023-07-03T09:00:00,31.9,36.7,30.9,31.3,1688947178543,21390141332.676624,636361123.0113027,2023-07-03
KRW-SNT,2023-06-26T00:00:00,2023-06-26T09:00:00,30.4,38.6,29.4,31.9,1688342393191,23881882881.617733,710749584.5530481,2023-06-26
KRW-SNT,2023-06-19T00:00:00,2023-06-19T09:00:00,26.2,33.4,26.2,30.5,1687737596877,9021327814.530586,299538732.566687,2023-06-19
KRW-SNT,2023-06-12T00:00:00,2023-06-12T09:00:00,26.8,27.2,25.3,26.2,1687132452695,2944264848.169216,111490573.01021104,2023-06-12
KRW-SNT,2023-06-05T00:00:00,2023-06-05T09:00:00,31.5,31.6,26.0,26.8,1686527999240,4419805088.043387,152833837.2100301,2023-06-05
KRW-SNT,2023-05-29T00:00:00,2023-05-29T09:00:00,31.8,32.5,30.6,31.6,1685922780535,4960418906.057066,156937266.25473025,2023-05-29
KRW-SNT,2023-05-22T00:00:00,2023-05-22T09:00:00,32.3,32.5,30.4,31.8,1685318353271,3735833175.9534655,118691215.07842661,2023-05-22
KRW-SNT,2023-05-15T00:00:00,2023-05-15T09:00:00,33.0,39.0,32.2,32.3,1684713598565,39353324372.3261,1099750624.8400195,2023-05-15
KRW-SNT,2023-05-08T00:00:00,2023-05-08T09:00:00,34.7,35.1,31.7,33.0,1684108742457,5639029719.087554,168777701.73417845,2023-05-08
KRW-SNT,2023-05-01T00:00:00,2023-05-01T09:00:00,36.1,36.9,34.3,34.7,1683503961101,4213309373.6084995,119408839.4250453,2023-05-01
KRW-SNT,2023-04-24T00:00:00,2023-04-24T09:00:00,36.3,36.8,34.5,36.1,1682899193692,4968508334.325848,138404621.61153343,2023-04-24
KRW-SNT,2023-04-17T00:00:00,2023-04-17T09:00:00,38.2,38.6,35.7,36.4,1682294399293,11256013557.680452,302594474.81565434,2023-04-17
KRW-SNT,2023-04-10T00:00:00,2023-04-10T09:00:00,37.2,40.9,36.8,38.2,1681689583188,48670641832.4218,1253126934.8145256,2023-04-10
KRW-SNT,2023-04-03T00:00:00,2023-04-03T09:00:00,37.4,40.0,36.0,37.1,1681084781651,24251819363.88252,642985664.5259442,2023-04-03
KRW-SNT,2023-03-27T00:00:00,2023-03-27T09:00:00,35.2,44.4,34.3,37.4,1680479995796,110610216855.57848,2784015054.50289,2023-03-27
KRW-SNT,2023-03-20T00:00:00,2023-03-20T09:00:00,37.3,38.8,34.4,35.2,1679875176114,32470193574.313595,885963602.5006231,2023-03-20
KRW-SNT,2023-03-13T00:00:00,2023-03-13T09:00:00,32.6,37.7,31.9,37.2,1679270399555,33895631951.427658,949076231.449544,2023-03-13
KRW-SNT,2023-03-06T00:00:00,2023-03-06T09:00:00,35.6,36.0,29.7,32.6,1678665593500,10927812740.500196,332729919.2401437,2023-03-06
KRW-SNT,2023-02-27T00:00:00,2023-02-27T09:00:00,39.5,41.9,35.2,35.6,1678060771264,36833281963.8186,931599678.9893632,2023-02-27
KRW-SNT,2023-02-20T00:00:00,2023-02-20T09:00:00,39.3,41.5,37.8,39.6,1677455999390,40272830455.01033,1023493903.7517623,2023-02-20
KRW-SNT,2023-02-13T00:00:00,2023-02-13T09:00:00,36.3,40.2,33.9,39.3,1676851198450,34507382114.64653,911456883.1419322,2023-02-13
KRW-SNT,2023-02-06T00:00:00,2023-02-06T09:00:00,37.2,39.7,35.5,36.2,1676246366378,25920792576.470097,691061047.4877424,2023-02-06
KRW-SNT,2023-01-30T00:00:00,2023-01-30T09:00:00,34.1,49.2,31.1,37.1,1675641553063,425220133141.26086,10120024794.522097,2023-01-30
KRW-SNT,2023-01-23T00:00:00,2023-01-23T09:00:00,32.0,37.8,30.6,34.1,1675036777194,56694273986.7345,1680531042.9939206,2023-01-23
KRW-SNT,2023-01-16T00:00:00,2023-01-16T09:00:00,30.1,33.9,28.6,32.2,1674431931094,41471069461.58035,1323036001.7631996,2023-01-16
KRW-SNT,2023-01-09T00:00:00,2023-01-09T09:00:00,25.6,31.2,25.3,30.0,1673827190953,22244312642.503605,794316648.0262234,2023-01-09
KRW-SNT,2023-01-02T00:00:00,2023-01-02T09:00:00,24.0,25.7,23.7,25.7,1673222390805,5326575955.074673,215324869.31960794,2023-01-02
KRW-SNT,2022-12-26T00:00:00,2022-12-26T09:00:00,26.9,27.3,22.5,24.1,1672617567095,5516909306.396685,224393483.93776992,2022-12-26
KRW-SNT,2022-12-19T00:00:00,2022-12-19T09:00:00,27.7,28.0,25.3,27.0,1672012725851,4469809736.137146,164991508.50685075,2022-12-19
KRW-SNT,2022-12-12T00:00:00,2022-12-12T09:00:00,30.9,31.5,26.1,27.6,1671407781575,10800420520.747185,362020943.6620609,2022-12-12
KRW-SNT,2022-12-05T00:00:00,2022-12-05T09:00:00,31.0,32.3,29.2,30.9,1670803190205,9031335238.836153,293690738.0699962,2022-12-05
KRW-SNT,2022-11-28T00:00:00,2022-11-28T09:00:00,31.2,33.0,29.9,31.1,1670198377504,8441974083.294863,271119169.71315587,2022-11-28
KRW-SNT,2022-11-21T00:00:00,2022-11-21T09:00:00,29.6,36.8,28.4,31.2,1669593597512,42259373323.837326,1313533083.645616,2022-11-21
KRW-SNT,2022-11-14T00:00:00,2022-11-14T09:00:00,27.9,33.9,25.8,29.5,1668988783778,28760727492.092842,949723562.4596243,2022-11-14
KRW-SNT,2022-11-07T00:00:00,2022-11-07T09:00:00,40.1,40.8,27.1,27.8,1668383955588,23937482325.28989,715212260.9826801,2022-11-07
KRW-SNT,2022-10-31T00:00:00,2022-10-31T09:00:00,39.8,41.8,39.1,40.0,1667779179034,27385451791.411465,676145186.7483271,2022-10-31
KRW-SNT,2022-10-24T00:00:00,2022-10-24T09:00:00,39.6,42.0,39.0,40.0,1667174380875,37437761241.00549,925003121.5826855,2022-10-24
KRW-SNT,2022-10-17T00:00:00,2022-10-17T09:00:00,40.5,41.3,38.0,39.6,1666569599407,27133902318.17861,683914640.9246206,2022-10-17
KRW-SNT,2022-10-10T00:00:00,2022-10-10T09:00:00,40.6,51.7,38.0,40.5,1665964796994,191312563097.21088,4210738017.7160807,2022-10-10
KRW-SNT,2022-10-03T00:00:00,2022-10-03T09:00:00,40.2,41.8,39.2,40.5,1665359990908,14139877944.997744,350034999.99189395,2022-10-03
KRW-SNT,2022-09-26T00:00:00,2022-09-26T09:00:00,41.7,42.8,39.5,40.2,1664755186623,16954439854.694233,414590641.893163,2022-09-26
KRW-SNT,2022-09-19T00:00:00,2022-09-19T09:00:00,39.6,48.9,37.6,41.8,1664150386318,100005972606.33247,2279329791.6125455,2022-09-19
KRW-SNT,2022-09-12T00:00:00,2022-09-12T09:00:00,41.9,49.4,39.0,39.6,1663545599645,174953236470.2418,3881660775.535771,2022-09-12
KRW-SNT,2022-09-05T00:00:00,2022-09-05T09:00:00,39.7,43.2,37.0,41.9,1662940800018,30008165142.969105,735348037.9842899,2022-09-05
KRW-SNT,2022-08-29T00:00:00,2022-08-29T09:00:00,39.3,41.6,38.3,39.7,1662335975360,8929629080.56618,223298228.0114623,2022-08-29
KRW-SNT,2022-08-22T00:00:00,2022-08-22T09:00:00,40.6,44.2,38.2,39.4,1661731193030,30605430656.20147,747880662.9560142,2022-08-22
KRW-SNT,2022-08-15T00:00:00,2022-08-15T09:00:00,47.0,47.4,39.0,40.7,1661126400040,16383901572.934471,372072518.3919804,2022-08-15
KRW-SNT,2022-08-08T00:00:00,2022-08-08T09:00:00,44.0,49.4,42.1,47.0,1660521599909,62508655026.30515,1355316789.2794678,2022-08-08
KRW-SNT,2022-08-01T00:00:00,2022-08-01T09:00:00,43.7,47.5,41.3,43.9,1659916750675,38728369710.93937,882772650.688982,2022-08-01
KRW-SNT,2022-07-25T00:00:00,2022-07-25T09:00:00,40.8,44.4,37.2,42.9,1659311997094,28938565172.02613,706609091.4656208,2022-07-25
KRW-SNT,2022-07-18T00:00:00,2022-07-18T09:00:00,39.2,43.5,39.0,40.7,1658707194575,30726976016.039513,746480777.4453616,2022-07-18
KRW-SNT,2022-07-11T00:00:00,2022-07-11T09:00:00,39.1,40.3,36.3,39.1,1658102353385,32492187189.678093,841502780.2645754,2022-07-11
KRW-SNT,2022-07-04T00:00:00,2022-07-04T09:00:00,39.7,50.9,38.4,39.2,1657497572873,142761014979.2356,3370011949.357152,2022-07-04
KRW-SNT,2022-06-27T00:00:00,2022-06-27T09:00:00,38.6,41.6,34.2,39.8,1656892797346,58175298219.09507,1497837646.7319856,2022-06-27
KRW-SNT,2022-06-20T00:00:00,2022-06-20T09:00:00,36.2,39.8,34.4,38.6,1656287993900,36136940718.924995,955660192.8097539,2022-06-20
KRW-SNT,2022-06-13T00:00:00,2022-06-13T09:00:00,40.8,42.9,30.9,36.2,1655683199434,98917906526.85025,2670747212.206785,2022-06-13
KRW-SNT,2022-06-06T00:00:00,2022-06-06T09:00:00,57.9,58.0,40.5,40.7,1655078377689,48378941178.85369,951541997.497536,2022-06-06
KRW-SNT,2022-05-30T00:00:00,2022-05-30T09:00:00,45.2,64.5,44.5,58.0,1654473599977,218556934933.29346,4111505712.810172,2022-05-30
KRW-SNT,2022-05-23T00:00:00,2022-05-23T09:00:00,47.1,58.0,41.1,45.4,1653868798923,97986164516.39577,1981144770.6374166,2022-05-23
KRW-SNT,2022-05-16T00:00:00,2022-05-16T09:00:00,47.9,50.8,38.7,47.1,1653263999460,41651445256.17793,921521369.6594929,2022-05-16
KRW-SNT,2022-05-09T00:00:00,2022-05-09T09:00:00,60.2,61.7,35.5,47.9,1652659199520,34383835448.987465,724843213.1543908,2022-05-09
KRW-SNT,2022-05-02T00:00:00,2022-05-02T09:00:00,70.4,75.2,59.4,60.2,1652054398686,28097122728.564507,413401725.3013905,2022-05-02
