market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,first_day_of_period
KRW-SSX,2023-10-09T00:00:00,2023-10-09T09:00:00,21.2,21.4,19.0,19.5,1697077242796,3875507185.350171,192222105.85809928,2023-10-09
KRW-SSX,2023-10-02T00:00:00,2023-10-02T09:00:00,20.9,22.0,19.9,21.2,1696809591379,14697579186.249702,698394228.5661472,2023-10-02
KRW-SSX,2023-09-25T00:00:00,2023-09-25T09:00:00,19.7,21.5,19.2,20.9,1696204798363,10840383638.86406,529685520.70376706,2023-09-25
KRW-SSX,2023-09-18T00:00:00,2023-09-18T09:00:00,19.0,20.6,18.7,19.7,1695599995783,4418065557.813733,225008385.71175405,2023-09-18
KRW-SSX,2023-09-11T00:00:00,2023-09-11T09:00:00,18.6,19.8,17.5,19.1,1694995169682,7225338640.171368,383480106.1117247,2023-09-11
KRW-SSX,2023-09-04T00:00:00,2023-09-04T09:00:00,18.8,19.0,18.1,18.5,1694390394592,1686238229.0184562,90871042.27159879,2023-09-04
KRW-SSX,2023-08-28T00:00:00,2023-08-28T09:00:00,19.4,19.5,18.3,18.7,1693785490968,3156083561.836692,166894480.83593345,2023-08-28
KRW-SSX,2023-08-21T00:00:00,2023-08-21T09:00:00,19.9,20.1,18.9,19.4,1693180792003,2692742752.9068513,137639796.48469794,2023-08-21
KRW-SSX,2023-08-14T00:00:00,2023-08-14T09:00:00,22.4,22.5,18.5,19.9,1692575760469,5706939043.764737,280769476.69442683,2023-08-14
KRW-SSX,2023-08-07T00:00:00,2023-08-07T09:00:00,23.2,24.7,22.0,22.4,1691971177731,12967774138.243608,567471282.4793445,2023-08-07
KRW-SSX,2023-07-31T00:00:00,2023-07-31T09:00:00,22.3,24.8,22.0,23.2,1691366390709,17999477587.360077,780993984.6677512,2023-07-31
KRW-SSX,2023-07-24T00:00:00,2023-07-24T09:00:00,22.4,24.8,20.3,22.2,1690761597949,23591529258.96189,1047746906.1819924,2023-07-24
KRW-SSX,2023-07-17T00:00:00,2023-07-17T09:00:00,22.0,24.4,20.7,22.3,1690156791878,43073996895.31186,1919756089.3308065,2023-07-17
KRW-SSX,2023-07-10T00:00:00,2023-07-10T09:00:00,20.3,24.6,19.9,22.0,1689551898806,39972287240.595245,1796625860.8657708,2023-07-10
KRW-SSX,2023-07-03T00:00:00,2023-07-03T09:00:00,20.7,22.2,19.7,20.3,1688947165699,8888908140.11428,424586315.4562143,2023-07-03
KRW-SSX,2023-06-26T00:00:00,2023-06-26T09:00:00,20.1,22.1,19.4,20.8,1688342383036,60799992764.86588,2914587335.277582,2023-06-26
KRW-SSX,2023-06-19T00:00:00,2023-06-19T09:00:00,18.1,22.4,17.8,20.1,1687737599992,7770301081.788333,385244995.68435663,2023-06-19
KRW-SSX,2023-06-12T00:00:00,2023-06-12T09:00:00,18.3,18.5,16.8,18.1,1687132782944,2634670202.3004065,148421190.89196903,2023-06-12
KRW-SSX,2023-06-05T00:00:00,2023-06-05T09:00:00,21.4,21.5,17.5,18.3,1686527565410,6046994349.408076,304232954.7074418,2023-06-05
KRW-SSX,2023-05-29T00:00:00,2023-05-29T09:00:00,21.9,22.0,20.7,21.5,1685923184267,2070500139.7592921,96558681.84511693,2023-05-29
KRW-SSX,2023-05-22T00:00:00,2023-05-22T09:00:00,22.4,22.7,21.0,21.9,1685318395057,2226684117.512781,102319003.7578528,2023-05-22
KRW-SSX,2023-05-15T00:00:00,2023-05-15T09:00:00,22.9,23.2,22.4,22.5,1684713371513,2797371483.923085,122197453.98098984,2023-05-15
KRW-SSX,2023-05-08T00:00:00,2023-05-08T09:00:00,24.8,24.9,21.6,23.0,1684108798727,5074716854.231202,217302023.59008428,2023-05-08
KRW-SSX,2023-05-01T00:00:00,2023-05-01T09:00:00,26.1,26.1,24.6,24.8,1683503973044,6088767229.889268,240731673.87439317,2023-05-01
KRW-SSX,2023-04-24T00:00:00,2023-04-24T09:00:00,25.8,26.6,24.8,26.1,1682899187620,11202740894.009342,433055592.9641953,2023-04-24
KRW-SSX,2023-04-17T00:00:00,2023-04-17T09:00:00,27.2,28.6,25.3,25.8,1682294363103,19666160700.221546,738790456.3457412,2023-04-17
KRW-SSX,2023-04-10T00:00:00,2023-04-10T09:00:00,26.7,30.8,25.9,27.3,1681689596459,92101371790.09177,3260823990.9893436,2023-04-10
KRW-SSX,2023-04-03T00:00:00,2023-04-03T09:00:00,25.3,31.5,24.5,26.6,1681084797862,50157284907.92745,1824060043.1083293,2023-04-03
KRW-SSX,2023-03-27T00:00:00,2023-03-27T09:00:00,25.3,26.5,23.2,25.2,1680479919815,10597315672.01166,424962370.9050002,2023-03-27
KRW-SSX,2023-03-20T00:00:00,2023-03-20T09:00:00,26.8,27.4,24.9,25.3,1679875175231,13529401721.739742,520372961.92264473,2023-03-20
