market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,first_day_of_period
KRW-STEEM,2023-10-09T00:00:00,2023-10-09T09:00:00,244.0,246.0,227.0,231.0,1697076387695,7677412544.057936,32693032.94709715,2023-10-09
KRW-STEEM,2023-10-02T00:00:00,2023-10-02T09:00:00,246.0,250.0,231.0,245.0,1696809483042,18974689939.050064,79364373.21472608,2023-10-02
KRW-STEEM,2023-09-25T00:00:00,2023-09-25T09:00:00,238.0,248.0,226.0,245.0,1696204798016,16816612582.174253,71663820.95568827,2023-09-25
KRW-STEEM,2023-09-18T00:00:00,2023-09-18T09:00:00,218.0,242.0,214.0,238.0,1695599997558,16795697066.48468,72676031.02966641,2023-09-18
KRW-STEEM,2023-09-11T00:00:00,2023-09-11T09:00:00,213.0,229.0,203.0,218.0,1694995116013,10718187982.373032,49140593.91018907,2023-09-11
KRW-STEEM,2023-09-04T00:00:00,2023-09-04T09:00:00,211.0,219.0,206.0,213.0,1694390398051,4131092649.9118237,19432624.45134407,2023-09-04
KRW-STEEM,2023-08-28T00:00:00,2023-08-28T09:00:00,218.0,224.0,203.0,212.0,1693785597605,6854085411.850474,32146155.11283881,2023-08-28
KRW-STEEM,2023-08-21T00:00:00,2023-08-21T09:00:00,223.0,231.0,213.0,219.0,1693180795672,15660338701.47393,70294675.51046775,2023-08-21
KRW-STEEM,2023-08-14T00:00:00,2023-08-14T09:00:00,248.0,253.0,209.0,224.0,1692575997966,34206887368.902565,150144370.9027026,2023-08-14
KRW-STEEM,2023-08-07T00:00:00,2023-08-07T09:00:00,244.0,249.0,238.0,248.0,1691971099635,9939526129.447887,40772323.84433892,2023-08-07
KRW-STEEM,2023-07-31T00:00:00,2023-07-31T09:00:00,243.0,261.0,237.0,244.0,1691366398471,36031712911.776306,144884390.3087383,2023-07-31
KRW-STEEM,2023-07-24T00:00:00,2023-07-24T09:00:00,247.0,258.0,232.0,244.0,1690761590454,21631344284.978695,88788007.4677279,2023-07-24
KRW-STEEM,2023-07-17T00:00:00,2023-07-17T09:00:00,247.0,263.0,234.0,248.0,1690156784955,56040424941.53105,225325770.39479935,2023-07-17
KRW-STEEM,2023-07-10T00:00:00,2023-07-10T09:00:00,238.0,401.0,232.0,246.0,1689551999966,382068900994.7298,1297096754.5274765,2023-07-10
KRW-STEEM,2023-07-03T00:00:00,2023-07-03T09:00:00,241.0,249.0,231.0,238.0,1688947197297,8837385762.184223,36802343.03012232,2023-07-03
KRW-STEEM,2023-06-26T00:00:00,2023-06-26T09:00:00,246.0,262.0,224.0,241.0,1688342395106,17521487639.993755,72696525.48456496,2023-06-26
KRW-STEEM,2023-06-19T00:00:00,2023-06-19T09:00:00,206.0,250.0,206.0,246.0,1687737599404,12362580169.945143,53749342.31063081,2023-06-19
KRW-STEEM,2023-06-12T00:00:00,2023-06-12T09:00:00,211.0,216.0,197.0,206.0,1687132712512,8760929322.514961,42170279.61381017,2023-06-12
KRW-STEEM,2023-06-05T00:00:00,2023-06-05T09:00:00,246.0,267.0,201.0,211.0,1686527880517,20708812456.197132,86620747.07443371,2023-06-05
KRW-STEEM,2023-05-29T00:00:00,2023-05-29T09:00:00,252.0,255.0,238.0,246.0,1685922998479,4762336961.134957,19452024.03036739,2023-05-29
KRW-STEEM,2023-05-22T00:00:00,2023-05-22T09:00:00,258.0,262.0,242.0,253.0,1685318380276,5197723398.020447,20626183.09187428,2023-05-22
KRW-STEEM,2023-05-15T00:00:00,2023-05-15T09:00:00,263.0,271.0,257.0,259.0,1684713561890,7653256201.307238,28909680.4715663,2023-05-15
KRW-STEEM,2023-05-08T00:00:00,2023-05-08T09:00:00,281.0,282.0,252.0,263.0,1684108774285,16954348313.941746,62962396.32274348,2023-05-08
KRW-STEEM,2023-05-01T00:00:00,2023-05-01T09:00:00,287.0,293.0,270.0,281.0,1683503997840,18599675855.130188,66320286.22354863,2023-05-01
KRW-STEEM,2023-04-24T00:00:00,2023-04-24T09:00:00,293.0,298.0,276.0,287.0,1682899194371,26870310503.49585,93849425.05178759,2023-04-24
KRW-STEEM,2023-04-17T00:00:00,2023-04-17T09:00:00,309.0,363.0,284.0,293.0,1682294393732,354700250333.2261,1071790681.0350317,2023-04-17
KRW-STEEM,2023-04-10T00:00:00,2023-04-10T09:00:00,291.0,319.0,281.0,309.0,1681689599367,97239292009.74269,323517029.86865276,2023-04-10
KRW-STEEM,2023-04-03T00:00:00,2023-04-03T09:00:00,275.0,465.0,269.0,291.0,1681084774784,812258755577.8239,2132059827.354895,2023-04-03
KRW-STEEM,2023-03-27T00:00:00,2023-03-27T09:00:00,278.0,297.0,250.0,275.0,1680479996098,59050346325.2402,212342574.53047684,2023-03-27
KRW-STEEM,2023-03-20T00:00:00,2023-03-20T09:00:00,291.0,301.0,267.0,277.0,1679875198853,74335186217.94946,258998192.5606781,2023-03-20
KRW-STEEM,2023-03-13T00:00:00,2023-03-13T09:00:00,251.0,298.0,243.0,290.0,1679270385568,21416176294.28305,77645527.45989986,2023-03-13
KRW-STEEM,2023-03-06T00:00:00,2023-03-06T09:00:00,286.0,287.0,224.0,252.0,1678665595247,14152617555.605806,55664190.89645396,2023-03-06
KRW-STEEM,2023-02-27T00:00:00,2023-02-27T09:00:00,322.0,338.0,278.0,287.0,1678060694431,32663445240.67566,106115483.62199892,2023-02-27
KRW-STEEM,2023-02-20T00:00:00,2023-02-20T09:00:00,308.0,344.0,293.0,323.0,1677455994575,61216829562.173225,193138079.91859704,2023-02-20
KRW-STEEM,2023-02-13T00:00:00,2023-02-13T09:00:00,288.0,324.0,260.0,309.0,1676851197193,95357585833.04065,319604350.06216097,2023-02-13
KRW-STEEM,2023-02-06T00:00:00,2023-02-06T09:00:00,275.0,309.0,262.0,288.0,1676246396972,151891984431.95267,522963559.3220039,2023-02-06
KRW-STEEM,2023-01-30T00:00:00,2023-01-30T09:00:00,255.0,298.0,230.0,274.0,1675641599919,71781756566.48834,269575974.8379443,2023-01-30
KRW-STEEM,2023-01-23T00:00:00,2023-01-23T09:00:00,245.0,274.0,232.0,255.0,1675036794859,75879649112.24892,301777305.17285,2023-01-23
KRW-STEEM,2023-01-16T00:00:00,2023-01-16T09:00:00,227.0,314.0,221.0,246.0,1674431979527,265593376693.85178,974721945.7739733,2023-01-16
KRW-STEEM,2023-01-09T00:00:00,2023-01-09T09:00:00,193.0,250.0,191.0,227.0,1673827199608,38378234708.12402,174962663.8651854,2023-01-09
KRW-STEEM,2023-01-02T00:00:00,2023-01-02T09:00:00,187.0,194.0,184.0,193.0,1673222373486,5833837913.686426,30721191.63679168,2023-01-02
KRW-STEEM,2022-12-26T00:00:00,2022-12-26T09:00:00,208.0,209.0,176.0,187.0,1672617540636,5924051792.066743,31306494.12828437,2022-12-26
KRW-STEEM,2022-12-19T00:00:00,2022-12-19T09:00:00,208.0,226.0,192.0,209.0,1672012754902,20882264285.140766,98413581.38245367,2022-12-19
KRW-STEEM,2022-12-12T00:00:00,2022-12-12T09:00:00,236.0,240.0,196.0,209.0,1671407987798,12115237340.28247,54447354.01462495,2022-12-12
KRW-STEEM,2022-12-05T00:00:00,2022-12-05T09:00:00,241.0,249.0,221.0,237.0,1670803175743,16083486574.11898,68100767.43148872,2022-12-05
KRW-STEEM,2022-11-28T00:00:00,2022-11-28T09:00:00,245.0,245.0,231.0,241.0,1670198393775,11268631194.239164,47358261.4335831,2022-11-28
KRW-STEEM,2022-11-21T00:00:00,2022-11-21T09:00:00,234.0,306.0,225.0,245.0,1669593596833,71831345037.43315,275441346.0225081,2022-11-21
KRW-STEEM,2022-11-14T00:00:00,2022-11-14T09:00:00,211.0,261.0,185.0,235.0,1668988794278,88075274577.55315,382255702.7288712,2022-11-14
KRW-STEEM,2022-11-07T00:00:00,2022-11-07T09:00:00,331.0,335.0,200.0,210.0,1668383978203,33189080236.167492,130172681.90597907,2022-11-07
KRW-STEEM,2022-10-31T00:00:00,2022-10-31T09:00:00,330.0,347.0,318.0,331.0,1667779199567,50605561907.23659,151166762.22689295,2022-10-31
KRW-STEEM,2022-10-24T00:00:00,2022-10-24T09:00:00,328.0,356.0,322.0,330.0,1667174381543,93515253096.35226,277543748.6158972,2022-10-24
KRW-STEEM,2022-10-17T00:00:00,2022-10-17T09:00:00,328.0,336.0,307.0,327.0,1666569591379,31061203748.541702,95602796.7880675,2022-10-17
KRW-STEEM,2022-10-10T00:00:00,2022-10-10T09:00:00,326.0,340.0,302.0,328.0,1665964793354,50913959545.538704,155687167.35646877,2022-10-10
KRW-STEEM,2022-10-03T00:00:00,2022-10-03T09:00:00,310.0,357.0,310.0,327.0,1665359957724,82816352428.59947,250006979.71807873,2022-10-03
KRW-STEEM,2022-09-26T00:00:00,2022-09-26T09:00:00,314.0,339.0,301.0,311.0,1664755197445,45764042449.7279,142798411.67362455,2022-09-26
KRW-STEEM,2022-09-19T00:00:00,2022-09-19T09:00:00,311.0,336.0,296.0,314.0,1664150387266,48218756442.698074,153756527.25930086,2022-09-19
KRW-STEEM,2022-09-12T00:00:00,2022-09-12T09:00:00,325.0,333.0,300.0,311.0,1663545599339,35228967377.16441,111815792.25638382,2022-09-12
KRW-STEEM,2022-09-05T00:00:00,2022-09-05T09:00:00,309.0,355.0,286.0,324.0,1662940798509,85660858987.4522,266525726.42286572,2022-09-05
KRW-STEEM,2022-08-29T00:00:00,2022-08-29T09:00:00,303.0,318.0,300.0,309.0,1662335992439,11841262644.041264,38319111.82148969,2022-08-29
KRW-STEEM,2022-08-22T00:00:00,2022-08-22T09:00:00,326.0,330.0,301.0,302.0,1661731197527,21844739677.48711,69256528.6853172,2022-08-22
KRW-STEEM,2022-08-15T00:00:00,2022-08-15T09:00:00,367.0,383.0,312.0,326.0,1661126396186,53659211339.64563,151877394.1961732,2022-08-15
KRW-STEEM,2022-08-08T00:00:00,2022-08-08T09:00:00,344.0,404.0,331.0,367.0,1660521598191,77201385093.34822,213367351.77355486,2022-08-08
KRW-STEEM,2022-08-01T00:00:00,2022-08-01T09:00:00,339.0,377.0,322.0,344.0,1659916791531,69156924872.40044,199092911.85645518,2022-08-01
KRW-STEEM,2022-07-25T00:00:00,2022-07-25T09:00:00,319.0,350.0,302.0,339.0,1659311995309,76501844602.75204,236706715.33439136,2022-07-25
KRW-STEEM,2022-07-18T00:00:00,2022-07-18T09:00:00,305.0,374.0,302.0,318.0,1658707192343,103963067945.10365,313127329.5316062,2022-07-18
KRW-STEEM,2022-07-11T00:00:00,2022-07-11T09:00:00,310.0,318.0,281.0,306.0,1658102384292,47060516163.93161,156768172.24156067,2022-07-11
KRW-STEEM,2022-07-04T00:00:00,2022-07-04T09:00:00,282.0,444.0,277.0,309.0,1657497598689,235124159831.12994,699595810.1652976,2022-07-04
KRW-STEEM,2022-06-27T00:00:00,2022-06-27T09:00:00,291.0,352.0,263.0,283.0,1656892774990,120570460714.48178,398077867.81116766,2022-06-27
KRW-STEEM,2022-06-20T00:00:00,2022-06-20T09:00:00,271.0,310.0,255.0,290.0,1656287992130,69287121050.76315,243137076.9888163,2022-06-20
KRW-STEEM,2022-06-13T00:00:00,2022-06-13T09:00:00,289.0,300.0,228.0,271.0,1655683196411,88933542409.02362,341196734.97370285,2022-06-13
KRW-STEEM,2022-06-06T00:00:00,2022-06-06T09:00:00,398.0,418.0,283.0,289.0,1655078398305,137202554565.10034,387835161.53759515,2022-06-06
