market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,first_day_of_period
KRW-SUI,2023-10-09T00:00:00,2023-10-09T09:00:00,595.0,597.0,549.0,556.0,1697077651516,27038197032.802246,47749302.04742847,2023-10-09
KRW-SUI,2023-10-02T00:00:00,2023-10-02T09:00:00,685.0,686.0,580.0,595.0,1696809594865,89482916973.72755,145291202.72690696,2023-10-02
KRW-SUI,2023-09-25T00:00:00,2023-09-25T09:00:00,594.0,687.0,585.0,685.0,1696204799841,149302169466.3981,234626235.18443936,2023-09-25
KRW-SUI,2023-09-18T00:00:00,2023-09-18T09:00:00,586.0,639.0,575.0,594.0,1695599976482,100367578324.7457,165845450.8063784,2023-09-18
KRW-SUI,2023-09-11T00:00:00,2023-09-11T09:00:00,620.0,632.0,569.0,587.0,1694995192351,146367431736.6725,244240688.08287707,2023-09-11
KRW-SUI,2023-09-04T00:00:00,2023-09-04T09:00:00,659.0,677.0,610.0,621.0,1694390397148,83033286190.62631,127565028.33889113,2023-09-04
KRW-SUI,2023-08-28T00:00:00,2023-08-28T09:00:00,790.0,791.0,646.0,659.0,1693785589434,192974687883.8515,273403357.4133857,2023-08-28
KRW-SUI,2023-08-21T00:00:00,2023-08-21T09:00:00,746.0,848.0,683.0,790.0,1693180793963,410004088951.685,525038968.4057672,2023-08-21
KRW-SUI,2023-08-14T00:00:00,2023-08-14T09:00:00,798.0,807.0,630.0,746.0,1692575999915,228640835680.3828,308599731.4781492,2023-08-14
KRW-SUI,2023-08-07T00:00:00,2023-08-07T09:00:00,786.0,828.0,749.0,798.0,1691971186786,86893185767.10643,109280181.69616021,2023-08-07
KRW-SUI,2023-07-31T00:00:00,2023-07-31T09:00:00,809.0,843.0,768.0,785.0,1691366382911,109434667236.12581,136268905.51557705,2023-07-31
KRW-SUI,2023-07-24T00:00:00,2023-07-24T09:00:00,880.0,881.0,789.0,809.0,1690761594648,137178973783.08562,166083289.51866215,2023-07-24
KRW-SUI,2023-07-17T00:00:00,2023-07-17T09:00:00,867.0,1010.0,858.0,881.0,1690156785737,472486029822.15894,505624423.5419952,2023-07-17
KRW-SUI,2023-07-10T00:00:00,2023-07-10T09:00:00,870.0,973.0,838.0,867.0,1689551977550,230787981558.60568,261496579.98656595,2023-07-10
KRW-SUI,2023-07-03T00:00:00,2023-07-03T09:00:00,916.0,976.0,847.0,870.0,1688947189406,286030321155.93524,314961728.5057198,2023-07-03
KRW-SUI,2023-06-26T00:00:00,2023-06-26T09:00:00,987.0,1005.0,846.0,915.0,1688342394905,382511145383.71027,412142780.9907662,2023-06-26
KRW-SUI,2023-06-19T00:00:00,2023-06-19T09:00:00,942.0,1165.0,928.0,988.0,1687737593702,768284961759.2242,737106082.2470245,2023-06-19
KRW-SUI,2023-06-12T00:00:00,2023-06-12T09:00:00,822.0,1040.0,768.0,942.0,1687132798750,911781532414.2185,1000513187.5121806,2023-06-12
KRW-SUI,2023-06-05T00:00:00,2023-06-05T09:00:00,1275.0,1285.0,782.0,823.0,1686527999425,323923175839.13544,319308214.0194678,2023-06-05
KRW-SUI,2023-05-29T00:00:00,2023-05-29T09:00:00,1410.0,1465.0,1210.0,1275.0,1685923188779,354382328840.38666,266966100.55297658,2023-05-29
KRW-SUI,2023-05-22T00:00:00,2023-05-22T09:00:00,1445.0,1460.0,1265.0,1410.0,1685318398813,331659712297.87427,244591056.32558474,2023-05-22
KRW-SUI,2023-05-15T00:00:00,2023-05-15T09:00:00,1565.0,1690.0,1430.0,1445.0,1684713598764,582078544927.5146,369102010.7878322,2023-05-15
KRW-SUI,2023-05-08T00:00:00,2023-05-08T09:00:00,1665.0,1675.0,1365.0,1570.0,1684108799659,823316153298.9502,539285482.7244416,2023-05-08
KRW-SUI,2023-05-01T00:00:00,2023-05-01T09:00:00,1825.0,2070.0,1625.0,1675.0,1683503999930,777272075795.6514,426763639.01504475,2023-05-01
