market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,first_day_of_period
KRW-SXP,2023-10-09T00:00:00,2023-10-09T09:00:00,386.0,387.0,351.0,354.0,1697077288439,12343313456.081087,33520179.28205052,2023-10-09
KRW-SXP,2023-10-02T00:00:00,2023-10-02T09:00:00,403.0,409.0,363.0,387.0,1696809581479,47473987211.85735,121914859.41080526,2023-10-02
KRW-SXP,2023-09-25T00:00:00,2023-09-25T09:00:00,386.0,409.0,372.0,402.0,1696204792992,55589992211.01321,141866538.02993298,2023-09-25
KRW-SXP,2023-09-18T00:00:00,2023-09-18T09:00:00,364.0,435.0,353.0,387.0,1695599998287,119885477356.48228,305117124.44637555,2023-09-18
KRW-SXP,2023-09-11T00:00:00,2023-09-11T09:00:00,348.0,444.0,329.0,364.0,1694995189643,175803185466.81647,438071642.28387463,2023-09-11
KRW-SXP,2023-09-04T00:00:00,2023-09-04T09:00:00,337.0,381.0,330.0,348.0,1694390397650,31228047909.877575,86955600.6627269,2023-09-04
KRW-SXP,2023-08-28T00:00:00,2023-08-28T09:00:00,361.0,374.0,330.0,337.0,1693785596828,25539130104.59775,71880765.03216802,2023-08-28
KRW-SXP,2023-08-21T00:00:00,2023-08-21T09:00:00,369.0,374.0,341.0,360.0,1693180784451,22028363739.576626,60809171.58648142,2023-08-21
KRW-SXP,2023-08-14T00:00:00,2023-08-14T09:00:00,440.0,446.0,335.0,369.0,1692575999352,54113311102.30716,142176457.51616207,2023-08-14
KRW-SXP,2023-08-07T00:00:00,2023-08-07T09:00:00,434.0,449.0,418.0,440.0,1691971195965,16704108390.741194,38201001.70369891,2023-08-07
KRW-SXP,2023-07-31T00:00:00,2023-07-31T09:00:00,441.0,460.0,425.0,434.0,1691366385882,27334051628.993824,61980223.28030275,2023-07-31
KRW-SXP,2023-07-24T00:00:00,2023-07-24T09:00:00,476.0,477.0,430.0,442.0,1690761591939,29314952636.99551,65773515.83184097,2023-07-24
KRW-SXP,2023-07-17T00:00:00,2023-07-17T09:00:00,477.0,493.0,456.0,477.0,1690156799566,48393886260.949356,101755112.82968096,2023-07-17
KRW-SXP,2023-07-10T00:00:00,2023-07-10T09:00:00,498.0,500.0,466.0,477.0,1689551983371,80763115705.53899,167002929.13935575,2023-07-10
KRW-SXP,2023-07-03T00:00:00,2023-07-03T09:00:00,504.0,574.0,483.0,499.0,1688947197297,343500520602.7464,652597284.7539812,2023-07-03
KRW-SXP,2023-06-26T00:00:00,2023-06-26T09:00:00,508.0,542.0,438.0,505.0,1688342399503,222200935671.85223,446014706.15264666,2023-06-26
KRW-SXP,2023-06-19T00:00:00,2023-06-19T09:00:00,451.0,539.0,446.0,508.0,1687737599646,219698304146.2716,440153468.8605706,2023-06-19
KRW-SXP,2023-06-12T00:00:00,2023-06-12T09:00:00,423.0,476.0,398.0,452.0,1687132799673,163549184072.8767,377010928.6842948,2023-06-12
KRW-SXP,2023-06-05T00:00:00,2023-06-05T09:00:00,597.0,611.0,403.0,423.0,1686527992537,188474694244.92776,367875557.9351088,2023-06-05
KRW-SXP,2023-05-29T00:00:00,2023-05-29T09:00:00,551.0,634.0,532.0,597.0,1685923196566,291116287010.5971,500129856.0046442,2023-05-29
KRW-SXP,2023-05-22T00:00:00,2023-05-22T09:00:00,572.0,577.0,510.0,551.0,1685318397788,41844113382.288025,77270913.94321138,2023-05-22
KRW-SXP,2023-05-15T00:00:00,2023-05-15T09:00:00,586.0,617.0,560.0,573.0,1684713597660,100584655004.30415,172301181.75100976,2023-05-15
KRW-SXP,2023-05-08T00:00:00,2023-05-08T09:00:00,649.0,663.0,550.0,586.0,1684108787092,269868177359.2655,452808656.58650285,2023-05-08
KRW-SXP,2023-05-01T00:00:00,2023-05-01T09:00:00,719.0,774.0,645.0,650.0,1683503988179,193474638319.8055,271209414.86644655,2023-05-01
KRW-SXP,2023-04-24T00:00:00,2023-04-24T09:00:00,748.0,808.0,683.0,719.0,1682899196863,327697733269.14856,433511533.21422386,2023-04-24
KRW-SXP,2023-04-17T00:00:00,2023-04-17T09:00:00,857.0,876.0,680.0,748.0,1682294396202,556362202114.8032,721037748.951234,2023-04-17
KRW-SXP,2023-04-10T00:00:00,2023-04-10T09:00:00,819.0,928.0,746.0,857.0,1681689598743,961529037095.1802,1143574154.8471484,2023-04-10
KRW-SXP,2023-04-03T00:00:00,2023-04-03T09:00:00,946.0,1120.0,791.0,819.0,1681084795543,2199726238528.6313,2286414302.061492,2023-04-03
KRW-SXP,2023-03-27T00:00:00,2023-03-27T09:00:00,358.0,978.0,331.0,945.0,1680479999820,3800332422125.2725,5553792897.417192,2023-03-27
KRW-SXP,2023-03-20T00:00:00,2023-03-20T09:00:00,397.0,401.0,347.0,357.0,1679875041789,21062546976.388435,57016485.79172385,2023-03-20
KRW-SXP,2023-03-13T00:00:00,2023-03-13T09:00:00,336.0,399.0,328.0,396.0,1679270393582,31910061079.99406,87023954.08180168,2023-03-13
KRW-SXP,2023-03-06T00:00:00,2023-03-06T09:00:00,382.0,383.0,306.0,336.0,1678665572076,24965710314.74434,73326119.88626386,2023-03-06
KRW-SXP,2023-02-27T00:00:00,2023-02-27T09:00:00,442.0,448.0,377.0,383.0,1678060776923,36729648084.60451,88161469.74650596,2023-02-27
KRW-SXP,2023-02-20T00:00:00,2023-02-20T09:00:00,446.0,474.0,415.0,442.0,1677455966449,76473325500.99368,172743428.6735949,2023-02-20
KRW-SXP,2023-02-13T00:00:00,2023-02-13T09:00:00,444.0,515.0,409.0,447.0,1676851194508,207879780343.5447,468057220.30584884,2023-02-13
KRW-SXP,2023-02-06T00:00:00,2023-02-06T09:00:00,386.0,494.0,356.0,444.0,1676246399756,224319836228.0806,513357636.75824267,2023-02-06
KRW-SXP,2023-01-30T00:00:00,2023-01-30T09:00:00,374.0,415.0,336.0,387.0,1675641598163,56638226948.29169,150287394.0513187,2023-01-30
KRW-SXP,2023-01-23T00:00:00,2023-01-23T09:00:00,344.0,415.0,338.0,374.0,1675036798386,101936571270.97469,274764410.0687394,2023-01-23
KRW-SXP,2023-01-16T00:00:00,2023-01-16T09:00:00,328.0,352.0,309.0,345.0,1674431953093,71332427575.53502,214302121.91482776,2023-01-16
KRW-SXP,2023-01-09T00:00:00,2023-01-09T09:00:00,275.0,334.0,272.0,328.0,1673827193015,44167660401.1138,144780676.39494345,2023-01-09
KRW-SXP,2023-01-02T00:00:00,2023-01-02T09:00:00,257.0,276.0,253.0,275.0,1673222398557,8075394574.629859,30545948.18111749,2023-01-02
KRW-SXP,2022-12-26T00:00:00,2022-12-26T09:00:00,273.0,277.0,248.0,256.0,1672617577049,8119771127.607665,31084873.66716617,2022-12-26
KRW-SXP,2022-12-19T00:00:00,2022-12-19T09:00:00,286.0,292.0,259.0,273.0,1672012707938,21586954542.49077,77580878.65636224,2022-12-19
KRW-SXP,2022-12-12T00:00:00,2022-12-12T09:00:00,328.0,338.0,271.0,287.0,1671407979731,66902495128.048134,216026542.33191225,2022-12-12
KRW-SXP,2022-12-05T00:00:00,2022-12-05T09:00:00,335.0,340.0,316.0,328.0,1670803179241,12380862449.086477,37573877.8193691,2022-12-05
KRW-SXP,2022-11-28T00:00:00,2022-11-28T09:00:00,325.0,360.0,311.0,336.0,1670198334033,42438210309.053955,126558473.30456005,2022-11-28
KRW-SXP,2022-11-21T00:00:00,2022-11-21T09:00:00,315.0,340.0,292.0,325.0,1669593600092,26449013874.789787,83275795.41346385,2022-11-21
KRW-SXP,2022-11-14T00:00:00,2022-11-14T09:00:00,330.0,401.0,296.0,315.0,1668988784546,95642829933.27107,271131007.86569047,2022-11-14
KRW-SXP,2022-11-07T00:00:00,2022-11-07T09:00:00,458.0,467.0,280.0,330.0,1668383999870,55349789018.25723,161353661.41312537,2022-11-07
KRW-SXP,2022-10-31T00:00:00,2022-10-31T09:00:00,461.0,491.0,446.0,458.0,1667779199244,25041269171.885513,53473165.50105728,2022-10-31
KRW-SXP,2022-10-24T00:00:00,2022-10-24T09:00:00,456.0,478.0,444.0,462.0,1667174392489,21746910979.60648,47197301.97014721,2022-10-24
KRW-SXP,2022-10-17T00:00:00,2022-10-17T09:00:00,453.0,463.0,426.0,456.0,1666569563787,14679803860.692703,32771669.55641441,2022-10-17
