market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,first_day_of_period
KRW-TFUEL,2023-10-09T00:00:00,2023-10-09T09:00:00,45.7,48.1,42.0,42.5,1697076813029,13008904785.448606,286326430.4677046,2023-10-09
KRW-TFUEL,2023-10-02T00:00:00,2023-10-02T09:00:00,47.4,47.4,43.8,45.7,1696809582200,10535501169.123152,232290934.83132058,2023-10-02
KRW-TFUEL,2023-09-25T00:00:00,2023-09-25T09:00:00,44.7,48.1,44.0,47.4,1696204790792,24049195604.318077,523811376.6222739,2023-09-25
KRW-TFUEL,2023-09-18T00:00:00,2023-09-18T09:00:00,44.7,51.9,43.8,44.7,1695599969722,74440192869.1325,1587063806.135699,2023-09-18
KRW-TFUEL,2023-09-11T00:00:00,2023-09-11T09:00:00,42.1,46.9,40.4,44.4,1694995171767,16352112601.998814,375070266.78437096,2023-09-11
KRW-TFUEL,2023-09-04T00:00:00,2023-09-04T09:00:00,42.4,44.1,41.6,42.1,1694390387092,4164208766.5423007,97197339.2636861,2023-09-04
KRW-TFUEL,2023-08-28T00:00:00,2023-08-28T09:00:00,45.1,46.0,41.7,42.5,1693785556977,7898758057.067602,179634323.86533055,2023-08-28
KRW-TFUEL,2023-08-21T00:00:00,2023-08-21T09:00:00,47.2,48.0,44.5,45.1,1693180793569,8405943293.35555,183666305.41003537,2023-08-21
KRW-TFUEL,2023-08-14T00:00:00,2023-08-14T09:00:00,52.9,53.5,43.4,47.2,1692575990506,14918109978.979609,307340434.4938199,2023-08-14
KRW-TFUEL,2023-08-07T00:00:00,2023-08-07T09:00:00,54.0,54.3,51.6,52.9,1691971168311,10582302612.649443,199497088.25931904,2023-08-07
KRW-TFUEL,2023-07-31T00:00:00,2023-07-31T09:00:00,55.4,57.1,53.6,53.9,1691366392468,32623046144.091286,589043136.1670936,2023-07-31
KRW-TFUEL,2023-07-24T00:00:00,2023-07-24T09:00:00,55.7,61.3,51.3,55.4,1690761598404,90529646128.34662,1599517160.3104913,2023-07-24
KRW-TFUEL,2023-07-17T00:00:00,2023-07-17T09:00:00,51.7,58.5,49.6,55.7,1690156790252,91898819744.13966,1676916462.6913702,2023-07-17
KRW-TFUEL,2023-07-10T00:00:00,2023-07-10T09:00:00,48.5,58.3,47.2,51.8,1689551994576,96776940539.78917,1804167568.820781,2023-07-10
KRW-TFUEL,2023-07-03T00:00:00,2023-07-03T09:00:00,50.7,52.5,47.7,48.5,1688947160017,15436172902.828194,308094475.0264705,2023-07-03
KRW-TFUEL,2023-06-26T00:00:00,2023-06-26T09:00:00,50.8,51.9,42.1,50.7,1688342392639,14660181655.758297,300433005.2899595,2023-06-26
KRW-TFUEL,2023-06-19T00:00:00,2023-06-19T09:00:00,42.5,58.9,42.2,50.8,1687737570545,35786808282.71135,699206846.505042,2023-06-19
KRW-TFUEL,2023-06-12T00:00:00,2023-06-12T09:00:00,44.2,44.9,39.4,42.5,1687132769111,8393752496.205218,198057000.5574313,2023-06-12
KRW-TFUEL,2023-06-05T00:00:00,2023-06-05T09:00:00,55.6,55.7,41.7,44.2,1686527927049,11345561972.192802,233987607.39679205,2023-06-05
KRW-TFUEL,2023-05-29T00:00:00,2023-05-29T09:00:00,56.1,58.2,54.0,55.6,1685923154718,17223762762.044674,309145581.70878667,2023-05-29
KRW-TFUEL,2023-05-22T00:00:00,2023-05-22T09:00:00,57.2,58.3,53.6,56.1,1685318392468,9562694096.22038,171338257.21302953,2023-05-22
KRW-TFUEL,2023-05-15T00:00:00,2023-05-15T09:00:00,58.9,61.4,56.9,57.2,1684713541081,15889449937.761446,266679479.7945474,2023-05-15
KRW-TFUEL,2023-05-08T00:00:00,2023-05-08T09:00:00,63.4,63.5,56.0,58.9,1684108782228,24954715253.66603,414221197.01928157,2023-05-08
KRW-TFUEL,2023-05-01T00:00:00,2023-05-01T09:00:00,67.6,70.0,63.3,63.4,1683503978634,60733167255.92468,912636862.1304857,2023-05-01
KRW-TFUEL,2023-04-24T00:00:00,2023-04-24T09:00:00,68.4,69.8,63.1,67.6,1682899193458,33632281591.626625,497930917.31223243,2023-04-24
KRW-TFUEL,2023-04-17T00:00:00,2023-04-17T09:00:00,73.6,75.8,67.5,68.5,1682294395966,29401707181.66122,409763644.46450835,2023-04-17
KRW-TFUEL,2023-04-10T00:00:00,2023-04-10T09:00:00,72.2,74.8,71.1,73.7,1681689593159,36273580792.244514,496906218.25273997,2023-04-10
KRW-TFUEL,2023-04-03T00:00:00,2023-04-03T09:00:00,71.6,81.5,69.6,72.1,1681084767872,190657840820.7964,2516390373.870141,2023-04-03
KRW-TFUEL,2023-03-27T00:00:00,2023-03-27T09:00:00,69.8,77.2,63.9,71.6,1680479973974,67942443675.35376,959984337.473911,2023-03-27
KRW-TFUEL,2023-03-20T00:00:00,2023-03-20T09:00:00,76.3,76.3,67.8,69.7,1679875190704,30817210320.488888,431682690.9250442,2023-03-20
KRW-TFUEL,2023-03-13T00:00:00,2023-03-13T09:00:00,66.1,78.7,63.5,76.2,1679270399779,125307124130.70921,1695540330.5508947,2023-03-13
KRW-TFUEL,2023-03-06T00:00:00,2023-03-06T09:00:00,70.4,72.0,59.6,66.2,1678665599557,73539104545.16972,1094102454.3808727,2023-03-06
KRW-TFUEL,2023-02-27T00:00:00,2023-02-27T09:00:00,83.5,84.5,68.9,70.3,1678060788940,75351504176.75925,965565079.3024085,2023-02-27
KRW-TFUEL,2023-02-20T00:00:00,2023-02-20T09:00:00,76.9,92.0,72.7,83.5,1677455994694,401163046555.1299,4823632287.260692,2023-02-20
KRW-TFUEL,2023-02-13T00:00:00,2023-02-13T09:00:00,67.8,79.8,61.8,76.8,1676851199010,201666461076.8911,2699812699.2326574,2023-02-13
KRW-TFUEL,2023-02-06T00:00:00,2023-02-06T09:00:00,73.4,75.9,66.4,67.8,1676246392971,69300038233.86545,973430801.8009862,2023-02-06
KRW-TFUEL,2023-01-30T00:00:00,2023-01-30T09:00:00,71.2,83.3,64.0,73.4,1675641599504,394728670980.14233,5328023407.257641,2023-01-30
KRW-TFUEL,2023-01-23T00:00:00,2023-01-23T09:00:00,58.5,101.0,54.7,71.3,1675036799172,616931167344.323,8288515544.085177,2023-01-23
KRW-TFUEL,2023-01-16T00:00:00,2023-01-16T09:00:00,53.9,63.7,50.6,58.5,1674431995720,217870096434.88052,3764386380.771525,2023-01-16
KRW-TFUEL,2023-01-09T00:00:00,2023-01-09T09:00:00,43.1,55.9,43.0,53.9,1673827195954,88710984798.52196,1769923886.058127,2023-01-09
KRW-TFUEL,2023-01-02T00:00:00,2023-01-02T09:00:00,40.3,43.8,39.7,43.1,1673222398175,8973834498.231644,215474790.09648865,2023-01-02
KRW-TFUEL,2022-12-26T00:00:00,2022-12-26T09:00:00,46.6,46.7,38.6,40.3,1672617595398,9596490302.506186,229677628.2613985,2022-12-26
