market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,first_day_of_period
KRW-THETA,2023-10-09T00:00:00,2023-10-09T09:00:00,838.0,843.0,788.0,808.0,1697076731874,3780506922.4655943,4657921.25589525,2023-10-09
KRW-THETA,2023-10-02T00:00:00,2023-10-02T09:00:00,904.0,910.0,820.0,837.0,1696809397432,7606182882.429034,8913003.84116446,2023-10-02
KRW-THETA,2023-09-25T00:00:00,2023-09-25T09:00:00,844.0,910.0,835.0,904.0,1696204793414,16983356640.27433,19544611.72006757,2023-09-25
KRW-THETA,2023-09-18T00:00:00,2023-09-18T09:00:00,808.0,1040.0,786.0,844.0,1695599990451,70036856790.7868,78481594.96364142,2023-09-18
KRW-THETA,2023-09-11T00:00:00,2023-09-11T09:00:00,824.0,844.0,781.0,806.0,1694995173810,5405319061.222117,6663557.3148175,2023-09-11
KRW-THETA,2023-09-04T00:00:00,2023-09-04T09:00:00,831.0,869.0,811.0,824.0,1694390394419,2676951381.9683285,3176708.41547494,2023-09-04
KRW-THETA,2023-08-28T00:00:00,2023-08-28T09:00:00,831.0,972.0,802.0,830.0,1693785311137,15940649960.083694,18279274.44480037,2023-08-28
KRW-THETA,2023-08-21T00:00:00,2023-08-21T09:00:00,858.0,881.0,821.0,828.0,1693180793943,3751508967.6971803,4422037.13825292,2023-08-21
KRW-THETA,2023-08-14T00:00:00,2023-08-14T09:00:00,984.0,1025.0,828.0,859.0,1692575429015,8791906586.223305,9556899.20577416,2023-08-14
KRW-THETA,2023-08-07T00:00:00,2023-08-07T09:00:00,960.0,1010.0,928.0,984.0,1691971193897,6924797490.990726,7129778.58704804,2023-08-07
KRW-THETA,2023-07-31T00:00:00,2023-07-31T09:00:00,1040.0,1055.0,956.0,960.0,1691366367720,8754490170.913616,8747164.42782715,2023-07-31
KRW-THETA,2023-07-24T00:00:00,2023-07-24T09:00:00,1070.0,1120.0,1000.0,1040.0,1690761595974,26266316670.84015,24710752.73497785,2023-07-24
KRW-THETA,2023-07-17T00:00:00,2023-07-17T09:00:00,990.0,1085.0,962.0,1065.0,1690156795569,15666141267.123901,15184502.05576003,2023-07-17
KRW-THETA,2023-07-10T00:00:00,2023-07-10T09:00:00,951.0,1085.0,919.0,990.0,1689551999444,13548830141.569204,13361039.79481385,2023-07-10
