market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,first_day_of_period
KRW-UPP,2023-10-09T00:00:00,2023-10-09T09:00:00,87.1,89.0,77.6,80.2,1697076762850,9879787580.32568,119174452.12251437,2023-10-09
KRW-UPP,2023-10-02T00:00:00,2023-10-02T09:00:00,85.4,88.9,81.5,87.1,1696809564985,21915570189.227226,257301846.69640195,2023-10-02
KRW-UPP,2023-09-25T00:00:00,2023-09-25T09:00:00,82.8,90.5,78.3,85.4,1696204775708,29398816643.97397,347539401.6517389,2023-09-25
KRW-UPP,2023-09-18T00:00:00,2023-09-18T09:00:00,77.1,95.0,74.1,82.8,1695599999994,79184895348.14528,926152677.0349259,2023-09-18
KRW-UPP,2023-09-11T00:00:00,2023-09-11T09:00:00,73.6,84.4,69.7,77.3,1694995188035,25145816730.615486,329035730.79572904,2023-09-11
KRW-UPP,2023-09-04T00:00:00,2023-09-04T09:00:00,74.8,79.5,70.8,73.7,1694390398894,24946349012.1864,327420275.23125046,2023-09-04
KRW-UPP,2023-08-28T00:00:00,2023-08-28T09:00:00,78.6,78.6,70.4,74.9,1693785595782,9922795911.216135,131943124.62731764,2023-08-28
KRW-UPP,2023-08-21T00:00:00,2023-08-21T09:00:00,79.4,85.3,76.4,78.6,1693180746502,44280412274.52117,544013537.1693401,2023-08-21
KRW-UPP,2023-08-14T00:00:00,2023-08-14T09:00:00,94.7,95.2,72.1,79.4,1692575962673,41287377246.50541,495848306.05146825,2023-08-14
KRW-UPP,2023-08-07T00:00:00,2023-08-07T09:00:00,91.1,103.0,85.1,94.7,1691971189411,263799031169.80978,2771886220.8585906,2023-08-07
KRW-UPP,2023-07-31T00:00:00,2023-07-31T09:00:00,78.0,103.0,75.3,91.1,1691366399988,373576138598.4086,4113849027.4150176,2023-07-31
KRW-UPP,2023-07-24T00:00:00,2023-07-24T09:00:00,74.9,91.8,70.0,77.9,1690761593926,196382090370.65997,2445311653.728346,2023-07-24
KRW-UPP,2023-07-17T00:00:00,2023-07-17T09:00:00,74.9,77.0,70.3,74.9,1690156758024,12683438801.397093,172928287.06999192,2023-07-17
KRW-UPP,2023-07-10T00:00:00,2023-07-10T09:00:00,79.5,83.0,68.6,74.8,1689551988805,97795430423.3887,1280166051.67524,2023-07-10
KRW-UPP,2023-07-03T00:00:00,2023-07-03T09:00:00,70.0,93.1,68.7,79.5,1688947200031,145109626036.59518,1776716546.3392925,2023-07-03
KRW-UPP,2023-06-26T00:00:00,2023-06-26T09:00:00,70.0,77.4,66.1,70.0,1688342309274,12447412333.880966,174762335.45861757,2023-06-26
KRW-UPP,2023-06-19T00:00:00,2023-06-19T09:00:00,61.1,76.6,60.5,70.0,1687737580141,9688665207.813925,140278553.83417168,2023-06-19
KRW-UPP,2023-06-12T00:00:00,2023-06-12T09:00:00,61.8,63.9,56.6,61.0,1687132759522,5702198495.967743,93872000.28539044,2023-06-12
