market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,first_day_of_period
KRW-VET,2023-10-09T00:00:00,2023-10-09T09:00:00,23.3,23.3,21.9,22.4,1697077009830,5584681712.188808,247901983.4597525,2023-10-09
KRW-VET,2023-10-02T00:00:00,2023-10-02T09:00:00,23.7,24.1,22.2,23.3,1696809565316,11059191002.428257,479010645.5924789,2023-10-02
KRW-VET,2023-09-25T00:00:00,2023-09-25T09:00:00,22.4,23.9,22.2,23.6,1696204788064,9630697571.8023,419627805.06038,2023-09-25
KRW-VET,2023-09-18T00:00:00,2023-09-18T09:00:00,23.0,24.3,22.1,22.3,1695599992772,9325636136.672956,400108227.72894275,2023-09-18
KRW-VET,2023-09-11T00:00:00,2023-09-11T09:00:00,20.7,24.9,20.0,23.0,1694995166310,39277601501.52778,1771894605.636913,2023-09-11
KRW-VET,2023-09-04T00:00:00,2023-09-04T09:00:00,21.1,21.5,20.6,20.7,1694390355342,6324943613.036321,299397110.4726206,2023-09-04
KRW-VET,2023-08-28T00:00:00,2023-08-28T09:00:00,21.6,22.7,20.9,21.0,1693785563723,9857993626.107035,455536673.1071857,2023-08-28
KRW-VET,2023-08-21T00:00:00,2023-08-21T09:00:00,22.4,22.6,21.3,21.7,1693180787890,8597593134.29537,394595758.8747292,2023-08-21
KRW-VET,2023-08-14T00:00:00,2023-08-14T09:00:00,24.2,25.1,21.0,22.4,1692575824501,17352405467.923134,756120792.9386946,2023-08-14
KRW-VET,2023-08-07T00:00:00,2023-08-07T09:00:00,23.6,24.5,22.9,24.2,1691971194705,10319342259.654352,434424511.9601779,2023-08-07
KRW-VET,2023-07-31T00:00:00,2023-07-31T09:00:00,24.2,24.8,23.4,23.5,1691366399981,15380892329.20531,642152220.6647688,2023-07-31
KRW-VET,2023-07-24T00:00:00,2023-07-24T09:00:00,25.4,25.5,23.7,24.2,1690761562522,21208504083.704037,875265421.7154953,2023-07-24
KRW-VET,2023-07-17T00:00:00,2023-07-17T09:00:00,25.0,25.8,24.2,25.4,1690156783001,26111744438.73168,1044079484.6998444,2023-07-17
