market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,first_day_of_period
KRW-XEM,2023-10-09T00:00:00,2023-10-09T09:00:00,34.8,35.2,33.3,33.3,1697076377020,4022159794.469303,118006086.6332488,2023-10-09
KRW-XEM,2023-10-02T00:00:00,2023-10-02T09:00:00,36.7,40.8,33.4,34.9,1696809541804,62561788497.02563,1692234883.0052922,2023-10-02
KRW-XEM,2023-09-25T00:00:00,2023-09-25T09:00:00,35.4,38.6,32.5,36.8,1696204789789,11367277562.321749,321248348.56175846,2023-09-25
KRW-XEM,2023-09-18T00:00:00,2023-09-18T09:00:00,33.8,35.9,33.4,35.5,1695599960106,5189330156.28765,149245806.76849383,2023-09-18
KRW-XEM,2023-09-11T00:00:00,2023-09-11T09:00:00,33.2,35.8,31.7,33.9,1694995164461,4129032387.5861545,122605636.80928743,2023-09-11
KRW-XEM,2023-09-04T00:00:00,2023-09-04T09:00:00,33.2,34.6,32.4,33.4,1694390259991,3280925707.3093605,98458026.3933479,2023-09-04
KRW-XEM,2023-08-28T00:00:00,2023-08-28T09:00:00,34.0,35.2,32.5,33.2,1693785578594,4264713917.170828,126504393.19222794,2023-08-28
KRW-XEM,2023-08-21T00:00:00,2023-08-21T09:00:00,34.8,35.2,32.2,34.0,1693180760633,4263323971.3474565,125207082.46903816,2023-08-21
KRW-XEM,2023-08-14T00:00:00,2023-08-14T09:00:00,39.5,39.6,31.5,34.8,1692575996346,11376301859.58115,313022924.77844834,2023-08-14
KRW-XEM,2023-08-07T00:00:00,2023-08-07T09:00:00,39.9,43.0,38.6,39.6,1691971178673,31271082753.739227,775488174.8110559,2023-08-07
KRW-XEM,2023-07-31T00:00:00,2023-07-31T09:00:00,38.7,40.7,37.7,39.9,1691366388633,14119993986.445711,358375339.4650434,2023-07-31
KRW-XEM,2023-07-24T00:00:00,2023-07-24T09:00:00,39.5,40.0,36.8,38.8,1690761550935,13932100203.178469,362455651.6589443,2023-07-24
KRW-XEM,2023-07-17T00:00:00,2023-07-17T09:00:00,38.5,39.9,37.1,39.5,1690156750395,13679465157.528826,354778186.74530846,2023-07-17
KRW-XEM,2023-07-10T00:00:00,2023-07-10T09:00:00,36.4,49.7,35.5,38.6,1689551975770,228710708702.43784,5297786731.159305,2023-07-10
KRW-XEM,2023-07-03T00:00:00,2023-07-03T09:00:00,39.2,41.7,36.0,36.5,1688947070097,8920827741.925375,232963570.4961811,2023-07-03
KRW-XEM,2023-06-26T00:00:00,2023-06-26T09:00:00,39.4,43.8,35.2,39.2,1688342396594,23160185559.93249,582750432.4354244,2023-06-26
KRW-XEM,2023-06-19T00:00:00,2023-06-19T09:00:00,33.6,40.8,33.0,39.3,1687737545708,11455192067.250763,306095427.6246399,2023-06-19
KRW-XEM,2023-06-12T00:00:00,2023-06-12T09:00:00,34.6,35.8,32.9,33.5,1687132751719,4363621681.486633,126718365.21887608,2023-06-12
KRW-XEM,2023-06-05T00:00:00,2023-06-05T09:00:00,43.9,43.9,28.4,34.6,1686527981415,13023262054.782448,345892618.9658982,2023-06-05
KRW-XEM,2023-05-29T00:00:00,2023-05-29T09:00:00,43.8,45.1,41.5,43.8,1685923152292,2931622875.059384,66684718.73149511,2023-05-29
KRW-XEM,2023-05-22T00:00:00,2023-05-22T09:00:00,43.4,44.1,41.1,43.7,1685318391543,3296264985.356218,77438409.96126753,2023-05-22
KRW-XEM,2023-05-15T00:00:00,2023-05-15T09:00:00,44.5,45.9,43.3,43.5,1684713503650,4634115491.174019,103916499.96030577,2023-05-15
KRW-XEM,2023-05-08T00:00:00,2023-05-08T09:00:00,47.2,47.4,42.6,44.4,1684108531820,7360461047.132543,165984129.48986542,2023-05-08
KRW-XEM,2023-05-01T00:00:00,2023-05-01T09:00:00,48.7,50.4,46.5,47.0,1683503926426,11571396883.84325,239572164.4631403,2023-05-01
KRW-XEM,2023-04-24T00:00:00,2023-04-24T09:00:00,49.5,51.1,47.2,48.7,1682899189955,13229947989.101957,268192347.1609682,2023-04-24
KRW-XEM,2023-04-17T00:00:00,2023-04-17T09:00:00,55.8,56.3,48.5,49.5,1682294396728,19635749060.09925,378982743.88897777,2023-04-17
KRW-XEM,2023-04-10T00:00:00,2023-04-10T09:00:00,53.4,56.3,51.8,55.9,1681689559066,18551182123.552227,343955915.1139108,2023-04-10
KRW-XEM,2023-04-03T00:00:00,2023-04-03T09:00:00,52.6,59.4,50.0,53.4,1681084798002,47353945834.48207,863303225.7283074,2023-04-03
KRW-XEM,2023-03-27T00:00:00,2023-03-27T09:00:00,52.2,56.7,48.0,52.7,1680479993121,34675344918.84964,652583953.2316859,2023-03-27
KRW-XEM,2023-03-20T00:00:00,2023-03-20T09:00:00,55.0,55.2,49.3,52.2,1679875180874,31775167655.07393,605159081.3454361,2023-03-20
KRW-XEM,2023-03-13T00:00:00,2023-03-13T09:00:00,48.1,57.0,46.3,55.0,1679270333984,67584176175.68669,1291017637.5568283,2023-03-13
KRW-XEM,2023-03-06T00:00:00,2023-03-06T09:00:00,54.1,56.7,43.1,48.0,1678665579529,50595950666.243065,992247700.4655749,2023-03-06
KRW-XEM,2023-02-27T00:00:00,2023-02-27T09:00:00,54.9,82.6,53.5,54.2,1678060793126,688832502113.2257,9674705887.534033,2023-02-27
KRW-XEM,2023-02-20T00:00:00,2023-02-20T09:00:00,53.6,69.6,52.3,54.8,1677455879834,59658078934.91494,1021031545.6646923,2023-02-20
KRW-XEM,2023-02-13T00:00:00,2023-02-13T09:00:00,49.4,55.1,46.1,53.6,1676851158939,29192806509.769356,564634114.7177882,2023-02-13
KRW-XEM,2023-02-06T00:00:00,2023-02-06T09:00:00,51.8,56.0,48.2,49.3,1676246399508,44728459675.326416,856247298.1151618,2023-02-06
