market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,first_day_of_period
KRW-XLM,2023-10-09T00:00:00,2023-10-09T09:00:00,150.0,151.0,139.0,139.0,1697076379425,12157964555.924154,84647697.17919026,2023-10-09
KRW-XLM,2023-10-02T00:00:00,2023-10-02T09:00:00,155.0,162.0,149.0,150.0,1696809584891,45410693106.76423,295573641.60540974,2023-10-02
KRW-XLM,2023-09-25T00:00:00,2023-09-25T09:00:00,152.0,164.0,149.0,155.0,1696204788697,45235270178.94214,291425472.242218,2023-09-25
KRW-XLM,2023-09-18T00:00:00,2023-09-18T09:00:00,157.0,161.0,151.0,152.0,1695599999630,39032047839.623116,248849679.00542855,2023-09-18
KRW-XLM,2023-09-11T00:00:00,2023-09-11T09:00:00,182.0,183.0,155.0,157.0,1694995184185,104034932968.06056,620193561.5108877,2023-09-11
KRW-XLM,2023-09-04T00:00:00,2023-09-04T09:00:00,162.0,184.0,160.0,182.0,1694390389939,112285510879.25719,656839484.7461685,2023-09-04
KRW-XLM,2023-08-28T00:00:00,2023-08-28T09:00:00,163.0,175.0,152.0,161.0,1693785599311,42679208110.427,264069115.91094914,2023-08-28
KRW-XLM,2023-08-21T00:00:00,2023-08-21T09:00:00,178.0,179.0,161.0,164.0,1693180736178,45781196049.35298,271291989.22215134,2023-08-21
KRW-XLM,2023-08-14T00:00:00,2023-08-14T09:00:00,184.0,185.0,151.0,178.0,1692575996887,69156356315.27655,404335373.0667119,2023-08-14
KRW-XLM,2023-08-07T00:00:00,2023-08-07T09:00:00,185.0,195.0,182.0,184.0,1691971154734,48583511396.410225,259546024.2196288,2023-08-07
KRW-XLM,2023-07-31T00:00:00,2023-07-31T09:00:00,202.0,205.0,176.0,185.0,1691366256242,85652569441.96458,450583176.4985597,2023-07-31
KRW-XLM,2023-07-24T00:00:00,2023-07-24T09:00:00,202.0,223.0,181.0,202.0,1690761593887,267327402431.06345,1325609773.8588254,2023-07-24
KRW-XLM,2023-07-17T00:00:00,2023-07-17T09:00:00,170.0,232.0,160.0,202.0,1690156797215,625734071796.2681,3071305209.713323,2023-07-17
KRW-XLM,2023-07-10T00:00:00,2023-07-10T09:00:00,130.0,238.0,124.0,170.0,1689551996617,433090586249.5701,2377665320.9828167,2023-07-10
KRW-XLM,2023-07-03T00:00:00,2023-07-03T09:00:00,142.0,146.0,126.0,130.0,1688946986746,21237927433.98987,158605950.61444002,2023-07-03
KRW-XLM,2023-06-26T00:00:00,2023-06-26T09:00:00,121.0,157.0,119.0,142.0,1688342277034,86818124031.64735,622528074.7690145,2023-06-26
KRW-XLM,2023-06-19T00:00:00,2023-06-19T09:00:00,105.0,123.0,103.0,121.0,1687737581679,15157489937.945408,133042897.6085644,2023-06-19
KRW-XLM,2023-06-12T00:00:00,2023-06-12T09:00:00,111.0,113.0,98.4,105.0,1687132766529,17544867466.565475,167721462.32829157,2023-06-12
KRW-XLM,2023-06-05T00:00:00,2023-06-05T09:00:00,121.0,122.0,104.0,111.0,1686527920676,15038020593.518242,131902289.58627756,2023-06-05
KRW-XLM,2023-05-29T00:00:00,2023-05-29T09:00:00,119.0,125.0,117.0,121.0,1685923194141,17669198538.619595,145777060.46164355,2023-05-29
KRW-XLM,2023-05-22T00:00:00,2023-05-22T09:00:00,118.0,119.0,115.0,119.0,1685318378289,8536290318.844697,72654528.20694324,2023-05-22
KRW-XLM,2023-05-15T00:00:00,2023-05-15T09:00:00,120.0,121.0,117.0,119.0,1684713314842,10518128250.192822,88104125.17687178,2023-05-15
KRW-XLM,2023-05-08T00:00:00,2023-05-08T09:00:00,123.0,124.0,118.0,120.0,1684108719571,11231401933.267403,93617117.08102804,2023-05-08
KRW-XLM,2023-05-01T00:00:00,2023-05-01T09:00:00,127.0,127.0,122.0,123.0,1683503961453,6664455425.494564,53576738.5722874,2023-05-01
KRW-XLM,2023-04-24T00:00:00,2023-04-24T09:00:00,127.0,129.0,122.0,127.0,1682899191117,12124181862.433233,96234646.53928763,2023-04-24
KRW-XLM,2023-04-17T00:00:00,2023-04-17T09:00:00,140.0,141.0,122.0,127.0,1682294394576,15479654776.085543,118974119.6411416,2023-04-17
KRW-XLM,2023-04-10T00:00:00,2023-04-10T09:00:00,139.0,143.0,135.0,141.0,1681689560935,15077483171.29453,108587477.75079322,2023-04-10
KRW-XLM,2023-04-03T00:00:00,2023-04-03T09:00:00,142.0,147.0,136.0,139.0,1681084798149,22166286983.332085,157746856.47825506,2023-04-03
KRW-XLM,2023-03-27T00:00:00,2023-03-27T09:00:00,122.0,152.0,120.0,142.0,1680479988877,90137779720.2631,662345466.9071687,2023-03-27
KRW-XLM,2023-03-20T00:00:00,2023-03-20T09:00:00,116.0,132.0,113.0,121.0,1679875195525,65528695248.445885,538982606.852704,2023-03-20
KRW-XLM,2023-03-13T00:00:00,2023-03-13T09:00:00,109.0,118.0,106.0,116.0,1679270370159,31476407605.08183,277546299.1068045,2023-03-13
KRW-XLM,2023-03-06T00:00:00,2023-03-06T09:00:00,110.0,114.0,101.0,109.0,1678665599068,32415387501.93344,300814920.7405052,2023-03-06
KRW-XLM,2023-02-27T00:00:00,2023-02-27T09:00:00,118.0,119.0,110.0,111.0,1678060759296,21676935930.26347,188832226.91505066,2023-02-27
KRW-XLM,2023-02-20T00:00:00,2023-02-20T09:00:00,118.0,127.0,115.0,118.0,1677455999139,54848731011.86208,456016353.2010231,2023-02-20
KRW-XLM,2023-02-13T00:00:00,2023-02-13T09:00:00,110.0,121.0,106.0,118.0,1676851194992,46156618260.732185,402585995.7473417,2023-02-13
KRW-XLM,2023-02-06T00:00:00,2023-02-06T09:00:00,115.0,118.0,108.0,111.0,1676246399925,30597222950.67659,268058515.63956916,2023-02-06
KRW-XLM,2023-01-30T00:00:00,2023-01-30T09:00:00,118.0,119.0,110.0,115.0,1675641595556,33437307818.38718,289159780.1501197,2023-01-30
KRW-XLM,2023-01-23T00:00:00,2023-01-23T09:00:00,113.0,120.0,111.0,119.0,1675036793114,34422131527.909195,296183870.73368937,2023-01-23
KRW-XLM,2023-01-16T00:00:00,2023-01-16T09:00:00,110.0,117.0,102.0,113.0,1674431992912,34295857288.02768,314529303.2913245,2023-01-16
KRW-XLM,2023-01-09T00:00:00,2023-01-09T09:00:00,97.8,112.0,97.7,110.0,1673827193119,33940216239.324284,327453288.37272125,2023-01-09
KRW-XLM,2023-01-02T00:00:00,2023-01-02T09:00:00,92.1,98.1,90.1,97.7,1673222397149,10372887474.41427,110105991.79723386,2023-01-02
KRW-XLM,2022-12-26T00:00:00,2022-12-26T09:00:00,96.0,96.8,89.4,92.1,1672617554881,10735871943.296991,115417209.68364549,2022-12-26
KRW-XLM,2022-12-19T00:00:00,2022-12-19T09:00:00,101.0,102.0,94.8,96.0,1672012700070,9940729045.581717,101459855.4781974,2022-12-19
KRW-XLM,2022-12-12T00:00:00,2022-12-12T09:00:00,111.0,113.0,95.9,101.0,1671407845943,16564287132.436296,156282216.62809265,2022-12-12
KRW-XLM,2022-12-05T00:00:00,2022-12-05T09:00:00,118.0,119.0,111.0,112.0,1670803185696,9066093268.378952,79154917.47667783,2022-12-05
KRW-XLM,2022-11-28T00:00:00,2022-11-28T09:00:00,124.0,125.0,116.0,118.0,1670198393078,15385271659.424463,128520077.88596089,2022-11-28
KRW-XLM,2022-11-21T00:00:00,2022-11-21T09:00:00,120.0,126.0,116.0,125.0,1669593594996,21361012940.00941,175211900.68968752,2022-11-21
KRW-XLM,2022-11-14T00:00:00,2022-11-14T09:00:00,121.0,129.0,113.0,121.0,1668988782386,20340213332.725872,165647302.8040133,2022-11-14
KRW-XLM,2022-11-07T00:00:00,2022-11-07T09:00:00,154.0,156.0,116.0,120.0,1668383976916,36774814214.16065,268734054.8182522,2022-11-07
KRW-XLM,2022-10-31T00:00:00,2022-10-31T09:00:00,156.0,163.0,151.0,154.0,1667779198161,35274537337.65819,224155794.5061547,2022-10-31
KRW-XLM,2022-10-24T00:00:00,2022-10-24T09:00:00,161.0,162.0,154.0,156.0,1667174398990,30420448787.935566,191762431.12606585,2022-10-24
KRW-XLM,2022-10-17T00:00:00,2022-10-17T09:00:00,162.0,165.0,155.0,161.0,1666569592197,18654849419.647823,116308920.09765548,2022-10-17
KRW-XLM,2022-10-10T00:00:00,2022-10-10T09:00:00,183.0,184.0,154.0,162.0,1665964786281,45202010295.07059,268928533.3881892,2022-10-10
KRW-XLM,2022-10-03T00:00:00,2022-10-03T09:00:00,172.0,185.0,165.0,184.0,1665359975682,44299690265.524734,256862053.60618547,2022-10-03
KRW-XLM,2022-09-26T00:00:00,2022-09-26T09:00:00,168.0,178.0,154.0,172.0,1664755195874,57474094736.459045,346606450.770505,2022-09-26
KRW-XLM,2022-09-19T00:00:00,2022-09-19T09:00:00,151.0,190.0,147.0,168.0,1664150384177,105432799222.35309,618277190.0025002,2022-09-19
KRW-XLM,2022-09-12T00:00:00,2022-09-12T09:00:00,157.0,162.0,143.0,151.0,1663545598159,32369290605.45535,211311631.1440467,2022-09-12
KRW-XLM,2022-09-05T00:00:00,2022-09-05T09:00:00,146.0,161.0,139.0,157.0,1662940741046,21446562154.193237,144633604.8096534,2022-09-05
KRW-XLM,2022-08-29T00:00:00,2022-08-29T09:00:00,141.0,151.0,139.0,147.0,1662335992885,20942935248.433086,145648844.42972612,2022-08-29
KRW-XLM,2022-08-22T00:00:00,2022-08-22T09:00:00,152.0,155.0,141.0,142.0,1661731194987,23218255969.422794,156209888.4940435,2022-08-22
KRW-XLM,2022-08-15T00:00:00,2022-08-15T09:00:00,168.0,172.0,147.0,152.0,1661126396918,44531950959.6496,277810123.1281638,2022-08-15
KRW-XLM,2022-08-08T00:00:00,2022-08-08T09:00:00,163.0,184.0,159.0,168.0,1660521590934,73536074879.6755,433765231.41111636,2022-08-08
KRW-XLM,2022-08-01T00:00:00,2022-08-01T09:00:00,156.0,165.0,151.0,163.0,1659916795751,44421486705.18211,283427303.35363626,2022-08-01
KRW-XLM,2022-07-25T00:00:00,2022-07-25T09:00:00,149.0,165.0,137.0,156.0,1659311989935,56114767115.517395,368223804.1319842,2022-07-25
KRW-XLM,2022-07-18T00:00:00,2022-07-18T09:00:00,141.0,159.0,140.0,149.0,1658707188701,48027347576.54835,319837041.84564704,2022-07-18
KRW-XLM,2022-07-11T00:00:00,2022-07-11T09:00:00,140.0,147.0,131.0,141.0,1658102394581,37520457579.84347,269667498.07102126,2022-07-11
KRW-XLM,2022-07-04T00:00:00,2022-07-04T09:00:00,144.0,155.0,138.0,140.0,1657497599109,35202584507.12997,242409532.8473076,2022-07-04
KRW-XLM,2022-06-27T00:00:00,2022-06-27T09:00:00,158.0,161.0,136.0,143.0,1656892759367,33251911385.33666,225758335.81530136,2022-06-27
KRW-XLM,2022-06-20T00:00:00,2022-06-20T09:00:00,149.0,170.0,144.0,157.0,1656287945921,43600527401.091286,278668575.3928864,2022-06-20
KRW-XLM,2022-06-13T00:00:00,2022-06-13T09:00:00,160.0,162.0,131.0,148.0,1655683196233,49930673990.99675,345314417.097196,2022-06-13
KRW-XLM,2022-06-06T00:00:00,2022-06-06T09:00:00,183.0,190.0,156.0,161.0,1655078391964,36338583827.95938,207174353.7386087,2022-06-06
KRW-XLM,2022-05-30T00:00:00,2022-05-30T09:00:00,167.0,203.0,166.0,182.0,1654473592736,66993447087.028465,364255508.8892041,2022-05-30
KRW-XLM,2022-05-23T00:00:00,2022-05-23T09:00:00,175.0,177.0,152.0,167.0,1653868795562,27847898512.35019,169605123.8576556,2022-05-23
KRW-XLM,2022-05-16T00:00:00,2022-05-16T09:00:00,190.0,190.0,158.0,175.0,1653263990261,27907099840.76227,162426576.26834664,2022-05-16
KRW-XLM,2022-05-09T00:00:00,2022-05-09T09:00:00,213.0,217.0,145.0,189.0,1652659199538,55660989964.73355,306748191.8243538,2022-05-09
KRW-XLM,2022-05-02T00:00:00,2022-05-02T09:00:00,226.0,240.0,211.0,213.0,1652054384579,28820771870.660122,128830798.54749423,2022-05-02
KRW-XLM,2022-04-25T00:00:00,2022-04-25T09:00:00,239.0,243.0,216.0,225.0,1651449592753,28767179433.670918,124005092.11929217,2022-04-25
KRW-XLM,2022-04-18T00:00:00,2022-04-18T09:00:00,247.0,258.0,238.0,239.0,1650844789921,36380472490.031906,146438980.99106205,2022-04-18
KRW-XLM,2022-04-11T00:00:00,2022-04-11T09:00:00,251.0,267.0,233.0,247.0,1650239999421,59282599295.83739,235682097.5952219,2022-04-11
KRW-XLM,2022-04-04T00:00:00,2022-04-04T09:00:00,291.0,291.0,247.0,251.0,1649635192587,54806869726.698105,204095070.10110357,2022-04-04
KRW-XLM,2022-03-28T00:00:00,2022-03-28T09:00:00,273.0,292.0,270.0,291.0,1649030397338,95161818859.49399,337676312.5031124,2022-03-28
KRW-XLM,2022-03-21T00:00:00,2022-03-21T09:00:00,241.0,276.0,236.0,273.0,1648425597113,84358753582.88155,327613002.7699389,2022-03-21
KRW-XLM,2022-03-14T00:00:00,2022-03-14T09:00:00,221.0,246.0,217.0,242.0,1647820789975,43804995451.387024,190491826.16055042,2022-03-14
KRW-XLM,2022-03-07T00:00:00,2022-03-07T09:00:00,215.0,237.0,209.0,222.0,1647215992543,82800092906.83508,371496643.6240187,2022-03-07
KRW-XLM,2022-02-28T00:00:00,2022-02-28T09:00:00,222.0,246.0,213.0,215.0,1646611196085,69025104305.88783,302422539.6914239,2022-02-28
KRW-XLM,2022-02-21T00:00:00,2022-02-21T09:00:00,238.0,246.0,201.0,223.0,1646006399177,70595226565.44939,313443661.14595467,2022-02-21
KRW-XLM,2022-02-14T00:00:00,2022-02-14T09:00:00,258.0,275.0,237.0,238.0,1645401592575,75240546608.66177,295311420.9853062,2022-02-14
KRW-XLM,2022-02-07T00:00:00,2022-02-07T09:00:00,273.0,312.0,256.0,258.0,1644796799631,175751162284.79785,612399415.324987,2022-02-07
KRW-XLM,2022-01-31T00:00:00,2022-01-31T09:00:00,244.0,274.0,233.0,273.0,1644191995871,67508951656.07347,267128700.15713385,2022-01-31
KRW-XLM,2022-01-24T00:00:00,2022-01-24T09:00:00,245.0,256.0,213.0,244.0,1643587190702,62546833972.38411,261919633.0474261,2022-01-24
KRW-XLM,2022-01-17T00:00:00,2022-01-17T09:00:00,313.0,314.0,211.0,245.0,1642982395736,127312391204.57837,466712521.10984135,2022-01-17
