market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,first_day_of_period
KRW-ZIL,2023-10-09T00:00:00,2023-10-09T09:00:00,23.0,23.2,21.4,21.5,1697076586998,7723862370.190324,350348946.585389,2023-10-09
KRW-ZIL,2023-10-02T00:00:00,2023-10-02T09:00:00,24.3,24.6,22.4,23.0,1696809597361,25091453175.290802,1082768782.4988222,2023-10-02
KRW-ZIL,2023-09-25T00:00:00,2023-09-25T09:00:00,22.9,24.6,22.4,24.3,1696204787834,23531428842.948017,1001543467.5501462,2023-09-25
KRW-ZIL,2023-09-18T00:00:00,2023-09-18T09:00:00,21.4,24.6,21.2,23.0,1695599998719,40353594667.041275,1731860006.0366046,2023-09-18
KRW-ZIL,2023-09-11T00:00:00,2023-09-11T09:00:00,21.5,22.8,20.0,21.3,1694995192365,26809386788.739822,1236353673.607105,2023-09-11
KRW-ZIL,2023-09-04T00:00:00,2023-09-04T09:00:00,21.9,22.7,21.3,21.4,1694390290791,6295914828.711152,285344979.2745853,2023-09-04
KRW-ZIL,2023-08-28T00:00:00,2023-08-28T09:00:00,22.6,23.7,21.5,21.9,1693785422770,8621223233.406233,384302077.16449684,2023-08-28
KRW-ZIL,2023-08-21T00:00:00,2023-08-21T09:00:00,23.4,23.4,22.1,22.6,1693180754450,8868752710.09938,388625932.45920575,2023-08-21
KRW-ZIL,2023-08-14T00:00:00,2023-08-14T09:00:00,26.8,27.5,21.9,23.4,1692575989032,21216118000.98853,856246853.9188772,2023-08-14
KRW-ZIL,2023-08-07T00:00:00,2023-08-07T09:00:00,26.7,27.1,26.0,26.7,1691971163164,10397830842.857136,390652952.884715,2023-08-07
KRW-ZIL,2023-07-31T00:00:00,2023-07-31T09:00:00,27.1,27.6,26.3,26.7,1691366381710,18258371592.958157,676948856.2291567,2023-07-31
KRW-ZIL,2023-07-24T00:00:00,2023-07-24T09:00:00,28.9,28.9,26.2,27.1,1690761598326,33151790619.154205,1218294305.6052217,2023-07-24
KRW-ZIL,2023-07-17T00:00:00,2023-07-17T09:00:00,27.9,31.0,27.0,28.9,1690156799745,61618125070.39217,2146519380.5064979,2023-07-17
KRW-ZIL,2023-07-10T00:00:00,2023-07-10T09:00:00,26.8,30.0,25.9,27.9,1689551987134,74734281952.84145,2650182255.80245,2023-07-10
KRW-ZIL,2023-07-03T00:00:00,2023-07-03T09:00:00,28.5,32.9,26.6,26.6,1688947197958,98373252974.8674,3312716496.3895664,2023-07-03
KRW-ZIL,2023-06-26T00:00:00,2023-06-26T09:00:00,27.3,29.3,25.1,28.5,1688342358124,53553329162.934944,1939998577.7848072,2023-06-26
KRW-ZIL,2023-06-19T00:00:00,2023-06-19T09:00:00,22.6,30.3,22.5,27.3,1687737579240,96034170205.67255,3519568424.919671,2023-06-19
KRW-ZIL,2023-06-12T00:00:00,2023-06-12T09:00:00,23.1,23.5,21.4,22.6,1687132798313,12809568870.710016,565502080.5661908,2023-06-12
KRW-ZIL,2023-06-05T00:00:00,2023-06-05T09:00:00,31.7,31.9,22.1,23.1,1686527980738,24583108778.327747,939912308.6593028,2023-06-05
KRW-ZIL,2023-05-29T00:00:00,2023-05-29T09:00:00,31.5,32.3,30.0,31.7,1685923157386,13168075450.358118,422327666.6817418,2023-05-29
KRW-ZIL,2023-05-22T00:00:00,2023-05-22T09:00:00,31.7,32.0,29.9,31.6,1685318381964,12700972913.81911,410036655.5383991,2023-05-22
KRW-ZIL,2023-05-15T00:00:00,2023-05-15T09:00:00,32.3,34.0,31.4,31.7,1684713567708,18970100385.375195,581237999.1029819,2023-05-15
KRW-ZIL,2023-05-08T00:00:00,2023-05-08T09:00:00,35.0,35.1,30.5,32.2,1684108784440,27312567018.637768,849024311.5320588,2023-05-08
KRW-ZIL,2023-05-01T00:00:00,2023-05-01T09:00:00,37.7,37.8,34.8,34.9,1683503957606,31171037764.087704,863141321.9815378,2023-05-01
KRW-ZIL,2023-04-24T00:00:00,2023-04-24T09:00:00,43.0,43.8,37.0,37.7,1682899196626,129743509069.35632,3225354799.918894,2023-04-24
